ENSHGLP00100004417	ENSHGLG00100003342	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000015993	ENSHGLG00000011436	Heterocephalus_glaber_HetGla_female_1.0
ENSCLAP00000004188	ENSCLAG00000002989	Chinchilla_lanigera
ENSUPAP00010001473	ENSUPAG00010001262	Urocitellus_parryii
ENSSDAP00000002133	ENSSDAG00000002037	Spermophilus_dauricus
ENSPTRP00000038250	ENSPTRG00000022219	Pan_troglodytes
ENSPPAP00000021376	ENSPPAG00000033897	Pan_paniscus
ENSP00000384670	ENSG00000250423	Homo_sapiens
ENSGGOP00000026488	ENSGGOG00000025414	Gorilla_gorilla
ENSNLEP00000018046	ENSNLEG00000014834	Nomascus_leucogenys
ENSTGEP00000023961	ENSTGEG00000019379	Theropithecus_gelada
ENSPANP00000043367	ENSPANG00000032487	Papio_anubis
ENSCATP00000004206	ENSCATG00000015100	Cercocebus_atys
ENSMLEP00000034943	ENSMLEG00000041621	Mandrillus_leucophaeus
ENSMFAP00000028203	ENSMFAG00000045467	Macaca_fascicularis
ENSMNEP00000035757	ENSMNEG00000041033	Macaca_nemestrina
ENSMMUP00000025662	ENSMMUG00000019533	Macaca_mulatta
ENSCSAP00000014369	ENSCSAG00000018361	Chlorocebus_sabaeus
ENSCANP00000019982	ENSCANG00000033423	Colobus_angolensis_palliatus
ENSPTEP00000031092	ENSPTEG00000030129	Piliocolobus_tephrosceles
ENSRROP00000029699	ENSRROG00000038641	Rhinopithecus_roxellana
ENSRBIP00000002447	ENSRBIG00000012009	Rhinopithecus_bieti
ENSANAP00000038195	ENSANAG00000036561	Aotus_nancymaae
ENSCJAP00000075832	ENSCJAG00000050075	Callithrix_jacchus
ENSOGAP00000017143	ENSOGAG00000032488	Otolemur_garnettii
ENSDNOP00000027076	ENSDNOG00000035968	Dasypus_novemcinctus
ENSTBEP00000013999	ENSTBEG00000016112	Tupaia_belangeri
ENSCHOP00000003713	ENSCHOG00000004198	Choloepus_hoffmanni
ENSCAFP00000027134	ENSCAFG00000018366	Canis_lupus_familiaris
ENSCAFP00020005197	ENSCAFG00020004266	Canis_lupus_dingo
ENSVVUP00000015645	ENSVVUG00000011485	Vulpes_vulpes
ENSMPUP00000001570	ENSMPUG00000001586	Mustela_putorius_furo
ENSFCAP00000052860	ENSFCAG00000036163	Felis_catus
ENSCGRP00000010687	ENSCGRG00000007832	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015022384	ENSCGRG00015017032	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000022467	ENSMAUG00000019877	Mesocricetus_auratus
ENSPEMP00000031846	ENSPEMG00000027055	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0094944	MGP_SPRETEiJ_G0034141	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000126231	ENSMUSG00000091556	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0091191	MGP_CAROLIEiJ_G0032988	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000003277	ENSMSIG00000003048	Mus_spicilegus
MGP_PahariEiJ_P0088832	MGP_PahariEiJ_G0031532	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000029996	ENSRNOG00000027837	Rattus_norvegicus
ENSOANP00000027523	ENSOANG00000021615	Ornithorhynchus_anatinus
ENSPNAP00000030592	ENSPNAG00000017393	Pygocentrus_nattereri
ENSIPUP00000021924	ENSIPUG00000014868	Ictalurus_punctatus
ENSEEEP00000043174	ENSEEEG00000020389	Electrophorus_electricus
ENSDARP00000119449	ENSDARG00000079501	Danio_rerio
ENSCHAP00000031911	ENSCHAG00000015182	Clupea_harengus
ENSDCDP00000019121	ENSDCDG00000015342	Denticeps_clupeoides
ENSHHUP00000013717	ENSHHUG00000008448	Hucho_hucho
ENSHHUP00000064612	ENSHHUG00000038155	Hucho_hucho
ENSELUP00000005015	ENSELUG00000006099	Esox_lucius
ENSHHUP00000047136	ENSHHUG00000028659	Hucho_hucho
ENSHHUP00000030109	ENSHHUG00000019175	Hucho_hucho
ENSELUP00000021150	ENSELUG00000020279	Esox_lucius
ENSSLDP00000006975	ENSSLDG00000005547	Seriola_lalandi_dorsalis
ENSSMAP00000032481	ENSSMAG00000019911	Scophthalmus_maximus
ENSMAMP00000024953	ENSMAMG00000016769	Mastacembelus_armatus
ENSMALP00000006935	ENSMALG00000004946	Monopterus_albus
ENSAPEP00000009328	ENSAPEG00000006709	Amphiprion_percula
ENSAOCP00000026925	ENSAOCG00000015460	Amphiprion_ocellaris
ENSAPOP00000023813	ENSAPOG00000000149	Acanthochromis_polyacanthus
ENSSPAP00000026768	ENSSPAG00000020183	Stegastes_partitus
ENSPRNP00000035564	ENSPRNG00000017807	Parambassis_ranga
ENSGWIP00000030064	ENSGWIG00000015649	Gouania_willdenowi
ENSMZEP00005029555	ENSMZEG00005022041	Maylandia_zebra
