ENSMMOP00000001141	ENSMMOG00000000967	Mola_mola
ENSORLP00015001557	ENSORLG00015002184	Oryzias_latipes_ASM223469v1
ENSGACP00000007430	ENSGACG00000005618	Gasterosteus_aculeatus
ENSHBUP00000032762	ENSHBUG00000019262	Haplochromis_burtoni
ENSSDUP00000027098	ENSSDUG00000019630	Seriola_dumerili
ENSPMGP00000000667	ENSPMGG00000000609	Periophthalmus_magnuspinnatus
ENSPNYP00000020901	ENSPNYG00000015816	Pundamilia_nyererei
ENSGWIP00000038456	ENSGWIG00000019678	Gouania_willdenowi
ENSIPUP00000015928	ENSIPUG00000010809	Ictalurus_punctatus
ENSTNIP00000009314	ENSTNIG00000006541	Tetraodon_nigroviridis
ENSPREP00000019750	ENSPREG00000013375	Poecilia_reticulata
ENSMZEP00005001752	ENSMZEG00005001429	Maylandia_zebra
ENSAMXP00000019646	ENSAMXG00000019051	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAPOP00000014446	ENSAPOG00000017353	Acanthochromis_polyacanthus
ENSSLDP00000029116	ENSSLDG00000022473	Seriola_lalandi_dorsalis
ENSKMAP00000028415	ENSKMAG00000021060	Kryptolebias_marmoratus
ENSDARP00000141670	ENSDARG00000012535	Danio_rerio
ENSLCAP00010031101	ENSLCAG00010014553	Lates_calcarifer
ENSFHEP00000003782	ENSFHEG00000004673	Fundulus_heteroclitus
ENSHCOP00000028078	ENSHCOG00000020445	Hippocampus_comes
ENSLCRP00005016652	ENSLCRG00005006918	Larimichthys_crocea
ENSMALP00000007434	ENSMALG00000005145	Monopterus_albus
ENSCVAP00000010776	ENSCVAG00000012963	Cyprinodon_variegatus
ENSORLP00020026751	ENSORLG00020000778	Oryzias_latipes_ASM223471v1
ENSCHAP00000036465	ENSCHAG00000017201	Clupea_harengus
ENSPNAP00000017659	ENSPNAG00000023968	Pygocentrus_nattereri
ENSBSLP00000000900	ENSBSLG00000000693	Betta_splendens
ENSPRNP00000005454	ENSPRNG00000003205	Parambassis_ranga
ENSHHUP00000064859	ENSHHUG00000038295	Hucho_hucho
ENSEEEP00000037674	ENSEEEG00000017917	Electrophorus_electricus
ENSORLP00000007691	ENSORLG00000006117	Oryzias_latipes_ASM223467v1
ENSSMAP00000021444	ENSSMAG00000013151	Scophthalmus_maximus
ENSLBEP00000024822	ENSLBEG00000018966	Labrus_bergylta
ENSCGOP00000007275	ENSCGOG00000003713	Cottoperca_gobio
ENSAMXP00005029447	ENSAMXG00005014562	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAOCP00000013871	ENSAOCG00000018475	Amphiprion_ocellaris
ENSLOCP00000008490	ENSLOCG00000007014	Lepisosteus_oculatus
ENSGAFP00000030918	ENSGAFG00000020843	Gambusia_affinis
ENSPMEP00000020334	ENSPMEG00000023447	Poecilia_mexicana
ENSFHEP00000003764	ENSFHEG00000004665	Fundulus_heteroclitus
ENSELUP00000023829	ENSELUG00000022691	Esox_lucius
ENSDCDP00000035990	ENSDCDG00000024001	Denticeps_clupeoides
ENSXMAP00000003967	ENSXMAG00000003943	Xiphophorus_maculatus
ENSACIP00000008545	ENSACIG00000006694	Amphilophus_citrinellus
ENSONIP00000019611	ENSONIG00000015585	Oreochromis_niloticus
ENSMZEP00005001765	ENSMZEG00005001436	Maylandia_zebra
ENSPLAP00000021639	ENSPLAG00000005565	Poecilia_latipinna
ENSNBRP00000017939	ENSNBRG00000013829	Neolamprologus_brichardi
ENSACLP00000017940	ENSACLG00000012259	Astatotilapia_calliptera
ENSPNYP00000020882	ENSPNYG00000015799	Pundamilia_nyererei
ENSGMOP00000019483	ENSGMOG00000018101	Gadus_morhua
ENSAMXP00005029363	ENSAMXG00005014464	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSXCOP00000026814	ENSXCOG00000020022	Xiphophorus_couchianus
ENSPFOP00000012640	ENSPFOG00000012504	Poecilia_formosa
ENSATEP00000015991	ENSATEG00000011109	Anabas_testudineus
ENSSPAP00000027803	ENSSPAG00000020964	Stegastes_partitus
ENSMAMP00000006949	ENSMAMG00000004700	Mastacembelus_armatus
ENSAPOP00000014484	ENSAPOG00000017390	Acanthochromis_polyacanthus
ENSCSEP00000012426	ENSCSEG00000008016	Cynoglossus_semilaevis
ENSHHUP00000010395	ENSHHUG00000006355	Hucho_hucho
ENSOMEP00000032520	ENSOMEG00000017981	Oryzias_melastigma
ENSPKIP00000011528	ENSPKIG00000018537	Paramormyrops_kingsleyae
ENSTRUP00000021231	ENSTRUG00000008481	Takifugu_rubripes
ENSAPEP00000031632	ENSAPEG00000022437	Amphiprion_percula
