ENSFCAP00000051712	ENSFCAG00000044625	Felis_catus
ENSMAUP00000001482	ENSMAUG00000001114	Mesocricetus_auratus
ENSHBUP00000002742	ENSHBUG00000003956	Haplochromis_burtoni
ENSPFOP00000001490	ENSPFOG00000001590	Poecilia_formosa
ENSABRP00000026756	ENSABRG00000022337	Anser_brachyrhynchus
ENSAPOP00000000927	ENSAPOG00000002169	Acanthochromis_polyacanthus
ENSELUP00000029193	ENSELUG00000006044	Esox_lucius
ENSHGLP00100008295	ENSHGLG00100006170	Heterocephalus_glaber_HetGla_1.0
ENSPNYP00000015899	ENSPNYG00000012034	Pundamilia_nyererei
ENSSPAP00000009914	ENSSPAG00000007553	Stegastes_partitus
ENSLCRP00005030472	ENSLCRG00005012113	Larimichthys_crocea
ENSCJAP00000040475	ENSCJAG00000021770	Callithrix_jacchus
ENSKMAP00000014544	ENSKMAG00000010912	Kryptolebias_marmoratus
ENSECAP00000014950	ENSECAG00000017397	Equus_caballus
ENSPREP00000013263	ENSPREG00000009012	Poecilia_reticulata
ENSVVUP00000013044	ENSVVUG00000009562	Vulpes_vulpes
ENSMPUP00000019113	ENSMPUG00000019237	Mustela_putorius_furo
ENSCPBP00000010927	ENSCPBG00000008377	Chrysemys_picta_bellii
ENSTSYP00000019728	ENSTSYG00000012542	Carlito_syrichta
ENSSLDP00000018281	ENSSLDG00000014390	Seriola_lalandi_dorsalis
ENSSSCP00000033544	ENSSSCG00000032575	Sus_scrofa_strain_reference
MGP_SPRETEiJ_P0053564	MGP_SPRETEiJ_G0024438	Mus_spretus_strain_SPRET/EiJ
ENSJJAP00000024420	ENSJJAG00000023886	Jaculus_jaculus
ENSEEEP00000000303	ENSEEEG00000000226	Electrophorus_electricus
ENSNSUP00000003605	ENSNSUG00000002917	Notechis_scutatus
ENSONIP00000004984	ENSONIG00000003954	Oreochromis_niloticus
ENSUPAP00010016082	ENSUPAG00010012848	Urocitellus_parryii
ENSSMAP00000000303	ENSSMAG00000000196	Scophthalmus_maximus
ENSBSLP00000032220	ENSBSLG00000015816	Betta_splendens
ENSCCNP00000003864	ENSCCNG00000004084	Castor_canadensis
ENSLCAP00010006959	ENSLCAG00010003423	Lates_calcarifer
ENSNMEP00000014230	ENSNMEG00000012821	Numida_meleagris
ENSSDAP00000015380	ENSSDAG00000013860	Spermophilus_dauricus
ENSAOWP00000004133	ENSAOWG00000002902	Apteryx_owenii
ENSGACP00000017643	ENSGACG00000013351	Gasterosteus_aculeatus
ENSATEP00000028078	ENSATEG00000019384	Anabas_testudineus
ENSAPEP00000010847	ENSAPEG00000007788	Amphiprion_percula
ENSAOCP00000022332	ENSAOCG00000007735	Amphiprion_ocellaris
MGP_CAROLIEiJ_P0051514	MGP_CAROLIEiJ_G0023518	Mus_caroli_strain_CAROLI_EIJ
ENSPFOP00000019826	ENSPFOG00000019700	Poecilia_formosa
ENSMAMP00000013479	ENSMAMG00000009138	Mastacembelus_armatus
ENSMLEP00000000295	ENSMLEG00000000689	Mandrillus_leucophaeus
ENSPMEP00000012035	ENSPMEG00000014179	Poecilia_mexicana
ENSPMGP00000005315	ENSPMGG00000004467	Periophthalmus_magnuspinnatus
ENSCVAP00000013137	ENSCVAG00000015601	Cyprinodon_variegatus
ENSBIXP00005015073	ENSBIXG00005018935	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPSIP00000001036	ENSPSIG00000001041	Pelodiscus_sinensis
ENSLCOP00000020129	ENSLCOG00000014261	Lepidothrix_coronata
ENSKMAP00000010581	ENSKMAG00000007952	Kryptolebias_marmoratus
ENSACLP00000034200	ENSACLG00000023156	Astatotilapia_calliptera
ENSMUGP00000007761	ENSMUGG00000007052	Meriones_unguiculatus
ENSGMOP00000002956	ENSGMOG00000002798	Gadus_morhua
ENSFHEP00000028278	ENSFHEG00000000274	Fundulus_heteroclitus
ENSVURP00010022327	ENSVURG00010017097	Vombatus_ursinus
ENSCHAP00000055094	ENSCHAG00000024969	Clupea_harengus
ENSPTEP00000015807	ENSPTEG00000017431	Piliocolobus_tephrosceles
ENSJHYP00000004352	ENSJHYG00000003609	Junco_hyemalis
