ENSRNOP00000016859	ENSRNOG00000012108	Rattus_norvegicus
ENSDNOP00000023601	ENSDNOG00000046564	Dasypus_novemcinctus
ENSNBRP00000012698	ENSNBRG00000009887	Neolamprologus_brichardi
ENSCHIP00000015929	ENSCHIG00000016392	Capra_hircus
ENSPSIP00000004146	ENSPSIG00000003909	Pelodiscus_sinensis
ENSCPUP00000019039	ENSCPUG00000013117	Calidris_pugnax	ENSCPUT00000022608
ENSACLP00000034284	ENSACLG00000023205	Astatotilapia_calliptera
ENSNLEP00000039379	ENSNLEG00000036323	Nomascus_leucogenys
ENSKMAP00000001723	ENSKMAG00000001372	Kryptolebias_marmoratus
ENSP00000258613	ENSG00000136114	Homo_sapiens
ENSLBEP00000016781	ENSLBEG00000012922	Labrus_bergylta
ENSDNOP00000019946	ENSDNOG00000034225	Dasypus_novemcinctus
ENSHHUP00000027807	ENSHHUG00000017677	Hucho_hucho
ENSMNEP00000014807	ENSMNEG00000031539	Macaca_nemestrina
ENSMMUP00000012463	ENSMMUG00000009528	Macaca_mulatta
ENSXETP00000008861	ENSXETG00000006713	Xenopus_tropicalis
ENSVVUP00000037448	ENSVVUG00000026781	Vulpes_vulpes
ENSPMEP00000012314	ENSPMEG00000014505	Poecilia_mexicana
ENSBSLP00000024562	ENSBSLG00000012477	Betta_splendens
ENSNGAP00000016451	ENSNGAG00000017184	Nannospalax_galili
ENSEEEP00000036701	ENSEEEG00000017414	Electrophorus_electricus
ENSMMOP00000003555	ENSMMOG00000002836	Mola_mola
ENSSSCP00000010006	ENSSSCG00000009377	Sus_scrofa_strain_reference
ENSGGOP00000026585	ENSGGOG00000025774	Gorilla_gorilla
ENSORLP00020010095	ENSORLG00020010987	Oryzias_latipes_ASM223471v1
ENSMLUP00000003491	ENSMLUG00000003833	Myotis_lucifugus
ENSPNAP00000035915	ENSPNAG00000026293	Pygocentrus_nattereri
ENSTGUP00000012394	ENSTGUG00000012032	Taeniopygia_guttata	ENSTGUT00000012532
ENSCATP00000009229	ENSCATG00000028159	Cercocebus_atys
ENSAMXP00000037599	ENSAMXG00000031548	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSTSYP00000025213	ENSTSYG00000004791	Carlito_syrichta
ENSIPUP00000005333	ENSIPUG00000003721	Ictalurus_punctatus
ENSXMAP00000027093	ENSXMAG00000017831	Xiphophorus_maculatus
ENSCGRP00001022943	ENSCGRG00001021322	Cricetulus_griseus_CHOK1GS_HDv1
ENSCAFP00000008910	ENSCAFG00000005940	Canis_lupus_familiaris
ENSGALP00000040774	ENSGALG00000028083	Gallus_gallus
ENSSDUP00000003772	ENSSDUG00000002854	Seriola_dumerili
ENSPANP00000002168	ENSPANG00000004615	Papio_anubis
ENSANAP00000041912	ENSANAG00000038235	Aotus_nancymaae
ENSPPYP00000006140	ENSPPYG00000005389	Pongo_abelii
ENSMUNP00000016141	ENSMUNG00000012416	Melopsittacus_undulatus	ENSMUNT00000018553
ENSSLDP00000019916	ENSSLDG00000015603	Seriola_lalandi_dorsalis
ENSLAFP00000023441	ENSLAFG00000030246	Loxodonta_africana
ENSVURP00010022688	ENSVURG00010017395	Vombatus_ursinus
ENSDNOP00000022975	ENSDNOG00000049490	Dasypus_novemcinctus
ENSAMEP00000012386	ENSAMEG00000011783	Ailuropoda_melanoleuca
ENSMVIP00005012059	ENSMVIG00005008811	Manacus_vitellinus
ENSMUSP00000067701	ENSMUSG00000031480	Mus_musculus_strain_reference_(CL57BL6)
ENSTTRP00000009206	ENSTTRG00000009710	Tursiops_truncatus
ENSSMAP00000014409	ENSSMAG00000008805	Scophthalmus_maximus
ENSEEUP00000009091	ENSEEUG00000009991	Erinaceus_europaeus
