ENSAMEP00000003503	ENSAMEG00000003314	Ailuropoda_melanoleuca
ENSGMOP00000002730	ENSGMOG00000002584	Gadus_morhua
ENSCAFP00020010113	ENSCAFG00020008159	Canis_lupus_dingo
ENSPSMP00000023626	ENSPSMG00000016695	Prolemur_simus
ENSEEUP00000012726	ENSEEUG00000013955	Erinaceus_europaeus
ENSBIXP00005035761	ENSBIXG00005017118	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCGRP00015016767	ENSCGRG00015012871	Cricetulus_griseus_CriGri-PICR
ENSMMUP00000018504	ENSMMUG00000014080	Macaca_mulatta
ENSDARP00000135163	ENSDARG00000101270	Danio_rerio
ENSZALP00000000726	ENSZALG00000000863	Zonotrichia_albicollis
ENSCHOP00000002702	ENSCHOG00000003046	Choloepus_hoffmanni
ENSTGUP00000014206	ENSTGUG00000013791	Taeniopygia_guttata
ENSCCEP00000008011	ENSCCEG00000008342	Cyanistes_caeruleus
ENSABRP00000003992	ENSABRG00000003514	Anser_brachyrhynchus
ENSCAPP00000009918	ENSCAPG00000011282	Cavia_aperea
ENSMICP00000005913	ENSMICG00000006479	Microcebus_murinus
ENSVVUP00000012600	ENSVVUG00000009232	Vulpes_vulpes
ENSSPAP00000019507	ENSSPAG00000014730	Stegastes_partitus
ENSPREP00000005338	ENSPREG00000003703	Poecilia_reticulata
ENSHHUP00000091129	ENSHHUG00000052584	Hucho_hucho
ENSCGOP00000014835	ENSCGOG00000006942	Cottoperca_gobio
ENSIPUP00000022669	ENSIPUG00000015328	Ictalurus_punctatus
ENSTGUP00000002347	ENSTGUG00000002275	Taeniopygia_guttata
ENSTRUP00000035027	ENSTRUG00000013714	Takifugu_rubripes
ENSAPEP00000025983	ENSAPEG00000018365	Amphiprion_percula
ENSXMAP00000004643	ENSXMAG00000004597	Xiphophorus_maculatus
ENSMAUP00000019962	ENSMAUG00000018112	Mesocricetus_auratus
ENSP00000273963	ENSG00000145332	Homo_sapiens
ENSPLAP00000010189	ENSPLAG00000000304	Poecilia_latipinna
ENSCJAP00000011237	ENSCJAG00000006088	Callithrix_jacchus
MGP_CAROLIEiJ_P0069402	MGP_CAROLIEiJ_G0027470	Mus_caroli_strain_CAROLI_EIJ
ENSGGOP00000014290	ENSGGOG00000014648	Gorilla_gorilla
ENSSHAP00000002364	ENSSHAG00000002097	Sarcophilus_harrisii	ENSSHAT00000002389
ENSMNEP00000011529	ENSMNEG00000030082	Macaca_nemestrina
ENSEBUP00000019920	ENSEBUG00000012372	Eptatretus_burgeri	ENSEBUT00000020496
ENSMAMP00000023333	ENSMAMG00000015712	Mastacembelus_armatus
ENSACIP00000027022	ENSACIG00000020840	Amphilophus_citrinellus
ENSCMIP00000013358	ENSCMIG00000006700	Callorhinchus_milii
ENSFCAP00000012916	ENSFCAG00000013928	Felis_catus
ENSELUP00000035983	ENSELUG00000015173	Esox_lucius
ENSMOCP00000010515	ENSMOCG00000010742	Microtus_ochrogaster
ENSPTIP00000009437	ENSPTIG00000010495	Panthera_tigris_altaica
ENSFALP00000005214	ENSFALG00000005003	Ficedula_albicollis
ENSPNAP00000025200	ENSPNAG00000010200	Pygocentrus_nattereri
ENSPMJP00000010603	ENSPMJG00000008322	Parus_major
ENSDCDP00000063488	ENSDCDG00000035774	Denticeps_clupeoides
ENSMFAP00000043303	ENSMFAG00000041071	Macaca_fascicularis
ENSLCOP00000022278	ENSLCOG00000015711	Lepidothrix_coronata
ENSSCAP00000000412	ENSSCAG00000000353	Serinus_canaria
ENSPRNP00000016897	ENSPRNG00000008510	Parambassis_ranga
ENSCVAP00000028761	ENSCVAG00000016052	Cyprinodon_variegatus
ENSMLEP00000012288	ENSMLEG00000030301	Mandrillus_leucophaeus
ENSMLUP00000015480	ENSMLUG00000016977	Myotis_lucifugus
ENSHHUP00000078412	ENSHHUG00000045636	Hucho_hucho
ENSDORP00000022260	ENSDORG00000028863	Dipodomys_ordii
ENSAOCP00000015044	ENSAOCG00000019777	Amphiprion_ocellaris
ENSCSAP00000000676	ENSCSAG00000004331	Chlorocebus_sabaeus
ENSCCEP00000026732	ENSCCEG00000023422	Cyanistes_caeruleus
ENSAOWP00000016944	ENSAOWG00000011576	Apteryx_owenii
ENSPKIP00000024417	ENSPKIG00000007668	Paramormyrops_kingsleyae
ENSTNIP00000010344	ENSTNIG00000007535	Tetraodon_nigroviridis
ENSNGAP00000019004	ENSNGAG00000018962	Nannospalax_galili
ENSMUNP00000016653	ENSMUNG00000012828	Melopsittacus_undulatus
ENSPTEP00000004392	ENSPTEG00000005129	Piliocolobus_tephrosceles
ENSCPGP00000027936	ENSCPGG00000019255	Calidris_pygmaea
ENSHGLP00000011377	ENSHGLG00000008155	Heterocephalus_glaber_HetGla_female_1.0
ENSCABP00000004977	ENSCABG00000003756	Chelonoidis_abingdonii
ENSPMAP00000005094	ENSPMAG00000004597	Petromyzon_marinus
ENSANAP00000020806	ENSANAG00000028175	Aotus_nancymaae
ENSNBRP00000013287	ENSNBRG00000010252	Neolamprologus_brichardi
ENSMODP00000025940	ENSMODG00000020741	Monodelphis_domestica	ENSMODT00000026404
ENSPPYP00000016649	ENSPPYG00000014911	Pongo_abelii
ENSSTOP00000005902	ENSSTOG00000006580	Ictidomys_tridecemlineatus
ENSSBOP00000008336	ENSSBOG00000021069	Saimiri_boliviensis_boliviensis
ENSTTRP00000005280	ENSTTRG00000005596	Tursiops_truncatus
ENSSARP00000005867	ENSSARG00000006477	Sorex_araneus
ENSPMEP00000032217	ENSPMEG00000000428	Poecilia_mexicana
ENSSSCP00000009839	ENSSSCG00000009226	Sus_scrofa_strain_reference
ENSDNVP00000019470	ENSDNVG00000013631	Dromaius_novaehollandiae
ENSAMXP00005056357	ENSAMXG00005025021	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPCIP00000014596	ENSPCIG00000011392	Phascolarctos_cinereus	ENSPCIT00000018014
ENSEASP00005018502	ENSEASG00005012755	Equus_asinus_asinus
ENSGACP00000021605	ENSGACG00000016351	Gasterosteus_aculeatus
ENSKMAP00000018212	ENSKMAG00000013559	Kryptolebias_marmoratus
ENSMSIP00000006427	ENSMSIG00000005685	Mus_spicilegus
ENSUAMP00000002060	ENSUAMG00000001906	Ursus_americanus
ENSOANP00000021492	ENSOANG00000013625	Ornithorhynchus_anatinus
ENSPEMP00000010659	ENSPEMG00000011568	Peromyscus_maniculatus_bairdii
ENSSLDP00000008986	ENSSLDG00000007094	Seriola_lalandi_dorsalis
ENSMUGP00000026216	ENSMUGG00000021824	Meriones_unguiculatus
ENSONIP00000009629	ENSONIG00000007641	Oreochromis_niloticus
ENSPMGP00000000340	ENSPMGG00000000345	Periophthalmus_magnuspinnatus
ENSCANP00000029838	ENSCANG00000038564	Colobus_angolensis_palliatus
ENSPMGP00000000349	ENSPMGG00000000356	Periophthalmus_magnuspinnatus
ENSCHIP00000014484	ENSCHIG00000015495	Capra_hircus
ENSGAFP00000018004	ENSGAFG00000012188	Gambusia_affinis
ENSMALP00000002794	ENSMALG00000002072	Monopterus_albus
ENSCLAP00000007448	ENSCLAG00000005233	Chinchilla_lanigera
ENSRBIP00000012219	ENSRBIG00000030033	Rhinopithecus_bieti
ENSLSDP00000015870	ENSLSDG00000011446	Lonchura_striata_domestica
ENSHBUP00000004415	ENSHBUG00000005722	Haplochromis_burtoni
ENSMMMP00000008272	ENSMMMG00000007382	Marmota_marmota_marmota
ENSTGEP00000007805	ENSTGEG00000006394	Theropithecus_gelada
ENSRNOP00000003026	ENSRNOG00000002214	Rattus_norvegicus
ENSCCNP00000000575	ENSCCNG00000000585	Castor_canadensis
ENSFHEP00000003039	ENSFHEG00000003896	Fundulus_heteroclitus
ENSHCOP00000028070	ENSHCOG00000020413	Hippocampus_comes
ENSSFOP00015034402	ENSSFOG00015021915	Scleropages_formosus
ENSJJAP00000007257	ENSJJAG00000011705	Jaculus_jaculus	ENSJJAT00000013663
ENSXETP00000008429	ENSXETG00000006960	Xenopus_tropicalis
ENSPFOP00000005102	ENSPFOG00000004995	Poecilia_formosa
ENSORLP00020003390	ENSORLG00020000860	Oryzias_latipes_ASM223471v1
ENSARWP00000021411	ENSARWG00000014639	Apteryx_rowi
ENSMZEP00005027318	ENSMZEG00005020381	Maylandia_zebra
ENSHGLP00100001312	ENSHGLG00100001041	Heterocephalus_glaber_HetGla_1.0
ENSTSYP00000014849	ENSTSYG00000007640	Carlito_syrichta
