ENSABRP00000016605	ENSABRG00000014520	Anser_brachyrhynchus
ENSAPLP00000004456	ENSAPLG00000004837	Anas_platyrhynchos_platyrhynchos
ENSGALP00000053163	ENSGALG00000006818	Gallus_gallus
ENSCJPP00005011392	ENSCJPG00005009788	Coturnix_japonica
ENSMGAP00000002448	ENSMGAG00000002737	Meleagris_gallopavo
ENSNMEP00000013578	ENSNMEG00000012359	Numida_meleagris
ENSJHYP00000011941	ENSJHYG00000009281	Junco_hyemalis
ENSZALP00000014666	ENSZALG00000012149	Zonotrichia_albicollis
ENSSCAP00000024001	ENSSCAG00000017180	Serinus_canaria
ENSLSDP00000009857	ENSLSDG00000007265	Lonchura_striata_domestica
ENSTGUP00000000072	ENSTGUG00000000065	Taeniopygia_guttata
ENSFALP00000010386	ENSFALG00000009959	Ficedula_albicollis
ENSPMJP00000009523	ENSPMJG00000007606	Parus_major
ENSCCEP00000000304	ENSCCEG00000000089	Cyanistes_caeruleus
ENSLCOP00000005082	ENSLCOG00000003816	Lepidothrix_coronata
ENSMVIP00005000486	ENSMVIG00005000355	Manacus_vitellinus
ENSCPGP00000003282	ENSCPGG00000002353	Calidris_pygmaea
ENSCPUP00000026752	ENSCPUG00000017990	Calidris_pugnax
ENSMUNP00000012360	ENSMUNG00000009713	Melopsittacus_undulatus
ENSAOWP00000014737	ENSAOWG00000010052	Apteryx_owenii	ENSAOWT00000016716
ENSAHAP00000004312	ENSAHAG00000003355	Apteryx_haastii	ENSAHAT00000004839
ENSARWP00000003355	ENSARWG00000002522	Apteryx_rowi	ENSARWT00000003911
ENSDNVP00000005489	ENSDNVG00000003950	Dromaius_novaehollandiae	ENSDNVT00000006617
ENSNPEP00000004114	ENSNPEG00000003131	Nothoprocta_perdicaria
ENSCPRP00005000033	ENSCPRG00005000058	Crocodylus_porosus
ENSGAGP00000028341	ENSGAGG00000020575	Gopherus_agassizii
ENSCABP00000005588	ENSCABG00000004182	Chelonoidis_abingdonii
ENSCPBP00000030100	ENSCPBG00000021195	Chrysemys_picta_bellii
ENSPSIP00000007945	ENSPSIG00000007140	Pelodiscus_sinensis
ENSNSUP00000009189	ENSNSUG00000007033	Notechis_scutatus
ENSNSUP00000009190	ENSNSUG00000007034	Notechis_scutatus
ENSACAP00000006937	ENSACAG00000007014	Anolis_carolinensis
ENSPVIP00000012693	ENSPVIG00000009905	Pogona_vitticeps
ENSSMRP00000028490	ENSSMRG00000021892	Salvator_merianae
ENSVURP00010006309	ENSVURG00010004611	Vombatus_ursinus
ENSPCIP00000015487	ENSPCIG00000011998	Phascolarctos_cinereus
ENSMEUP00000000157	ENSMEUG00000000157	Notamacropus_eugenii
ENSSHAP00000014807	ENSSHAG00000012641	Sarcophilus_harrisii
ENSMODP00000016853	ENSMODG00000013474	Monodelphis_domestica
ENSTBEP00000009516	ENSTBEG00000010928	Tupaia_belangeri
ENSOPRP00000010334	ENSOPRG00000011275	Ochotona_princeps
ENSCCNP00000020034	ENSCCNG00000019956	Castor_canadensis
ENSDORP00000006787	ENSDORG00000007239	Dipodomys_ordii
ENSMSIP00000010559	ENSMSIG00000009111	Mus_spicilegus
MGP_SPRETEiJ_P0091188	MGP_SPRETEiJ_G0033267	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000002095	ENSMUSG00000002028	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0091144	MGP_SPRETEiJ_G0033260	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0087598	MGP_CAROLIEiJ_G0032129	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0023252	MGP_PahariEiJ_G0014998	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000020573	ENSRNOG00000015133	Rattus_norvegicus
ENSMUGP00000013460	ENSMUGG00000011620	Meriones_unguiculatus
ENSMOCP00000020578	ENSMOCG00000018194	Microtus_ochrogaster
ENSPEMP00000016345	ENSPEMG00000015561	Peromyscus_maniculatus_bairdii
ENSCGRP00001019908	ENSCGRG00001019200	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000008440	ENSCGRG00000006146	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015022207	ENSCGRG00015016752	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000024304	ENSMAUG00000021169	Mesocricetus_auratus
ENSNGAP00000002535	ENSNGAG00000002146	Nannospalax_galili
ENSJJAP00000009893	ENSJJAG00000013557	Jaculus_jaculus
