ENSCMIP00000042445	ENSCMIG00000017648	Callorhinchus_milii	ENSCMIT00000043063
ENSCMIP00000042429	ENSCMIG00000017643	Callorhinchus_milii	ENSCMIT00000043047
ENSSFOP00015018598	ENSSFOG00015011908	Scleropages_formosus
ENSPKIP00000011942	ENSPKIG00000025599	Paramormyrops_kingsleyae
ENSDCDP00000004546	ENSDCDG00000002302	Denticeps_clupeoides
ENSCHAP00000015563	ENSCHAG00000008091	Clupea_harengus
ENSAMXP00000054128	ENSAMXG00000019284	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005027976	ENSAMXG00005013904	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000031698	ENSPNAG00000004958	Pygocentrus_nattereri
ENSEEEP00000025233	ENSEEEG00000012240	Electrophorus_electricus
ENSIPUP00000008296	ENSIPUG00000005583	Ictalurus_punctatus
ENSDARP00000058626	ENSDARG00000040087	Danio_rerio
ENSHHUP00000042832	ENSHHUG00000026349	Hucho_hucho
ENSHHUP00000040355	ENSHHUG00000024955	Hucho_hucho
ENSHHUP00000031346	ENSHHUG00000019921	Hucho_hucho
ENSELUP00000003191	ENSELUG00000004455	Esox_lucius
ENSLOCP00000012661	ENSLOCG00000010327	Lepisosteus_oculatus
ENSECRP00000020149	ENSECRG00000013490	Erpetoichthys_calabaricus
ENSPTRP00000029321	ENSPTRG00000017133	Pan_troglodytes
ENSPPAP00000035783	ENSPPAG00000040652	Pan_paniscus
ENSP00000482810	ENSG00000129595	Homo_sapiens
ENSGGOP00000010935	ENSGGOG00000011203	Gorilla_gorilla
ENSPPYP00000017536	ENSPPYG00000015683	Pongo_abelii
ENSNLEP00000014003	ENSNLEG00000011488	Nomascus_leucogenys
ENSMNEP00000020520	ENSMNEG00000034037	Macaca_nemestrina
ENSMFAP00000045114	ENSMFAG00000000281	Macaca_fascicularis
ENSMMUP00000054835	ENSMMUG00000012192	Macaca_mulatta
ENSPANP00000003289	ENSPANG00000007935	Papio_anubis
ENSCATP00000000409	ENSCATG00000001003	Cercocebus_atys
ENSTGEP00000012356	ENSTGEG00000010072	Theropithecus_gelada
ENSMLEP00000010664	ENSMLEG00000029489	Mandrillus_leucophaeus
ENSCSAP00000011054	ENSCSAG00000014948	Chlorocebus_sabaeus
ENSPTEP00000019291	ENSPTEG00000020646	Piliocolobus_tephrosceles
ENSCANP00000015506	ENSCANG00000031186	Colobus_angolensis_palliatus
ENSRBIP00000008096	ENSRBIG00000027939	Rhinopithecus_bieti
ENSRROP00000033954	ENSRROG00000040539	Rhinopithecus_roxellana
ENSCCAP00000033564	ENSCCAG00000034780	Cebus_capucinus_imitator
ENSSBOP00000035523	ENSSBOG00000033903	Saimiri_boliviensis_boliviensis
ENSCJAP00000030215	ENSCJAG00000016406	Callithrix_jacchus
ENSANAP00000019217	ENSANAG00000027415	Aotus_nancymaae
ENSTSYP00000001994	ENSTSYG00000002153	Carlito_syrichta
ENSPCOP00000015640	ENSPCOG00000019567	Propithecus_coquereli
ENSMICP00000006985	ENSMICG00000007679	Microcebus_murinus
ENSPSMP00000036504	ENSPSMG00000025101	Prolemur_simus
ENSOGAP00000004941	ENSOGAG00000005523	Otolemur_garnettii
ENSDORP00000006906	ENSDORG00000007364	Dipodomys_ordii
ENSDORP00000025149	ENSDORG00000027658	Dipodomys_ordii
ENSCCNP00000007804	ENSCCNG00000008275	Castor_canadensis
ENSCGRP00001012140	ENSCGRG00001013614	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015001423	ENSCGRG00015001005	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000025284	ENSCGRG00000018300	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000010828	ENSMAUG00000011587	Mesocricetus_auratus
ENSMOCP00000019658	ENSMOCG00000017576	Microtus_ochrogaster
ENSPEMP00000000017	ENSPEMG00000000017	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0048177	MGP_SPRETEiJ_G0022996	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000025234	ENSMUSG00000024376	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0046252	MGP_CAROLIEiJ_G0022084	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0038855	MGP_PahariEiJ_G0018818	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000032777	ENSRNOG00000026050	Rattus_norvegicus
ENSMUGP00000005176	ENSMUGG00000004767	Meriones_unguiculatus
ENSNGAP00000005087	ENSNGAG00000007041	Nannospalax_galili
ENSJJAP00000004734	ENSJJAG00000009671	Jaculus_jaculus
ENSUPAP00010027688	ENSUPAG00010021876	Urocitellus_parryii
ENSSDAP00000015588	ENSSDAG00000014031	Spermophilus_dauricus
ENSSTOP00000021130	ENSSTOG00000025672	Ictidomys_tridecemlineatus
ENSMMMP00000009985	ENSMMMG00000008867	Marmota_marmota_marmota
ENSCPOP00000002789	ENSCPOG00000003079	Cavia_porcellus
ENSCAPP00000010617	ENSCAPG00000011826	Cavia_aperea
ENSODEP00000003163	ENSODEG00000002429	Octodon_degus
ENSCLAP00000007742	ENSCLAG00000005435	Chinchilla_lanigera
ENSHGLP00000006896	ENSHGLG00000005035	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100007027	ENSHGLG00100005270	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000021382	ENSFDAG00000007754	Fukomys_damarensis
ENSPVAP00000014058	ENSPVAG00000014914	Pteropus_vampyrus
ENSMLUP00000013327	ENSMLUG00000014639	Myotis_lucifugus
ENSBIXP00000008180	ENSBIXG00000014088	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005017059	ENSBIXG00005003503	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000061587	ENSBTAG00000014750	Bos_taurus
ENSBMUP00000003624	ENSBMUG00000002871	Bos_mutus
ENSBBBP00000013645	ENSBBBG00000005703	Bison_bison_bison
ENSOARP00000017357	ENSOARG00000016161	Ovis_aries
ENSCHIP00000032425	ENSCHIG00000026396	Capra_hircus
ENSTTRP00000006451	ENSTTRG00000006821	Tursiops_truncatus
ENSSSCP00000015116	ENSSSCG00000029860	Sus_scrofa_strain_reference
ENSVPAP00000005566	ENSVPAG00000005996	Vicugna_pacos
ENSUAMP00000021386	ENSUAMG00000016360	Ursus_americanus
ENSUMAP00000022616	ENSUMAG00000016427	Ursus_maritimus
ENSAMEP00000013399	ENSAMEG00000012675	Ailuropoda_melanoleuca
ENSNVIP00000027248	ENSNVIG00000021086	Neovison_vison
ENSMPUP00000012589	ENSMPUG00000012683	Mustela_putorius_furo
ENSPTIP00000000314	ENSPTIG00000000481	Panthera_tigris_altaica
ENSPPRP00000022383	ENSPPRG00000012955	Panthera_pardus
ENSFCAP00000007626	ENSFCAG00000008228	Felis_catus
ENSECAP00000010793	ENSECAG00000012628	Equus_caballus
ENSECAP00000041761	ENSECAG00000028537	Equus_caballus
ENSEASP00005022737	ENSEASG00005015263	Equus_asinus_asinus
ENSEEUP00000008255	ENSEEUG00000009031	Erinaceus_europaeus
ENSSARP00000012018	ENSSARG00000013300	Sorex_araneus
