ENSNMEP00000009740	ENSNMEG00000009356	Numida_meleagris
ENSMNEP00000013058	ENSMNEG00000030805	Macaca_nemestrina
ENSPTEP00000013045	ENSPTEG00000014653	Piliocolobus_tephrosceles
ENSMALP00000001966	ENSMALG00000001463	Monopterus_albus
MGP_SPRETEiJ_P0036564	MGP_SPRETEiJ_G0019603	Mus_spretus_strain_SPRET/EiJ
ENSFHEP00000026497	ENSFHEG00000009404	Fundulus_heteroclitus
ENSP00000264933	ENSG00000249915	Homo_sapiens
ENSMUSP00000022060	ENSMUSG00000021576	Mus_musculus_strain_reference_(CL57BL6)
ENSDARP00000009990	ENSDARG00000005220	Danio_rerio
ENSHBUP00000021055	ENSHBUG00000023323	Haplochromis_burtoni
ENSLCRP00005034579	ENSLCRG00005013551	Larimichthys_crocea
ENSCAFP00020005655	ENSCAFG00020004609	Canis_lupus_dingo
ENSUPAP00010024538	ENSUPAG00010019449	Urocitellus_parryii
ENSLOCP00000016326	ENSLOCG00000013249	Lepisosteus_oculatus
ENSNPEP00000017679	ENSNPEG00000013113	Nothoprocta_perdicaria
ENSECAP00000018627	ENSECAG00000021111	Equus_caballus
ENSLBEP00000033289	ENSLBEG00000025074	Labrus_bergylta
ENSTRUP00000057017	ENSTRUG00000013051	Takifugu_rubripes
ENSEASP00005026505	ENSEASG00005018093	Equus_asinus_asinus
ENSVVUP00000030156	ENSVVUG00000022001	Vulpes_vulpes
ENSMLUP00000019132	ENSMLUG00000027283	Myotis_lucifugus
ENSAMXP00005005328	ENSAMXG00005003294	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSSDAP00000026291	ENSSDAG00000023841	Spermophilus_dauricus
ENSBBBP00000010541	ENSBBBG00000009145	Bison_bison_bison
ENSGMOP00000001997	ENSGMOG00000001880	Gadus_morhua
ENSCHIP00000008714	ENSCHIG00000011811	Capra_hircus
ENSMGAP00000007710	ENSMGAG00000007570	Meleagris_gallopavo
ENSPNAP00000021084	ENSPNAG00000028086	Pygocentrus_nattereri
ENSCGRP00015016645	ENSCGRG00015012818	Cricetulus_griseus_CriGri-PICR
ENSSMAP00000032428	ENSSMAG00000019870	Scophthalmus_maximus
ENSARWP00000020222	ENSARWG00000013846	Apteryx_rowi
ENSSDUP00000007939	ENSSDUG00000005822	Seriola_dumerili
FBpp0291024	FBgn0086378	Drosophila_melanogaster
ENSOARP00000016823	ENSOARG00000015678	Ovis_aries
ENSZALP00000001441	ENSZALG00000001644	Zonotrichia_albicollis
ENSVVUP00000003798	ENSVVUG00000002978	Vulpes_vulpes
ENSDCDP00000004759	ENSDCDG00000002375	Denticeps_clupeoides
ENSLCAP00010037609	ENSLCAG00010017619	Lates_calcarifer
ENSDNOP00000031851	ENSDNOG00000045150	Dasypus_novemcinctus
