FBpp0082568	FBgn0026634	Drosophila_melanogaster	FBtr0083114
C06G3.10.1	WBGene00000585	Caenorhabditis_elegans_strain_N2	C06G3.10.1
ENSUAMP00000025746	ENSUAMG00000020012	Ursus_americanus
ENSUMAP00000006529	ENSUMAG00000005115	Ursus_maritimus
ENSAMEP00000010193	ENSAMEG00000009660	Ailuropoda_melanoleuca
ENSNVIP00000027913	ENSNVIG00000021555	Neovison_vison
ENSMPUP00000004576	ENSMPUG00000004611	Mustela_putorius_furo
ENSCAFP00020035118	ENSCAFG00020027211	Canis_lupus_dingo
ENSCAFP00000052681	ENSCAFG00000012080	Canis_lupus_familiaris
ENSVVUP00000009069	ENSVVUG00000006773	Vulpes_vulpes
ENSPPRP00000022245	ENSPPRG00000012840	Panthera_pardus
ENSPTIP00000013999	ENSPTIG00000013545	Panthera_tigris_altaica
ENSFCAP00000054193	ENSFCAG00000013537	Felis_catus
ENSVPAP00000004428	ENSVPAG00000004772	Vicugna_pacos
ENSSSCP00000010860	ENSSSCG00000010183	Sus_scrofa_strain_reference
ENSBIXP00005046705	ENSBIXG00005031429	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000039292	ENSBIXG00000023245	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000027073	ENSBTAG00000020314	Bos_taurus
ENSBMUP00000008995	ENSBMUG00000007000	Bos_mutus
ENSBBBP00000000407	ENSBBBG00000009555	Bison_bison_bison
ENSOARP00000003302	ENSOARG00000003101	Ovis_aries
ENSCHIP00000003213	ENSCHIG00000007135	Capra_hircus
ENSTTRP00000003718	ENSTTRG00000003942	Tursiops_truncatus
ENSMLUP00000007889	ENSMLUG00000008642	Myotis_lucifugus
ENSPVAP00000010718	ENSPVAG00000011366	Pteropus_vampyrus
ENSECAP00000008412	ENSECAG00000010075	Equus_caballus	ENSECAT00000010848
ENSEASP00005017450	ENSEASG00005012075	Equus_asinus_asinus
ENSSARP00000007315	ENSSARG00000008090	Sorex_araneus	ENSSART00000008087
ENSEEUP00000008880	ENSEEUG00000009729	Erinaceus_europaeus	ENSEEUT00000009742
ENSPTRP00000003542	ENSPTRG00000002095	Pan_troglodytes
ENSPPAP00000037579	ENSPPAG00000041497	Pan_paniscus
ENSP00000355629	ENSG00000135775	Homo_sapiens
ENSGGOP00000010200	ENSGGOG00000010454	Gorilla_gorilla
ENSPPYP00000000123	ENSPPYG00000000121	Pongo_abelii
ENSNLEP00000002031	ENSNLEG00000001549	Nomascus_leucogenys
ENSCANP00000003596	ENSCANG00000012784	Colobus_angolensis_palliatus
ENSPTEP00000036144	ENSPTEG00000034010	Piliocolobus_tephrosceles
ENSRROP00000027364	ENSRROG00000037474	Rhinopithecus_roxellana
ENSRBIP00000017029	ENSRBIG00000032532	Rhinopithecus_bieti
ENSTGEP00000013060	ENSTGEG00000010626	Theropithecus_gelada
ENSPANP00000008902	ENSPANG00000009759	Papio_anubis
ENSMLEP00000012671	ENSMLEG00000030518	Mandrillus_leucophaeus
ENSCATP00000003634	ENSCATG00000013816	Cercocebus_atys
ENSMMUP00000007735	ENSMMUG00000005877	Macaca_mulatta
ENSMNEP00000007558	ENSMNEG00000028338	Macaca_nemestrina
ENSMFAP00000007105	ENSMFAG00000036591	Macaca_fascicularis
ENSCSAP00000006797	ENSCSAG00000010573	Chlorocebus_sabaeus
ENSCCAP00000018631	ENSCCAG00000027158	Cebus_capucinus_imitator
ENSSBOP00000008584	ENSSBOG00000021187	Saimiri_boliviensis_boliviensis
ENSCJAP00000021969	ENSCJAG00000011909	Callithrix_jacchus
ENSANAP00000010826	ENSANAG00000023360	Aotus_nancymaae
ENSTSYP00000006928	ENSTSYG00000007527	Carlito_syrichta
ENSPCOP00000017785	ENSPCOG00000020732	Propithecus_coquereli
ENSMICP00000003809	ENSMICG00000004171	Microcebus_murinus
ENSPSMP00000006576	ENSPSMG00000004877	Prolemur_simus
ENSOGAP00000010103	ENSOGAG00000011283	Otolemur_garnettii
ENSOCUP00000000413	ENSOCUG00000000472	Oryctolagus_cuniculus
ENSOPRP00000015092	ENSOPRG00000016519	Ochotona_princeps
ENSTBEP00000015425	ENSTBEG00000017731	Tupaia_belangeri
ENSHGLP00100000434	ENSHGLG00100000366	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000024944	ENSHGLG00000017776	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000005116	ENSFDAG00000014207	Fukomys_damarensis
ENSCPOP00000012062	ENSCPOG00000013400	Cavia_porcellus
ENSCAPP00000000516	ENSCAPG00000000413	Cavia_aperea
ENSCLAP00000008299	ENSCLAG00000005818	Chinchilla_lanigera
ENSSTOP00000030766	ENSSTOG00000015463	Ictidomys_tridecemlineatus
ENSSDAP00000012687	ENSSDAG00000011437	Spermophilus_dauricus
ENSUPAP00010000009	ENSUPAG00010000010	Urocitellus_parryii
ENSMMMP00000013650	ENSMMMG00000011637	Marmota_marmota_marmota
ENSCCNP00000001267	ENSCCNG00000001363	Castor_canadensis
ENSDORP00000024161	ENSDORG00000011296	Dipodomys_ordii
ENSMSIP00000010803	ENSMSIG00000009470	Mus_spicilegus
MGP_SPRETEiJ_P0090037	MGP_SPRETEiJ_G0032823	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000034460	ENSMUSG00000031979	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0086509	MGP_CAROLIEiJ_G0031705	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0054756	MGP_PahariEiJ_G0023303	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000054881	ENSRNOG00000018228	Rattus_norvegicus
ENSMUGP00000011221	ENSMUGG00000009811	Meriones_unguiculatus
ENSCGRP00000013133	ENSCGRG00000009552	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015012122	ENSCGRG00015009282	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001017017	ENSCGRG00001017179	Cricetulus_griseus_CHOK1GS_HDv1
ENSPEMP00000033606	ENSPEMG00000029277	Peromyscus_maniculatus_bairdii
ENSLAFP00000001757	ENSLAFG00000002100	Loxodonta_africana
ENSPCAP00000005398	ENSPCAG00000005724	Procavia_capensis
ENSETEP00000015547	ENSETEG00000019141	Echinops_telfairi
ENSCHOP00000004108	ENSCHOG00000004645	Choloepus_hoffmanni
ENSDNOP00000029050	ENSDNOG00000039806	Dasypus_novemcinctus
ENSVURP00010000368	ENSVURG00010000343	Vombatus_ursinus
ENSVURP00010000796	ENSVURG00010000701	Vombatus_ursinus
ENSPCIP00000048732	ENSPCIG00000011602	Phascolarctos_cinereus
ENSMEUP00000004579	ENSMEUG00000005007	Notamacropus_eugenii
ENSSHAP00000020689	ENSSHAG00000017545	Sarcophilus_harrisii
ENSMODP00000051502	ENSMODG00000009191	Monodelphis_domestica
ENSSDAP00000012697	ENSSDAG00000011453	Spermophilus_dauricus
ENSMPUP00000001893	ENSMPUG00000001910	Mustela_putorius_furo
ENSDNOP00000027666	ENSDNOG00000040583	Dasypus_novemcinctus
ENSOANP00000025535	ENSOANG00000013736	Ornithorhynchus_anatinus
ENSACAP00000001622	ENSACAG00000001542	Anolis_carolinensis
ENSACAP00000020523	ENSACAG00000027473	Anolis_carolinensis
ENSPVIP00000001010	ENSPVIG00000000943	Pogona_vitticeps
ENSNSUP00000003530	ENSNSUG00000002864	Notechis_scutatus
ENSSMRP00000028668	ENSSMRG00000022037	Salvator_merianae
ENSSPUP00000003246	ENSSPUG00000002496	Sphenodon_punctatus
ENSLCOP00000009245	ENSLCOG00000006747	Lepidothrix_coronata
ENSMVIP00005020740	ENSMVIG00005014560	Manacus_vitellinus
ENSCCEP00000012162	ENSCCEG00000011768	Cyanistes_caeruleus
