ENSAOWP00000024923	ENSAOWG00000016868	Apteryx_owenii	ENSAOWT00000028262
ENSZALP00000022933	ENSZALG00000017771	Zonotrichia_albicollis	ENSZALT00000029771
ENSOANP00000005743	ENSOANG00000003622	Ornithorhynchus_anatinus	ENSOANT00000005745
ENSEBUP00000002148	ENSEBUG00000001673	Eptatretus_burgeri	ENSEBUT00000002495
ENSCCNP00000024844	ENSCCNG00000024307	Castor_canadensis
ENSDORP00000026228	ENSDORG00000023645	Dipodomys_ordii
ENSMUSP00000040364	ENSMUSG00000034701	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000037843	ENSMSIG00000031520	Mus_spicilegus
MGP_SPRETEiJ_P0054594	MGP_SPRETEiJ_G0024621	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0052511	MGP_CAROLIEiJ_G0023700	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0063498	MGP_PahariEiJ_G0025151	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000007662	ENSRNOG00000005609	Rattus_norvegicus
ENSMUGP00000012066	ENSMUGG00000010546	Meriones_unguiculatus
ENSCGRP00000026772	ENSCGRG00000019863	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015026824	ENSCGRG00015020316	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001004132	ENSCGRG00001005185	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000017074	ENSMAUG00000016034	Mesocricetus_auratus
ENSPEMP00000003465	ENSPEMG00000004936	Peromyscus_maniculatus_bairdii
ENSMOCP00000001804	ENSMOCG00000001404	Microtus_ochrogaster
ENSNGAP00000020853	ENSNGAG00000020214	Nannospalax_galili
ENSJJAP00000015508	ENSJJAG00000017656	Jaculus_jaculus
ENSSTOP00000019657	ENSSTOG00000019627	Ictidomys_tridecemlineatus
ENSUPAP00010006968	ENSUPAG00010005612	Urocitellus_parryii
ENSMMMP00000009101	ENSMMMG00000008141	Marmota_marmota_marmota
ENSSDAP00000016954	ENSSDAG00000015347	Spermophilus_dauricus
ENSOPRP00000007867	ENSOPRG00000008607	Ochotona_princeps
ENSOCUP00000044556	ENSOCUG00000007548	Oryctolagus_cuniculus
ENSMICP00000040541	ENSMICG00000042141	Microcebus_murinus
ENSPCOP00000005047	ENSPCOG00000013346	Propithecus_coquereli
ENSMLEP00000002796	ENSMLEG00000011647	Mandrillus_leucophaeus
ENSCATP00000000446	ENSCATG00000002204	Cercocebus_atys
ENSTGEP00000033125	ENSTGEG00000026478	Theropithecus_gelada
ENSMMUP00000010871	ENSMMUG00000008296	Macaca_mulatta
ENSMNEP00000000567	ENSMNEG00000002716	Macaca_nemestrina
ENSMFAP00000009697	ENSMFAG00000034877	Macaca_fascicularis
ENSPANP00000002190	ENSPANG00000007303	Papio_anubis
ENSCSAP00000018178	ENSCSAG00000018652	Chlorocebus_sabaeus
ENSRBIP00000004761	ENSRBIG00000021704	Rhinopithecus_bieti
ENSRROP00000002245	ENSRROG00000009134	Rhinopithecus_roxellana
ENSPTEP00000016636	ENSPTEG00000018260	Piliocolobus_tephrosceles
ENSCANP00000003342	ENSCANG00000012018	Colobus_angolensis_palliatus
ENSGGOP00000017698	ENSGGOG00000027940	Gorilla_gorilla
ENSP00000295108	ENSG00000162992	Homo_sapiens
ENSPPYP00000023725	ENSPPYG00000029484	Pongo_abelii
ENSNLEP00000047783	ENSNLEG00000033713	Nomascus_leucogenys
ENSCCAP00000004655	ENSCCAG00000019900	Cebus_capucinus_imitator
ENSSBOP00000003124	ENSSBOG00000015587	Saimiri_boliviensis_boliviensis
ENSCJAP00000021181	ENSCJAG00000011529	Callithrix_jacchus
ENSANAP00000001465	ENSANAG00000013030	Aotus_nancymaae
ENSOGAP00000021379	ENSOGAG00000025613	Otolemur_garnettii
ENSTSYP00000011505	ENSTSYG00000012547	Carlito_syrichta
ENSMPUP00000018985	ENSMPUG00000019108	Mustela_putorius_furo
ENSNVIP00000009246	ENSNVIG00000007331	Neovison_vison
ENSAMEP00000020259	ENSAMEG00000019191	Ailuropoda_melanoleuca
ENSPPRP00000028638	ENSPPRG00000020836	Panthera_pardus
ENSPTIP00000002223	ENSPTIG00000005315	Panthera_tigris_altaica
ENSFCAP00000004205	ENSFCAG00000004553	Felis_catus
ENSECAP00000045964	ENSECAG00000028766	Equus_caballus
ENSEASP00005032474	ENSEASG00005022155	Equus_asinus_asinus
ENSBMUP00000000632	ENSBMUG00000000558	Bos_mutus
ENSBTAP00000002301	ENSBTAG00000001755	Bos_taurus
ENSBIXP00005028524	ENSBIXG00005008204	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000040333	ENSBIXG00000024380	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000026608	ENSBBBG00000022504	Bison_bison_bison
ENSCHIP00000011225	ENSCHIG00000013471	Capra_hircus
ENSTTRP00000015887	ENSTTRG00000016757	Tursiops_truncatus
ENSSSCP00000016965	ENSSSCG00000016011	Sus_scrofa_strain_reference
ENSMLUP00000020920	ENSMLUG00000025259	Myotis_lucifugus
ENSLAFP00000020635	ENSLAFG00000000612	Loxodonta_africana
ENSPCAP00000008299	ENSPCAG00000008927	Procavia_capensis
ENSDNOP00000017789	ENSDNOG00000012297	Dasypus_novemcinctus
ENSSARP00000007813	ENSSARG00000008648	Sorex_araneus
ENSHGLP00100020642	ENSHGLG00100015212	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000004611	ENSHGLG00000003374	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000002525	ENSFDAG00000012194	Fukomys_damarensis
ENSODEP00000026498	ENSODEG00000019934	Octodon_degus
ENSCLAP00000024463	ENSCLAG00000016796	Chinchilla_lanigera
ENSCPOP00000019233	ENSCPOG00000025248	Cavia_porcellus
ENSETEP00000014717	ENSETEG00000018112	Echinops_telfairi
ENSMODP00000013028	ENSMODG00000010392	Monodelphis_domestica
ENSSHAP00000017927	ENSSHAG00000015217	Sarcophilus_harrisii
ENSMEUP00000014706	ENSMEUG00000016098	Notamacropus_eugenii
ENSPCIP00000019408	ENSPCIG00000014845	Phascolarctos_cinereus
ENSSPUP00000024449	ENSSPUG00000018731	Sphenodon_punctatus
ENSSMRP00000023979	ENSSMRG00000018615	Salvator_merianae
ENSABRP00000005142	ENSABRG00000004771	Anser_brachyrhynchus
ENSAPLP00000027375	ENSAPLG00000020272	Anas_platyrhynchos_platyrhynchos
ENSGALP00000014468	ENSGALG00000008908	Gallus_gallus
ENSCJPP00005020841	ENSCJPG00005016724	Coturnix_japonica
ENSNMEP00000026261	ENSNMEG00000022163	Numida_meleagris
ENSFALP00000015889	ENSFALG00000015273	Ficedula_albicollis
ENSPMJP00000025028	ENSPMJG00000018356	Parus_major
ENSLSDP00000009652	ENSLSDG00000007156	Lonchura_striata_domestica
ENSJHYP00000015403	ENSJHYG00000011831	Junco_hyemalis
ENSLCOP00000023114	ENSLCOG00000016218	Lepidothrix_coronata
ENSMVIP00005000766	ENSMVIG00005000633	Manacus_vitellinus
ENSSCAP00000001611	ENSSCAG00000001352	Serinus_canaria
ENSZALP00000022932	ENSZALG00000017770	Zonotrichia_albicollis
ENSMUNP00000008305	ENSMUNG00000006631	Melopsittacus_undulatus
ENSCPGP00000003274	ENSCPGG00000002409	Calidris_pygmaea
ENSCPUP00000007365	ENSCPUG00000005319	Calidris_pugnax
ENSARWP00000018709	ENSARWG00000012860	Apteryx_rowi
ENSAHAP00000007035	ENSAHAG00000005273	Apteryx_haastii
ENSDNVP00000019752	ENSDNVG00000013833	Dromaius_novaehollandiae
ENSNPEP00000019296	ENSNPEG00000014389	Nothoprocta_perdicaria
ENSCPRP00005019265	ENSCPRG00005013456	Crocodylus_porosus
ENSCABP00000017048	ENSCABG00000012662	Chelonoidis_abingdonii
ENSGAGP00000010066	ENSGAGG00000007901	Gopherus_agassizii
ENSCPBP00000002016	ENSCPBG00000001635	Chrysemys_picta_bellii
ENSPSIP00000001004	ENSPSIG00000001006	Pelodiscus_sinensis
ENSXETP00000047079	ENSXETG00000019165	Xenopus_tropicalis
ENSLACP00000015074	ENSLACG00000013264	Latimeria_chalumnae
ENSPKIP00000004367	ENSPKIG00000021509	Paramormyrops_kingsleyae
ENSSFOP00015004225	ENSSFOG00015002780	Scleropages_formosus
ENSCHAP00000010514	ENSCHAG00000006052	Clupea_harengus
ENSDCDP00000063496	ENSDCDG00000035778	Denticeps_clupeoides
ENSDARP00000026490	ENSDARG00000019566	Danio_rerio
ENSHHUP00000054826	ENSHHUG00000032866	Hucho_hucho
ENSHHUP00000030427	ENSHHUG00000019355	Hucho_hucho
ENSLOCP00000021932	ENSLOCG00000017829	Lepisosteus_oculatus
ENSECRP00000021322	ENSECRG00000014382	Erpetoichthys_calabaricus
ENSCMIP00000002033	ENSCMIG00000001241	Callorhinchus_milii
ENSOANP00000005758	ENSOANG00000003630	Ornithorhynchus_anatinus
ENSAPOP00000002632	ENSAPOG00000004060	Acanthochromis_polyacanthus
ENSLBEP00000027225	ENSLBEG00000020670	Labrus_bergylta
ENSATEP00000007401	ENSATEG00000005215	Anabas_testudineus
ENSBSLP00000017918	ENSBSLG00000009409	Betta_splendens
ENSTRUP00000036445	ENSTRUG00000014252	Takifugu_rubripes
ENSTNIP00000006121	ENSTNIG00000003533	Tetraodon_nigroviridis
ENSXMAP00000001507	ENSXMAG00000001517	Xiphophorus_maculatus
ENSXCOP00000024850	ENSXCOG00000018555	Xiphophorus_couchianus
ENSGAFP00000031398	ENSGAFG00000021157	Gambusia_affinis
ENSPFOP00000014998	ENSPFOG00000014944	Poecilia_formosa
ENSPMEP00000025123	ENSPMEG00000007903	Poecilia_mexicana
ENSPLAP00000030396	ENSPLAG00000021429	Poecilia_latipinna
ENSPREP00000006308	ENSPREG00000004383	Poecilia_reticulata
ENSFHEP00000008468	ENSFHEG00000009660	Fundulus_heteroclitus
ENSCVAP00000025192	ENSCVAG00000009805	Cyprinodon_variegatus
ENSKMAP00000006867	ENSKMAG00000005183	Kryptolebias_marmoratus
ENSORLP00020030506	ENSORLG00020015004	Oryzias_latipes_ASM223471v1
ENSORLP00000027936	ENSORLG00000027657	Oryzias_latipes_ASM223467v1
ENSORLP00015016923	ENSORLG00015017930	Oryzias_latipes_ASM223469v1
ENSOMEP00000013663	ENSOMEG00000015127	Oryzias_melastigma
ENSAOCP00000003798	ENSAOCG00000007137	Amphiprion_ocellaris
ENSAPEP00000003747	ENSAPEG00000002701	Amphiprion_percula
ENSPRNP00000021069	ENSPRNG00000010916	Parambassis_ranga
ENSMZEP00005028777	ENSMZEG00005021467	Maylandia_zebra
ENSACLP00000037763	ENSACLG00000025538	Astatotilapia_calliptera
ENSPNYP00000013922	ENSPNYG00000010559	Pundamilia_nyererei
ENSHBUP00000009021	ENSHBUG00000010548	Haplochromis_burtoni
ENSNBRP00000025447	ENSNBRG00000019450	Neolamprologus_brichardi
ENSONIP00000008678	ENSONIG00000006878	Oreochromis_niloticus
ENSACIP00000025987	ENSACIG00000020136	Amphilophus_citrinellus
ENSSPAP00000011440	ENSSPAG00000008699	Stegastes_partitus
ENSLCRP00005047372	ENSLCRG00005017954	Larimichthys_crocea
ENSMMOP00000026008	ENSMMOG00000019726	Mola_mola
ENSSDUP00000014526	ENSSDUG00000010607	Seriola_dumerili
ENSSLDP00000029984	ENSSLDG00000023123	Seriola_lalandi_dorsalis
ENSMAMP00000028025	ENSMAMG00000018847	Mastacembelus_armatus
ENSCGOP00000005188	ENSCGOG00000002700	Cottoperca_gobio
ENSGACP00000002676	ENSGACG00000002064	Gasterosteus_aculeatus
ENSGWIP00000047046	ENSGWIG00000023183	Gouania_willdenowi
ENSSMAP00000007575	ENSSMAG00000004678	Scophthalmus_maximus
ENSCSEP00000008194	ENSCSEG00000005247	Cynoglossus_semilaevis
ENSLCAP00010024616	ENSLCAG00010011522	Lates_calcarifer
ENSMALP00000002583	ENSMALG00000001948	Monopterus_albus
ENSHCOP00000018970	ENSHCOG00000003941	Hippocampus_comes
ENSPMGP00000028487	ENSPMGG00000022929	Periophthalmus_magnuspinnatus
ENSGMOP00000015700	ENSGMOG00000014666	Gadus_morhua
ENSHHUP00000006670	ENSHHUG00000004096	Hucho_hucho
ENSELUP00000006090	ENSELUG00000007030	Esox_lucius
ENSAMXP00005054131	ENSAMXG00005024221	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000015378	ENSAMXG00000014944	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000027020	ENSPNAG00000012412	Pygocentrus_nattereri
ENSIPUP00000008182	ENSIPUG00000005637	Ictalurus_punctatus
ENSEBUP00000010718	ENSEBUG00000006891	Eptatretus_burgeri
ENSEBUP00000021340	ENSEBUG00000013188	Eptatretus_burgeri
ENSPMAP00000008309	ENSPMAG00000007548	Petromyzon_marinus
ENSCMIP00000010800	ENSCMIG00000005681	Callorhinchus_milii
