H21P03.2.1	WBGene00010409	Caenorhabditis_elegans_strain_N2	H21P03.2.1
FBpp0271847	FBgn0032251	Drosophila_melanogaster	FBtr0273339
ENSPMAP00000004492	ENSPMAG00000004105	Petromyzon_marinus	ENSPMAT00000004509
ENSEBUP00000008581	ENSEBUG00000005551	Eptatretus_burgeri	ENSEBUT00000009087
ENSGALP00000015454	ENSGALG00000009504	Gallus_gallus	ENSGALT00000015470
ENSNMEP00000014204	ENSNMEG00000012781	Numida_meleagris
ENSMVIP00005022159	ENSMVIG00005015558	Manacus_vitellinus
ENSLCOP00000013899	ENSLCOG00000010024	Lepidothrix_coronata
ENSJHYP00000013597	ENSJHYG00000010540	Junco_hyemalis
ENSZALP00000015585	ENSZALG00000012756	Zonotrichia_albicollis
ENSDNVP00000003092	ENSDNVG00000002206	Dromaius_novaehollandiae
ENSSMRP00000006737	ENSSMRG00000005469	Salvator_merianae
ENSMODP00000010455	ENSMODG00000008405	Monodelphis_domestica
ENSLACP00000023314	ENSLACG00000022174	Latimeria_chalumnae
ENSHHUP00000010404	ENSHHUG00000006358	Hucho_hucho
ENSELUP00000016423	ENSELUG00000016291	Esox_lucius
ENSPFOP00000016670	ENSPFOG00000016549	Poecilia_formosa
ENSPMEP00000027863	ENSPMEG00000012546	Poecilia_mexicana
ENSPLAP00000004175	ENSPLAG00000005818	Poecilia_latipinna
ENSPREP00000005419	ENSPREG00000003735	Poecilia_reticulata
ENSXMAP00000005696	ENSXMAG00000005673	Xiphophorus_maculatus
ENSGAFP00000009388	ENSGAFG00000006397	Gambusia_affinis
ENSFHEP00000004280	ENSFHEG00000005196	Fundulus_heteroclitus
ENSCVAP00000029059	ENSCVAG00000016540	Cyprinodon_variegatus
ENSCVAP00000029251	ENSCVAG00000016850	Cyprinodon_variegatus
ENSKMAP00000020713	ENSKMAG00000015399	Kryptolebias_marmoratus
ENSORLP00015000690	ENSORLG00015001288	Oryzias_latipes_ASM223469v1
ENSORLP00000026125	ENSORLG00000011593	Oryzias_latipes_ASM223467v1
ENSORLP00020015234	ENSORLG00020016241	Oryzias_latipes_ASM223471v1
ENSOMEP00000034985	ENSOMEG00000021951	Oryzias_melastigma
ENSHCOP00000021346	ENSHCOG00000008094	Hippocampus_comes
ENSGWIP00000050522	ENSGWIG00000024531	Gouania_willdenowi
ENSCSEP00000018252	ENSCSEG00000011720	Cynoglossus_semilaevis
ENSAOCP00000000556	ENSAOCG00000003419	Amphiprion_ocellaris
ENSAPEP00000022387	ENSAPEG00000015945	Amphiprion_percula
ENSAPOP00000000472	ENSAPOG00000001667	Acanthochromis_polyacanthus
ENSSPAP00000014224	ENSSPAG00000010755	Stegastes_partitus
ENSPRNP00000046633	ENSPRNG00000022484	Parambassis_ranga
ENSACLP00000038117	ENSACLG00000025765	Astatotilapia_calliptera
ENSMZEP00005011550	ENSMZEG00005008674	Maylandia_zebra
ENSHBUP00000027510	ENSHBUG00000010752	Haplochromis_burtoni
ENSPNYP00000023386	ENSPNYG00000017673	Pundamilia_nyererei
ENSNBRP00000020671	ENSNBRG00000015903	Neolamprologus_brichardi
ENSONIP00000012501	ENSONIG00000009943	Oreochromis_niloticus
ENSACIP00000011481	ENSACIG00000008948	Amphilophus_citrinellus
ENSMAMP00000029352	ENSMAMG00000019775	Mastacembelus_armatus
ENSMALP00000004301	ENSMALG00000003074	Monopterus_albus
ENSATEP00000024984	ENSATEG00000017351	Anabas_testudineus
ENSBSLP00000031059	ENSBSLG00000015201	Betta_splendens
ENSSLDP00000002113	ENSSLDG00000001733	Seriola_lalandi_dorsalis
ENSSDUP00000001651	ENSSDUG00000001297	Seriola_dumerili
ENSLCAP00010003172	ENSLCAG00010001671	Lates_calcarifer
ENSSMAP00000014988	ENSSMAG00000009185	Scophthalmus_maximus
ENSCGOP00000055894	ENSCGOG00000024335	Cottoperca_gobio
ENSLCRP00005021063	ENSLCRG00005008573	Larimichthys_crocea
ENSGACP00000006672	ENSGACG00000005042	Gasterosteus_aculeatus
ENSLBEP00000035795	ENSLBEG00000026837	Labrus_bergylta
ENSTRUP00000038403	ENSTRUG00000010786	Takifugu_rubripes
ENSTRUP00000038402	ENSTRUG00000015029	Takifugu_rubripes
ENSTNIP00000019729	ENSTNIG00000016623	Tetraodon_nigroviridis
ENSMMOP00000004166	ENSMMOG00000003328	Mola_mola
ENSPMGP00000027736	ENSPMGG00000022380	Periophthalmus_magnuspinnatus
ENSDCDP00000033293	ENSDCDG00000022738	Denticeps_clupeoides
ENSCHAP00000025836	ENSCHAG00000012591	Clupea_harengus
ENSAMXP00000012436	ENSAMXG00000012091	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005030466	ENSAMXG00005014942	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000001789	ENSPNAG00000008367	Pygocentrus_nattereri
ENSIPUP00000036545	ENSIPUG00000024470	Ictalurus_punctatus
ENSEEEP00000047528	ENSEEEG00000022372	Electrophorus_electricus
ENSDARP00000029924	ENSDARG00000024311	Danio_rerio
ENSSFOP00015005193	ENSSFOG00015003406	Scleropages_formosus
ENSPKIP00000003717	ENSPKIG00000021110	Paramormyrops_kingsleyae
ENSLOCP00000010698	ENSLOCG00000008786	Lepisosteus_oculatus
ENSCMIP00000015412	ENSCMIG00000007525	Callorhinchus_milii
ENSCSAVP00000003402	ENSCSAVG00000002024	Ciona_savignyi
ENSCINP00000015486	ENSCING00000007558	Ciona_intestinalis
YDL105W_mRNA	YDL105W	Saccharomyces_cerevisiae_strain_S288C
