ENSCABP00000025207	ENSCABG00000018560	Chelonoidis_abingdonii
ENSCPBP00000015891	ENSCPBG00000011731	Chrysemys_picta_bellii
ENSGAGP00000014270	ENSGAGG00000010859	Gopherus_agassizii
ENSPSIP00000013851	ENSPSIG00000012424	Pelodiscus_sinensis
ENSCPRP00005010212	ENSCPRG00005007281	Crocodylus_porosus
ENSNPEP00000011555	ENSNPEG00000008681	Nothoprocta_perdicaria
ENSACAP00000002034	ENSACAG00000002142	Anolis_carolinensis
ENSNSUP00000015889	ENSNSUG00000011762	Notechis_scutatus
ENSSMRP00000001856	ENSSMRG00000001619	Salvator_merianae
ENSSPUP00000006613	ENSSPUG00000005084	Sphenodon_punctatus
ENSPCAP00000002478	ENSPCAG00000002637	Procavia_capensis
ENSLAFP00000001281	ENSLAFG00000001535	Loxodonta_africana
ENSETEP00000010864	ENSETEG00000013399	Echinops_telfairi
ENSDNOP00000014112	ENSDNOG00000018185	Dasypus_novemcinctus
ENSDNOP00000013109	ENSDNOG00000016923	Dasypus_novemcinctus
ENSCHOP00000008415	ENSCHOG00000009517	Choloepus_hoffmanni
ENSCHIP00000011458	ENSCHIG00000013608	Capra_hircus
ENSOARP00000017043	ENSOARG00000015875	Ovis_aries
ENSBMUP00000009821	ENSBMUG00000007617	Bos_mutus
ENSTTRP00000002018	ENSTTRG00000002149	Tursiops_truncatus
ENSVPAP00000001791	ENSVPAG00000001938	Vicugna_pacos
ENSPVAP00000014647	ENSPVAG00000015533	Pteropus_vampyrus
ENSAMEP00000003820	ENSAMEG00000003634	Ailuropoda_melanoleuca
ENSUMAP00000027028	ENSUMAG00000019640	Ursus_maritimus
ENSCAFP00020002449	ENSCAFG00020002073	Canis_lupus_dingo
ENSEASP00005019555	ENSEASG00005013442	Equus_asinus_asinus
ENSEEUP00000010656	ENSEEUG00000011686	Erinaceus_europaeus
ENSSARP00000004804	ENSSARG00000005315	Sorex_araneus
ENSUPAP00010023481	ENSUPAG00010018615	Urocitellus_parryii
ENSSTOP00000002813	ENSSTOG00000003155	Ictidomys_tridecemlineatus
ENSSDAP00000003069	ENSSDAG00000002943	Spermophilus_dauricus
ENSMMMP00000007925	ENSMMMG00000007096	Marmota_marmota_marmota
ENSPEMP00000033285	ENSPEMG00000028596	Peromyscus_maniculatus_bairdii
ENSOPRP00000007354	ENSOPRG00000008025	Ochotona_princeps
ENSPPYP00000003893	ENSPPYG00000003391	Pongo_abelii
ENSNLEP00000021722	ENSNLEG00000017876	Nomascus_leucogenys
ENSCSAP00000001560	ENSCSAG00000005242	Chlorocebus_sabaeus
ENSMMUP00000076027	ENSMMUG00000049710	Macaca_mulatta
ENSRBIP00000003213	ENSRBIG00000015247	Rhinopithecus_bieti
ENSSBOP00000033236	ENSSBOG00000032797	Saimiri_boliviensis_boliviensis
ENSCJAP00000011124	ENSCJAG00000006055	Callithrix_jacchus
ENSTSYP00000006149	ENSTSYG00000006710	Carlito_syrichta
ENSPCOP00000027016	ENSPCOG00000025939	Propithecus_coquereli
ENSMICP00000006866	ENSMICG00000007547	Microcebus_murinus
ENSOGAP00000007027	ENSOGAG00000007847	Otolemur_garnettii
ENSTBEP00000002298	ENSTBEG00000002669	Tupaia_belangeri
ENSMEUP00000002256	ENSMEUG00000002462	Notamacropus_eugenii
ENSOANP00000015687	ENSOANG00000009895	Ornithorhynchus_anatinus
ENSLACP00000022173	ENSLACG00000013512	Latimeria_chalumnae
ENSLOCP00000005590	ENSLOCG00000004669	Lepisosteus_oculatus	ENSLOCT00000005598
ENSCMIP00000044274	ENSCMIG00000018334	Callorhinchus_milii
