ENSRBIP00000029743	ENSRBIG00000038755	Rhinopithecus_bieti	ENSRBIT00000053697
ENSPTEP00000043793	ENSPTEG00000039803	Piliocolobus_tephrosceles	ENSPTET00000058247
ENSMLEP00000023566	ENSMLEG00000035971	Mandrillus_leucophaeus	ENSMLET00000047083
ENSANAP00000022156	ENSANAG00000028847	Aotus_nancymaae	ENSANAT00000040049
ENSBBBP00000014460	ENSBBBG00000022193	Bison_bison_bison
ENSMODP00000052357	ENSMODG00000040351	Monodelphis_domestica	ENSMODT00000088705
ENSOANP00000030182	ENSOANG00000028381	Ornithorhynchus_anatinus
ENSZALP00000017650	ENSZALG00000014245	Zonotrichia_albicollis
ENSJHYP00000006409	ENSJHYG00000005172	Junco_hyemalis
ENSSCAP00000000700	ENSSCAG00000000595	Serinus_canaria
ENSMVIP00005002430	ENSMVIG00005001918	Manacus_vitellinus
ENSNMEP00000012444	ENSNMEG00000011519	Numida_meleagris
ENSABRP00000018428	ENSABRG00000015833	Anser_brachyrhynchus
ENSARWP00000010702	ENSARWG00000007419	Apteryx_rowi
ENSAHAP00000022858	ENSAHAG00000015999	Apteryx_haastii
ENSNPEP00000004898	ENSNPEG00000003740	Nothoprocta_perdicaria
ENSSMRP00000030261	ENSSMRG00000023207	Salvator_merianae
ENSPVIP00000001343	ENSPVIG00000001248	Pogona_vitticeps
ENSAOCP00000012185	ENSAOCG00000016591	Amphiprion_ocellaris
