ENSGGOP00000010773	ENSGGOG00000011051	Gorilla_gorilla	ENSGGOT00000011094
ENSP00000276431	ENSG00000120889	Homo_sapiens
ENSPPAP00000000388	ENSPPAG00000001205	Pan_paniscus
ENSPTRP00000072563	ENSPTRG00000020070	Pan_troglodytes
ENSPPYP00000020655	ENSPPYG00000018431	Pongo_abelii
ENSNLEP00000019253	ENSNLEG00000015879	Nomascus_leucogenys
ENSRBIP00000000090	ENSRBIG00000000437	Rhinopithecus_bieti
ENSCANP00000018265	ENSCANG00000032595	Colobus_angolensis_palliatus
ENSPTEP00000027503	ENSPTEG00000027345	Piliocolobus_tephrosceles
ENSPANP00000006581	ENSPANG00000009912	Papio_anubis
ENSTGEP00000001099	ENSTGEG00000001040	Theropithecus_gelada
ENSCATP00000031769	ENSCATG00000038988	Cercocebus_atys
ENSMMUP00000046709	ENSMMUG00000048076	Macaca_mulatta
ENSMFAP00000004799	ENSMFAG00000002092	Macaca_fascicularis
ENSMNEP00000023784	ENSMNEG00000035485	Macaca_nemestrina
ENSMLEP00000001864	ENSMLEG00000007326	Mandrillus_leucophaeus
ENSCSAP00000012362	ENSCSAG00000016289	Chlorocebus_sabaeus
ENSCCAP00000006150	ENSCCAG00000020824	Cebus_capucinus_imitator
ENSSBOP00000030479	ENSSBOG00000031524	Saimiri_boliviensis_boliviensis
ENSCJAP00000037443	ENSCJAG00000020135	Callithrix_jacchus
ENSANAP00000028628	ENSANAG00000032145	Aotus_nancymaae
