ENSECAP00000000121	ENSECAG00000000206	Equus_caballus
ENSEASP00005017545	ENSEASG00005012126	Equus_asinus_asinus
ENSTTRP00000011966	ENSTTRG00000012616	Tursiops_truncatus
ENSSSCP00000049564	ENSSSCG00000001001	Sus_scrofa_strain_reference
ENSCHIP00000024497	ENSCHIG00000021666	Capra_hircus
ENSOARP00000000345	ENSOARG00000000354	Ovis_aries
ENSBIXP00005023032	ENSBIXG00005025813	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000001989	ENSBIXG00000008527	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000020193	ENSBTAG00000015176	Bos_taurus
ENSBMUP00000012775	ENSBMUG00000009757	Bos_mutus
ENSBBBP00000021199	ENSBBBG00000001114	Bison_bison_bison
ENSVPAP00000001852	ENSVPAG00000002006	Vicugna_pacos
ENSMLUP00000014791	ENSMLUG00000016231	Myotis_lucifugus
ENSUAMP00000034291	ENSUAMG00000026110	Ursus_americanus
ENSUMAP00000025614	ENSUMAG00000018677	Ursus_maritimus
ENSAMEP00000013561	ENSAMEG00000012884	Ailuropoda_melanoleuca
ENSMPUP00000000501	ENSMPUG00000000507	Mustela_putorius_furo
ENSNVIP00000025898	ENSNVIG00000020029	Neovison_vison
ENSCAFP00020016707	ENSCAFG00020013395	Canis_lupus_dingo
ENSCAFP00000041363	ENSCAFG00000032568	Canis_lupus_familiaris
ENSVVUP00000025883	ENSVVUG00000019015	Vulpes_vulpes
ENSFCAP00000020480	ENSFCAG00000045175	Felis_catus
ENSEEUP00000007013	ENSEEUG00000007718	Erinaceus_europaeus
ENSPSMP00000030249	ENSPSMG00000020994	Prolemur_simus
ENSPCOP00000020381	ENSPCOG00000022162	Propithecus_coquereli
ENSOGAP00000010410	ENSOGAG00000011631	Otolemur_garnettii
ENSGGOP00000043845	ENSGGOG00000023940	Gorilla_gorilla
ENSPPAP00000014277	ENSPPAG00000030290	Pan_paniscus
ENSPPYP00000018109	ENSPPYG00000016189	Pongo_abelii
ENSRROP00000016663	ENSRROG00000032463	Rhinopithecus_roxellana
ENSRBIP00000028166	ENSRBIG00000037967	Rhinopithecus_bieti
ENSCANP00000011986	ENSCANG00000029378	Colobus_angolensis_palliatus
ENSMFAP00000025100	ENSMFAG00000044085	Macaca_fascicularis
ENSMMUP00000018426	ENSMMUG00000014020	Macaca_mulatta
ENSMNEP00000004523	ENSMNEG00000020877	Macaca_nemestrina
ENSMLEP00000014262	ENSMLEG00000031291	Mandrillus_leucophaeus
ENSCATP00000031566	ENSCATG00000038905	Cercocebus_atys
ENSPANP00000013534	ENSPANG00000021758	Papio_anubis
ENSCJAP00000075994	ENSCJAG00000040689	Callithrix_jacchus
ENSCCAP00000019885	ENSCCAG00000027786	Cebus_capucinus_imitator
ENSCLAP00000005448	ENSCLAG00000003863	Chinchilla_lanigera
ENSCAPP00000005513	ENSCAPG00000007835	Cavia_aperea
ENSOPRP00000000387	ENSOPRG00000000426	Ochotona_princeps
ENSTBEP00000013735	ENSTBEG00000015832	Tupaia_belangeri
ENSMSIP00000003122	ENSMSIG00000002912	Mus_spicilegus
ENSMUSP00000125324	ENSMUSG00000021415	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0035695	MGP_SPRETEiJ_G0019301	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0034094	MGP_CAROLIEiJ_G0018425	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0040703	MGP_PahariEiJ_G0019493	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000039407	ENSRNOG00000033763	Rattus_norvegicus
ENSMUGP00000007447	ENSMUGG00000006804	Meriones_unguiculatus
ENSMAUP00000002832	ENSMAUG00000002707	Mesocricetus_auratus
ENSCGRP00015003160	ENSCGRG00015002523	Cricetulus_griseus_CriGri-PICR
ENSMOCP00000011312	ENSMOCG00000011556	Microtus_ochrogaster
ENSPEMP00000023586	ENSPEMG00000020583	Peromyscus_maniculatus_bairdii
ENSJJAP00000004297	ENSJJAG00000008898	Jaculus_jaculus
ENSCCNP00000031817	ENSCCNG00000030252	Castor_canadensis
ENSDORP00000026350	ENSDORG00000024679	Dipodomys_ordii
ENSSTOP00000031775	ENSSTOG00000030065	Ictidomys_tridecemlineatus
ENSUPAP00010013172	ENSUPAG00010010661	Urocitellus_parryii
ENSSDAP00000022932	ENSSDAG00000020863	Spermophilus_dauricus
ENSMMMP00000016066	ENSMMMG00000014296	Marmota_marmota_marmota
ENSPTIP00000010568	ENSPTIG00000011297	Panthera_tigris_altaica
ENSPPRP00000007489	ENSPPRG00000002615	Panthera_pardus
ENSPVAP00000004179	ENSPVAG00000004414	Pteropus_vampyrus
ENSP00000420610	ENSG00000185689	Homo_sapiens
ENSPTRP00000030197	ENSPTRG00000017686	Pan_troglodytes
ENSNLEP00000013821	ENSNLEG00000011349	Nomascus_leucogenys
ENSTGEP00000017535	ENSTGEG00000014183	Theropithecus_gelada
ENSCSAP00000003549	ENSCSAG00000007286	Chlorocebus_sabaeus
ENSPTEP00000012601	ENSPTEG00000014145	Piliocolobus_tephrosceles
ENSSBOP00000010951	ENSSBOG00000022307	Saimiri_boliviensis_boliviensis
ENSANAP00000026012	ENSANAG00000030717	Aotus_nancymaae
ENSMICP00000007211	ENSMICG00000007923	Microcebus_murinus
ENSOCUP00000013877	ENSOCUG00000016148	Oryctolagus_cuniculus
ENSETEP00000007152	ENSETEG00000008804	Echinops_telfairi
ENSPCAP00000007935	ENSPCAG00000008551	Procavia_capensis
ENSCHOP00000008160	ENSCHOG00000009232	Choloepus_hoffmanni
ENSPCIP00000031718	ENSPCIG00000023546	Phascolarctos_cinereus
ENSMODP00000058953	ENSMODG00000036689	Monodelphis_domestica
ENSPVIP00000030590	ENSPVIG00000022500	Pogona_vitticeps	ENSPVIT00000037481
ENSLACP00000022807	ENSLACG00000022545	Latimeria_chalumnae
