ENSPCIP00000053639	ENSPCIG00000025051	Phascolarctos_cinereus	ENSPCIT00000065069
ENSVURP00010014826	ENSVURG00010011338	Vombatus_ursinus	ENSVURT00010016850
ENSMODP00000059299	ENSMODG00000019871	Monodelphis_domestica	ENSMODT00000084212
ENSSHAP00000007430	ENSSHAG00000006460	Sarcophilus_harrisii	ENSSHAT00000007492
ENSCCNP00000007484	ENSCCNG00000007973	Castor_canadensis
ENSDORP00000004529	ENSDORG00000004841	Dipodomys_ordii
ENSMSIP00000021517	ENSMSIG00000018260	Mus_spicilegus
MGP_SPRETEiJ_P0055313	MGP_SPRETEiJ_G0024896	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000106896	ENSMUSG00000027217	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0053225	MGP_CAROLIEiJ_G0023986	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0064206	MGP_PahariEiJ_G0025422	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000011650	ENSRNOG00000008758	Rattus_norvegicus
ENSMUGP00000022021	ENSMUGG00000018485	Meriones_unguiculatus
ENSPEMP00000036181	ENSPEMG00000028780	Peromyscus_maniculatus_bairdii
ENSMOCP00000026394	ENSMOCG00000022221	Microtus_ochrogaster
ENSCGRP00000023705	ENSCGRG00000017175	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001013970	ENSCGRG00001014966	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015016631	ENSCGRG00015012789	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000003388	ENSMAUG00000003687	Mesocricetus_auratus
ENSNGAP00000015020	ENSNGAG00000016162	Nannospalax_galili
ENSJJAP00000004426	ENSJJAG00000009258	Jaculus_jaculus
ENSHGLP00000025297	ENSHGLG00000018026	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100007897	ENSHGLG00100005887	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000020615	ENSFDAG00000008306	Fukomys_damarensis
ENSCLAP00000019484	ENSCLAG00000013370	Chinchilla_lanigera
ENSODEP00000022629	ENSODEG00000016609	Octodon_degus
ENSCAPP00000016749	ENSCAPG00000016572	Cavia_aperea
ENSCPOP00000001767	ENSCPOG00000001959	Cavia_porcellus
ENSTBEP00000015104	ENSTBEG00000017372	Tupaia_belangeri
ENSEEUP00000003059	ENSEEUG00000003355	Erinaceus_europaeus
ENSSTOP00000011059	ENSSTOG00000012343	Ictidomys_tridecemlineatus
ENSUPAP00010010829	ENSUPAG00010008743	Urocitellus_parryii
ENSSDAP00000003421	ENSSDAG00000003235	Spermophilus_dauricus
ENSMMMP00000013265	ENSMMMG00000011835	Marmota_marmota_marmota
ENSTSYP00000027571	ENSTSYG00000025834	Carlito_syrichta
ENSOCUP00000034792	ENSOCUG00000023681	Oryctolagus_cuniculus
ENSOPRP00000002187	ENSOPRG00000002373	Ochotona_princeps
ENSECAP00000020367	ENSECAG00000022867	Equus_caballus
ENSEASP00005021813	ENSEASG00005014894	Equus_asinus_asinus
ENSMLUP00000016873	ENSMLUG00000001033	Myotis_lucifugus
ENSPVAP00000005318	ENSPVAG00000005623	Pteropus_vampyrus
ENSBIXP00005013211	ENSBIXG00005017360	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000035689	ENSBIXG00000018973	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000028636	ENSBTAG00000021484	Bos_taurus
ENSBMUP00000016927	ENSBMUG00000012833	Bos_mutus
ENSBBBP00000014954	ENSBBBG00000022737	Bison_bison_bison
ENSOARP00000001925	ENSOARG00000001835	Ovis_aries
ENSCHIP00000029622	ENSCHIG00000024681	Capra_hircus
ENSTTRP00000001204	ENSTTRG00000001284	Tursiops_truncatus
ENSSSCP00000014110	ENSSSCG00000013278	Sus_scrofa_strain_reference
ENSUMAP00000021225	ENSUMAG00000015509	Ursus_maritimus
ENSUAMP00000010256	ENSUAMG00000008453	Ursus_americanus
ENSAMEP00000000798	ENSAMEG00000000765	Ailuropoda_melanoleuca
ENSNVIP00000016992	ENSNVIG00000013342	Neovison_vison
ENSMPUP00000005980	ENSMPUG00000006031	Mustela_putorius_furo
ENSCAFP00000013865	ENSCAFG00000009416	Canis_lupus_familiaris
ENSCAFP00020022514	ENSCAFG00020017771	Canis_lupus_dingo
ENSVVUP00000038232	ENSVVUG00000027267	Vulpes_vulpes
ENSPTIP00000002075	ENSPTIG00000005160	Panthera_tigris_altaica
ENSPPRP00000002775	ENSPPRG00000023207	Panthera_pardus
ENSFCAP00000037262	ENSFCAG00000004186	Felis_catus
ENSLAFP00000004644	ENSLAFG00000005533	Loxodonta_africana
ENSPCAP00000001138	ENSPCAG00000001238	Procavia_capensis
ENSETEP00000015015	ENSETEG00000018470	Echinops_telfairi
ENSMICP00000005944	ENSMICG00000006504	Microcebus_murinus
ENSPSMP00000016369	ENSPSMG00000011657	Prolemur_simus
ENSPCOP00000016083	ENSPCOG00000019792	Propithecus_coquereli
ENSOGAP00000013673	ENSOGAG00000015266	Otolemur_garnettii
ENSMFAP00000034582	ENSMFAG00000003784	Macaca_fascicularis
ENSMMUP00000079480	ENSMMUG00000000368	Macaca_mulatta
ENSMNEP00000025373	ENSMNEG00000036152	Macaca_nemestrina
ENSPANP00000011828	ENSPANG00000017380	Papio_anubis
ENSMLEP00000017931	ENSMLEG00000033147	Mandrillus_leucophaeus
ENSCATP00000024641	ENSCATG00000035837	Cercocebus_atys
ENSTGEP00000001173	ENSTGEG00000001123	Theropithecus_gelada
ENSCSAP00000001890	ENSCSAG00000005584	Chlorocebus_sabaeus
ENSRROP00000001470	ENSRROG00000005654	Rhinopithecus_roxellana
ENSRBIP00000019798	ENSRBIG00000033885	Rhinopithecus_bieti
ENSPTEP00000030611	ENSPTEG00000029789	Piliocolobus_tephrosceles
ENSCANP00000030780	ENSCANG00000039048	Colobus_angolensis_palliatus
ENSPPAP00000016910	ENSPPAG00000031547	Pan_paniscus
ENSPTRP00000006130	ENSPTRG00000003531	Pan_troglodytes
ENSP00000429993	ENSG00000157570	Homo_sapiens
ENSGGOP00000006801	ENSGGOG00000006952	Gorilla_gorilla
ENSPPYP00000003827	ENSPPYG00000003335	Pongo_abelii
ENSNLEP00000025070	ENSNLEG00000031862	Nomascus_leucogenys
ENSSBOP00000033563	ENSSBOG00000032945	Saimiri_boliviensis_boliviensis
ENSCJAP00000021118	ENSCJAG00000011479	Callithrix_jacchus
ENSCCAP00000016127	ENSCCAG00000025852	Cebus_capucinus_imitator
ENSANAP00000018980	ENSANAG00000027315	Aotus_nancymaae
ENSDNOP00000005516	ENSDNOG00000040142	Dasypus_novemcinctus
ENSOANP00000005081	ENSOANG00000003200	Ornithorhynchus_anatinus
ENSGAGP00000007759	ENSGAGG00000006192	Gopherus_agassizii
ENSCABP00000002996	ENSCABG00000002295	Chelonoidis_abingdonii
ENSCPBP00000017134	ENSCPBG00000012596	Chrysemys_picta_bellii
ENSPSIP00000014176	ENSPSIG00000012726	Pelodiscus_sinensis
ENSCPRP00005016723	ENSCPRG00005011666	Crocodylus_porosus
ENSACAP00000014212	ENSACAG00000014461	Anolis_carolinensis
ENSPVIP00000017758	ENSPVIG00000013617	Pogona_vitticeps
ENSNSUP00000011590	ENSNSUG00000008729	Notechis_scutatus
ENSSMRP00000006357	ENSSMRG00000005149	Salvator_merianae
ENSSPUP00000001964	ENSSPUG00000001509	Sphenodon_punctatus
ENSMVIP00005011561	ENSMVIG00005008472	Manacus_vitellinus
ENSLCOP00000018283	ENSLCOG00000012921	Lepidothrix_coronata
ENSPMJP00000000526	ENSPMJG00000000485	Parus_major
ENSCCEP00000002019	ENSCCEG00000002350	Cyanistes_caeruleus
ENSFALP00000012823	ENSFALG00000012281	Ficedula_albicollis
ENSTGUP00000010602	ENSTGUG00000010277	Taeniopygia_guttata
ENSTGUP00000015771	ENSTGUG00000015432	Taeniopygia_guttata
ENSLSDP00000020683	ENSLSDG00000014648	Lonchura_striata_domestica
ENSSCAP00000004259	ENSSCAG00000003489	Serinus_canaria
ENSJHYP00000014037	ENSJHYG00000010880	Junco_hyemalis
ENSZALP00000016763	ENSZALG00000013572	Zonotrichia_albicollis
ENSMUNP00000019544	ENSMUNG00000014938	Melopsittacus_undulatus
ENSABRP00000020731	ENSABRG00000017662	Anser_brachyrhynchus
ENSAPLP00000018050	ENSAPLG00000006371	Anas_platyrhynchos_platyrhynchos
ENSGALP00000073459	ENSGALG00000036901	Gallus_gallus
