ENSBSLP00000016608	ENSBSLG00000008748	Betta_splendens
ENSATEP00000024136	ENSATEG00000016759	Anabas_testudineus
ENSHCOP00000000980	ENSHCOG00000001879	Hippocampus_comes
ENSPMEP00000006249	ENSPMEG00000007717	Poecilia_mexicana
ENSPREP00000018468	ENSPREG00000012517	Poecilia_reticulata
ENSGWIP00000020820	ENSGWIG00000011268	Gouania_willdenowi
ENSHBUP00000029014	ENSHBUG00000000386	Haplochromis_burtoni
ENSACLP00000023781	ENSACLG00000016189	Astatotilapia_calliptera
ENSMZEP00005004935	ENSMZEG00005003830	Maylandia_zebra
ENSPNYP00000015767	ENSPNYG00000011952	Pundamilia_nyererei
ENSNBRP00000026897	ENSNBRG00000020537	Neolamprologus_brichardi
ENSACIP00000000866	ENSACIG00000000751	Amphilophus_citrinellus
ENSCSEP00000012216	ENSCSEG00000007885	Cynoglossus_semilaevis
ENSCSEP00000012231	ENSCSEG00000007890	Cynoglossus_semilaevis
ENSTRUP00000006913	ENSTRUG00000002963	Takifugu_rubripes
ENSTNIP00000009256	ENSTNIG00000006487	Tetraodon_nigroviridis
ENSLCAP00010035286	ENSLCAG00010016544	Lates_calcarifer
ENSMAMP00000014197	ENSMAMG00000009638	Mastacembelus_armatus
ENSSPAP00000024947	ENSSPAG00000018862	Stegastes_partitus
ENSDCDP00000034717	ENSDCDG00000023350	Denticeps_clupeoides
ENSUMAP00000006018	ENSUMAG00000004733	Ursus_maritimus
ENSBMUP00000028837	ENSBMUG00000021591	Bos_mutus
ENSDORP00000004834	ENSDORG00000005167	Dipodomys_ordii
ENSMGAP00000007895	ENSMGAG00000007725	Meleagris_gallopavo
