ENSDNVP00000012635	ENSDNVG00000008921	Dromaius_novaehollandiae	ENSDNVT00000015227
ENSNPEP00000009711	ENSNPEG00000007283	Nothoprocta_perdicaria	ENSNPET00000009949
ENSLCOP00000021780	ENSLCOG00000015380	Lepidothrix_coronata	ENSLCOT00000023027
ENSMVIP00005015621	ENSMVIG00005011222	Manacus_vitellinus	ENSMVIT00005017686
ENSLSDP00000022013	ENSLSDG00000015549	Lonchura_striata_domestica
ENSSCAP00000007107	ENSSCAG00000005491	Serinus_canaria	ENSSCAT00000008081
ENSZALP00000013488	ENSZALG00000011230	Zonotrichia_albicollis	ENSZALT00000018402
ENSJHYP00000021820	ENSJHYG00000016503	Junco_hyemalis	ENSJHYT00000026341
ENSPMJP00000000273	ENSPMJG00000000251	Parus_major
ENSCCEP00000015590	ENSCCEG00000014729	Cyanistes_caeruleus
ENSFALP00000007689	ENSFALG00000007368	Ficedula_albicollis
ENSMUNP00000019601	ENSMUNG00000014990	Melopsittacus_undulatus
ENSCPGP00000024360	ENSCPGG00000016798	Calidris_pygmaea
ENSGALP00000042039	ENSGALG00000028466	Gallus_gallus
ENSCJPP00005007724	ENSCJPG00005007043	Coturnix_japonica
ENSNMEP00000019250	ENSNMEG00000016627	Numida_meleagris
ENSABRP00000002691	ENSABRG00000002614	Anser_brachyrhynchus
ENSARWP00000016158	ENSARWG00000011148	Apteryx_rowi
ENSAOWP00000021904	ENSAOWG00000014802	Apteryx_owenii
ENSAHAP00000003374	ENSAHAG00000002683	Apteryx_haastii
ENSLCOP00000004249	ENSLCOG00000003226	Lepidothrix_coronata
ENSMVIP00005015615	ENSMVIG00005011218	Manacus_vitellinus
ENSCPUP00000015549	ENSCPUG00000010800	Calidris_pugnax
ENSCPRP00005002706	ENSCPRG00005001975	Crocodylus_porosus
ENSGAGP00000015381	ENSGAGG00000011602	Gopherus_agassizii
ENSCABP00000031615	ENSCABG00000023081	Chelonoidis_abingdonii
ENSCPBP00000022142	ENSCPBG00000015852	Chrysemys_picta_bellii
ENSSPUP00000008118	ENSSPUG00000006291	Sphenodon_punctatus
ENSXETP00000024682	ENSXETG00000004269	Xenopus_tropicalis
ENSPKIP00000016515	ENSPKIG00000002808	Paramormyrops_kingsleyae
ENSSFOP00015019957	ENSSFOG00015012848	Scleropages_formosus
ENSSFOP00015018658	ENSSFOG00015011985	Scleropages_formosus
ENSPKIP00000005207	ENSPKIG00000021971	Paramormyrops_kingsleyae
ENSCHAP00000021557	ENSCHAG00000010849	Clupea_harengus
ENSDCDP00000018416	ENSDCDG00000014875	Denticeps_clupeoides
ENSAMXP00005033425	ENSAMXG00005016223	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000032391	ENSAMXG00000029682	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000029389	ENSPNAG00000015434	Pygocentrus_nattereri
ENSEEEP00000030583	ENSEEEG00000014649	Electrophorus_electricus
ENSIPUP00000030219	ENSIPUG00000020427	Ictalurus_punctatus
ENSDARP00000107243	ENSDARG00000091003	Danio_rerio
ENSHHUP00000034721	ENSHHUG00000021857	Hucho_hucho
ENSHHUP00000061962	ENSHHUG00000036665	Hucho_hucho
ENSELUP00000036095	ENSELUG00000015316	Esox_lucius
ENSLCRP00005062877	ENSLCRG00005023072	Larimichthys_crocea
ENSLBEP00000023781	ENSLBEG00000018250	Labrus_bergylta
ENSMMOP00000003249	ENSMMOG00000002603	Mola_mola
ENSTRUP00000048847	ENSTRUG00000022582	Takifugu_rubripes
ENSCGOP00000022624	ENSCGOG00000010831	Cottoperca_gobio
ENSMAMP00000025017	ENSMAMG00000016825	Mastacembelus_armatus
ENSMALP00000011399	ENSMALG00000008104	Monopterus_albus
ENSATEP00000019614	ENSATEG00000013660	Anabas_testudineus
ENSBSLP00000002482	ENSBSLG00000001448	Betta_splendens
ENSSDUP00000029568	ENSSDUG00000021317	Seriola_dumerili
ENSSLDP00000022407	ENSSLDG00000017488	Seriola_lalandi_dorsalis
ENSSMAP00000023535	ENSSMAG00000014335	Scophthalmus_maximus
ENSLCAP00010023914	ENSLCAG00010011226	Lates_calcarifer
ENSCSEP00000022234	ENSCSEG00000014145	Cynoglossus_semilaevis
ENSMZEP00005034798	ENSMZEG00005026014	Maylandia_zebra
ENSHBUP00000004670	ENSHBUG00000006013	Haplochromis_burtoni
ENSMZEP00005014492	ENSMZEG00005010890	Maylandia_zebra
ENSACLP00000033471	ENSACLG00000022674	Astatotilapia_calliptera
ENSPNYP00000004693	ENSPNYG00000003641	Pundamilia_nyererei
