ENSBSLP00000053280	ENSBSLG00000025096	Betta_splendens
ENSOARP00000009366	ENSOARG00000008724	Ovis_aries
ENSDARP00000119971	ENSDARG00000092956	Danio_rerio
ENSPTRP00000004609	ENSPTRG00000002653	Pan_troglodytes
ENSOCUP00000015498	ENSOCUG00000026189	Oryctolagus_cuniculus
ENSSARP00000007770	ENSSARG00000008593	Sorex_araneus
ENSSPUP00000013351	ENSSPUG00000010260	Sphenodon_punctatus
ENSCGRP00001013844	ENSCGRG00001014878	Cricetulus_griseus_CHOK1GS_HDv1
ENSCSAP00000005321	ENSCSAG00000009070	Chlorocebus_sabaeus
ENSRROP00000005344	ENSRROG00000022077	Rhinopithecus_roxellana
ENSCPRP00005015979	ENSCPRG00005011170	Crocodylus_porosus
ENSANAP00000012117	ENSANAG00000023985	Aotus_nancymaae
ENSCABP00000028652	ENSCABG00000021057	Chelonoidis_abingdonii
ENSMNEP00000003191	ENSMNEG00000014700	Macaca_nemestrina
ENSTGEP00000034815	ENSTGEG00000027748	Theropithecus_gelada
ENSCJAP00000002126	ENSCJAG00000001221	Callithrix_jacchus
ENSODEP00000019475	ENSODEG00000014367	Octodon_degus
ENSPSIP00000019007	ENSPSIG00000016875	Pelodiscus_sinensis
ENSPPAP00000013131	ENSPPAG00000029736	Pan_paniscus
ENSGWIP00000056195	ENSGWIG00000026659	Gouania_willdenowi
ENSMLUP00000006811	ENSMLUG00000007469	Myotis_lucifugus	ENSMLUT00000007462
ENSTBEP00000010964	ENSTBEG00000012674	Tupaia_belangeri
ENSMEUP00000002722	ENSMEUG00000002980	Notamacropus_eugenii	ENSMEUT00000002990
ENSMGAP00000006062	ENSMGAG00000006093	Meleagris_gallopavo
ENSBMUP00000021614	ENSBMUG00000016268	Bos_mutus
ENSLCRP00005039124	ENSLCRG00005015159	Larimichthys_crocea
ENSVURP00010017993	ENSVURG00010013750	Vombatus_ursinus	ENSVURT00010020441
ENSTRUP00000037650	ENSTRUG00000014727	Takifugu_rubripes
ENSAPLP00000028506	ENSAPLG00000012079	Anas_platyrhynchos_platyrhynchos
ENSXETP00000051196	ENSXETG00000019731	Xenopus_tropicalis
ENSHCOP00000012922	ENSHCOG00000016097	Hippocampus_comes
ENSJHYP00000023618	ENSJHYG00000017768	Junco_hyemalis
ENSGAGP00000019193	ENSGAGG00000014189	Gopherus_agassizii
ENSPEMP00000030941	ENSPEMG00000020926	Peromyscus_maniculatus_bairdii
ENSMUSP00000073534	ENSMUSG00000063821	Mus_musculus_strain_reference_(CL57BL6)
ENSRNOP00000017483	ENSRNOG00000013034	Rattus_norvegicus
ENSOGAP00000013818	ENSOGAG00000015432	Otolemur_garnettii
ENSCCAP00000025717	ENSCCAG00000030642	Cebus_capucinus_imitator
ENSPVAP00000009047	ENSPVAG00000009604	Pteropus_vampyrus	ENSPVAT00000009601
ENSABRP00000011337	ENSABRG00000010189	Anser_brachyrhynchus
ENSPTEP00000039788	ENSPTEG00000036772	Piliocolobus_tephrosceles
MGP_SPRETEiJ_P0037464	MGP_SPRETEiJ_G0019884	Mus_spretus_strain_SPRET/EiJ
ENSPFOP00000008397	ENSPFOG00000008437	Poecilia_formosa
ENSTGUP00000006806	ENSTGUG00000006625	Taeniopygia_guttata
ENSKMAP00000022096	ENSKMAG00000016416	Kryptolebias_marmoratus
ENSMLEP00000001841	ENSMLEG00000007223	Mandrillus_leucophaeus
ENSNVIP00000010291	ENSNVIG00000008146	Neovison_vison	ENSNVIT00000012037
ENSMAUP00000003655	ENSMAUG00000004148	Mesocricetus_auratus
ENSDARP00000114591	ENSDARG00000067808	Danio_rerio
ENSOANP00000032004	ENSOANG00000031368	Ornithorhynchus_anatinus
ENSACAP00000008506	ENSACAG00000008686	Anolis_carolinensis
ENSCHIP00000009983	ENSCHIG00000012654	Capra_hircus
ENSEASP00005033573	ENSEASG00005022989	Equus_asinus_asinus
ENSBTAP00000003800	ENSBTAG00000002924	Bos_taurus
ENSCJPP00005012855	ENSCJPG00005010909	Coturnix_japonica
ENSNGAP00000014714	ENSNGAG00000015948	Nannospalax_galili
ENSMUNP00000015367	ENSMUNG00000011877	Melopsittacus_undulatus
ENSCPBP00000017360	ENSCPBG00000012718	Chrysemys_picta_bellii
ENSECRP00000032318	ENSECRG00000021912	Erpetoichthys_calabaricus
ENSDARP00000154981	ENSDARG00000112213	Danio_rerio
ENSPCOP00000010711	ENSPCOG00000016837	Propithecus_coquereli
ENSNLEP00000020453	ENSNLEG00000016840	Nomascus_leucogenys
ENSUMAP00000017295	ENSUMAG00000012691	Ursus_maritimus	ENSUMAT00000020436
ENSSHAP00000012679	ENSSHAG00000010851	Sarcophilus_harrisii	ENSSHAT00000012783
ENSMMUP00000026622	ENSMMUG00000020221	Macaca_mulatta
ENSXCOP00000015818	ENSXCOG00000011940	Xiphophorus_couchianus
ENSLCOP00000003005	ENSLCOG00000002303	Lepidothrix_coronata
ENSBIXP00005009474	ENSBIXG00005014361	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCCNP00000031915	ENSCCNG00000030325	Castor_canadensis
ENSPRNP00000050965	ENSPRNG00000024172	Parambassis_ranga
ENSDNOP00000030685	ENSDNOG00000039114	Dasypus_novemcinctus
ENSEEUP00000006687	ENSEEUG00000007355	Erinaceus_europaeus
ENSPPYP00000002691	ENSPPYG00000002317	Pongo_abelii
ENSPTIP00000023391	ENSPTIG00000019868	Panthera_tigris_altaica
ENSFCAP00000005152	ENSFCAG00000005553	Felis_catus
ENSMALP00000021816	ENSMALG00000015253	Monopterus_albus
ENSSBOP00000011238	ENSSBOG00000022444	Saimiri_boliviensis_boliviensis
ENSNPEP00000000782	ENSNPEG00000000630	Nothoprocta_perdicaria
ENSFHEP00000007071	ENSFHEG00000008297	Fundulus_heteroclitus
ENSJJAP00000008652	ENSJJAG00000012771	Jaculus_jaculus
ENSCPGP00000024539	ENSCPGG00000016902	Calidris_pygmaea
ENSAMXP00005021982	ENSAMXG00005011358	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPCIP00000051307	ENSPCIG00000024597	Phascolarctos_cinereus	ENSPCIT00000064503
ENSXMAP00000020838	ENSXMAG00000023247	Xiphophorus_maculatus
ENSUAMP00000023398	ENSUAMG00000018333	Ursus_americanus	ENSUAMT00000026135
ENSSTOP00000021008	ENSSTOG00000029009	Ictidomys_tridecemlineatus
ENSCANP00000032219	ENSCANG00000039779	Colobus_angolensis_palliatus
ENSPSMP00000027421	ENSPSMG00000019167	Prolemur_simus
ENSMUGP00000003209	ENSMUGG00000003006	Meriones_unguiculatus
ENSSMRP00000002590	ENSSMRG00000002240	Salvator_merianae
ENSTSYP00000003500	ENSTSYG00000003835	Carlito_syrichta
ENSDARP00000005856	ENSDARG00000039682	Danio_rerio
ENSDARP00000114789	ENSDARG00000095001	Danio_rerio
ENSCCEP00000010537	ENSCCEG00000010440	Cyanistes_caeruleus
ENSPANP00000026819	ENSPANG00000022463	Papio_anubis
ENSCAPP00000017624	ENSCAPG00000017241	Cavia_aperea
ENSLSDP00000008097	ENSLSDG00000006050	Lonchura_striata_domestica
MGP_CAROLIEiJ_P0035781	MGP_CAROLIEiJ_G0019006	Mus_caroli_strain_CAROLI_EIJ
ENSMVIP00005023005	ENSMVIG00005016147	Manacus_vitellinus
ENSVPAP00000007480	ENSVPAG00000008039	Vicugna_pacos
ENSTTRP00000000342	ENSTTRG00000000367	Tursiops_truncatus
ENSFALP00000007264	ENSFALG00000006960	Ficedula_albicollis
ENSBBBP00000024221	ENSBBBG00000019112	Bison_bison_bison
ENSLAFP00000017577	ENSLAFG00000021406	Loxodonta_africana
ENSDNVP00000002553	ENSDNVG00000001838	Dromaius_novaehollandiae
ENSP00000340609	ENSG00000188716	Homo_sapiens
ENSMICP00000016222	ENSMICG00000017812	Microcebus_murinus
ENSMSIP00000007795	ENSMSIG00000006937	Mus_spicilegus
ENSPVIP00000005507	ENSPVIG00000004454	Pogona_vitticeps
ENSCSEP00000014256	ENSCSEG00000009173	Cynoglossus_semilaevis
ENSUPAP00010012090	ENSUPAG00010009810	Urocitellus_parryii
ENSECAP00000018251	ENSECAG00000020752	Equus_caballus
ENSGGOP00000010738	ENSGGOG00000011019	Gorilla_gorilla
ENSHGLP00100010350	ENSHGLG00100007697	Heterocephalus_glaber_HetGla_1.0
ENSCPUP00000014372	ENSCPUG00000010112	Calidris_pugnax
ENSAOWP00000019467	ENSAOWG00000013224	Apteryx_owenii
ENSXETP00000018292	ENSXETG00000001829	Xenopus_tropicalis
ENSVVUP00000032308	ENSVVUG00000023450	Vulpes_vulpes
MGP_PahariEiJ_P0083889	MGP_PahariEiJ_G0030020	Mus_pahari_strain_PAHARI_EIJ
ENSMFAP00000001289	ENSMFAG00000040257	Macaca_fascicularis
ENSAMEP00000001820	ENSAMEG00000001742	Ailuropoda_melanoleuca	ENSAMET00000001895
ENSCPRP00005011082	ENSCPRG00005007922	Crocodylus_porosus
ENSSDAP00000006374	ENSSDAG00000005910	Spermophilus_dauricus
ENSAHAP00000019056	ENSAHAG00000013500	Apteryx_haastii
ENSCGRP00015019950	ENSCGRG00015015276	Cricetulus_griseus_CriGri-PICR
ENSCAFP00020020489	ENSCAFG00020016226	Canis_lupus_dingo
ENSCATP00000036644	ENSCATG00000041122	Cercocebus_atys
ENSPMJP00000020832	ENSPMJG00000015482	Parus_major
ENSPREP00000032473	ENSPREG00000021989	Poecilia_reticulata
ENSFDAP00000004916	ENSFDAG00000014049	Fukomys_damarensis
ENSMPUP00000003279	ENSMPUG00000003311	Mustela_putorius_furo
ENSMMMP00000026681	ENSMMMG00000023348	Marmota_marmota_marmota
ENSGALP00000008022	ENSGALG00000005019	Gallus_gallus
ENSNMEP00000015584	ENSNMEG00000013834	Numida_meleagris
ENSARWP00000006374	ENSARWG00000004517	Apteryx_rowi
ENSHGLP00000023751	ENSHGLG00000016941	Heterocephalus_glaber_HetGla_female_1.0
ENSMODP00000043237	ENSMODG00000042234	Monodelphis_domestica	ENSMODT00000073331
ENSSCAP00000003187	ENSSCAG00000002707	Serinus_canaria
ENSCLAP00000015106	ENSCLAG00000010412	Chinchilla_lanigera
ENSPCAP00000007972	ENSPCAG00000008586	Procavia_capensis
ENSPPRP00000018872	ENSPPRG00000010401	Panthera_pardus
ENSMOCP00000001581	ENSMOCG00000001225	Microtus_ochrogaster
ENSDORP00000017812	ENSDORG00000029726	Dipodomys_ordii
ENSCGRP00000006533	ENSCGRG00000004781	Cricetulus_griseus_CriGri_1.0
ENSNSUP00000028142	ENSNSUG00000020066	Notechis_scutatus
ENSZALP00000016330	ENSZALG00000013261	Zonotrichia_albicollis
ENSOPRP00000002178	ENSOPRG00000002366	Ochotona_princeps
ENSSSCP00000031343	ENSSSCG00000010317	Sus_scrofa_strain_reference
ENSBIXP00000004119	ENSBIXG00000010459	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCAFP00000044710	ENSCAFG00000044275	Canis_lupus_familiaris
ENSCPOP00000016682	ENSCPOG00000022980	Cavia_porcellus
ENSRBIP00000022131	ENSRBIG00000035015	Rhinopithecus_bieti
