ENSSSCP00000070165	ENSSSCG00000046055	Sus_scrofa_strain_reference
ENSCHIP00000023877	ENSCHIG00000021294	Capra_hircus
ENSTTRP00000010728	ENSTTRG00000011321	Tursiops_truncatus
ENSEEUP00000013621	ENSEEUG00000014923	Erinaceus_europaeus
ENSUMAP00000001240	ENSUMAG00000001189	Ursus_maritimus
ENSUAMP00000023544	ENSUAMG00000018449	Ursus_americanus
ENSNVIP00000020499	ENSNVIG00000016060	Neovison_vison
ENSCAFP00000037678	ENSCAFG00000031358	Canis_lupus_familiaris
ENSCAFP00020008726	ENSCAFG00020007068	Canis_lupus_dingo
ENSVVUP00000001840	ENSVVUG00000001504	Vulpes_vulpes
ENSPTIP00000021156	ENSPTIG00000018405	Panthera_tigris_altaica
ENSPPRP00000011782	ENSPPRG00000005527	Panthera_pardus
ENSFCAP00000016805	ENSFCAG00000028808	Felis_catus
ENSEASP00005003288	ENSEASG00005002551	Equus_asinus_asinus
ENSECAP00000031931	ENSECAG00000039819	Equus_caballus
ENSPVAP00000015445	ENSPVAG00000016367	Pteropus_vampyrus
ENSPPAP00000030932	ENSPPAG00000038413	Pan_paniscus
ENSPTRP00000039024	ENSPTRG00000023785	Pan_troglodytes
ENSP00000316940	ENSG00000179363	Homo_sapiens
ENSGGOP00000026343	ENSGGOG00000025064	Gorilla_gorilla
ENSPPYP00000023044	ENSPPYG00000020589	Pongo_abelii
ENSNLEP00000016437	ENSNLEG00000013584	Nomascus_leucogenys
ENSMMUP00000008032	ENSMMUG00000006112	Macaca_mulatta
ENSMFAP00000031912	ENSMFAG00000037008	Macaca_fascicularis
ENSMNEP00000025691	ENSMNEG00000036321	Macaca_nemestrina
ENSCATP00000019699	ENSCATG00000033644	Cercocebus_atys
ENSMLEP00000014866	ENSMLEG00000031601	Mandrillus_leucophaeus
ENSTGEP00000016369	ENSTGEG00000013255	Theropithecus_gelada
ENSPANP00000007466	ENSPANG00000012215	Papio_anubis
ENSCSAP00000005653	ENSCSAG00000009407	Chlorocebus_sabaeus
ENSCANP00000022795	ENSCANG00000034825	Colobus_angolensis_palliatus
ENSPTEP00000024423	ENSPTEG00000024899	Piliocolobus_tephrosceles
ENSRROP00000010563	ENSRROG00000029686	Rhinopithecus_roxellana
ENSSBOP00000029353	ENSSBOG00000031020	Saimiri_boliviensis_boliviensis
ENSCJAP00000006152	ENSCJAG00000003393	Callithrix_jacchus
ENSCCAP00000021657	ENSCCAG00000028663	Cebus_capucinus_imitator
ENSANAP00000016623	ENSANAG00000026176	Aotus_nancymaae
ENSTSYP00000026459	ENSTSYG00000026111	Carlito_syrichta
ENSMICP00000002769	ENSMICG00000003045	Microcebus_murinus
ENSPSMP00000009215	ENSPSMG00000006749	Prolemur_simus
ENSPCOP00000028935	ENSPCOG00000027145	Propithecus_coquereli
ENSTBEP00000004539	ENSTBEG00000005277	Tupaia_belangeri
ENSFDAP00000013865	ENSFDAG00000000757	Fukomys_damarensis
ENSCLAP00000000296	ENSCLAG00000000262	Chinchilla_lanigera
ENSUPAP00010020889	ENSUPAG00010016568	Urocitellus_parryii
ENSMMMP00000001467	ENSMMMG00000001344	Marmota_marmota_marmota
ENSPCAP00000002428	ENSPCAG00000002611	Procavia_capensis
