MGP_PahariEiJ_P0061761	MGP_PahariEiJ_G0024836	Mus_pahari_strain_PAHARI_EIJ
ENSCJAP00000037529	ENSCJAG00000020165	Callithrix_jacchus
ENSNVIP00000019290	ENSNVIG00000015008	Neovison_vison
ENSPEMP00000020895	ENSPEMG00000018700	Peromyscus_maniculatus_bairdii
ENSECAP00000046433	ENSECAG00000017351	Equus_caballus
ENSOANP00000012867	ENSOANG00000008094	Ornithorhynchus_anatinus
ENSMMMP00000015312	ENSMMMG00000013641	Marmota_marmota_marmota
ENSJJAP00000018451	ENSJJAG00000019697	Jaculus_jaculus
ENSMNEP00000025246	ENSMNEG00000036073	Macaca_nemestrina
ENSMUGP00000010585	ENSMUGG00000009322	Meriones_unguiculatus
ENSBMUP00000028563	ENSBMUG00000021397	Bos_mutus
ENSNLEP00000021363	ENSNLEG00000017597	Nomascus_leucogenys
ENSCATP00000026835	ENSCATG00000036821	Cercocebus_atys
ENSPPAP00000041579	ENSPPAG00000043402	Pan_paniscus	ENSPPAT00000064505
ENSPVAP00000003251	ENSPVAG00000003438	Pteropus_vampyrus
ENSBIXP00000036564	ENSBIXG00000020053	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSHAP00000022246	ENSSHAG00000018824	Sarcophilus_harrisii
ENSAMEP00000016609	ENSAMEG00000015712	Ailuropoda_melanoleuca
ENSCHIP00000019979	ENSCHIG00000018757	Capra_hircus
ENSBIXP00005009180	ENSBIXG00005014132	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSHGLP00100013671	ENSHGLG00100010110	Heterocephalus_glaber_HetGla_1.0
ENSMICP00000016067	ENSMICG00000017644	Microcebus_murinus
ENSBBBP00000016032	ENSBBBG00000023895	Bison_bison_bison
ENSLAFP00000028393	ENSLAFG00000009776	Loxodonta_africana
ENSOARP00000010271	ENSOARG00000009570	Ovis_aries
ENSDORP00000012694	ENSDORG00000013496	Dipodomys_ordii
ENSPCAP00000011727	ENSPCAG00000012406	Procavia_capensis
ENSVVUP00000035943	ENSVVUG00000025667	Vulpes_vulpes
ENSCGRP00001004356	ENSCGRG00001005515	Cricetulus_griseus_CHOK1GS_HDv1
ENSOPRP00000009740	ENSOPRG00000010646	Ochotona_princeps
ENSMLEP00000019538	ENSMLEG00000033963	Mandrillus_leucophaeus
ENSPPYP00000023663	ENSPPYG00000029746	Pongo_abelii
ENSUPAP00010022243	ENSUPAG00010017678	Urocitellus_parryii
ENSMUSP00000041025	ENSMUSG00000026785	Mus_musculus_strain_reference_(CL57BL6)
ENSP00000291906	ENSG00000160447	Homo_sapiens	ENST00000291906
ENSMEUP00000003584	ENSMEUG00000003920	Notamacropus_eugenii
ENSMMUP00000013268	ENSMMUG00000010143	Macaca_mulatta
ENSTGEP00000022186	ENSTGEG00000017929	Theropithecus_gelada
ENSFDAP00000021618	ENSFDAG00000007576	Fukomys_damarensis
ENSEEUP00000002636	ENSEEUG00000002867	Erinaceus_europaeus
ENSUAMP00000007109	ENSUAMG00000006182	Ursus_americanus
ENSRROP00000031902	ENSRROG00000039599	Rhinopithecus_roxellana
ENSPCOP00000029078	ENSPCOG00000027227	Propithecus_coquereli
ENSCGRP00000023874	ENSCGRG00000017297	Cricetulus_griseus_CriGri_1.0
ENSCCNP00000022668	ENSCCNG00000022269	Castor_canadensis
ENSTBEP00000003874	ENSTBEG00000004450	Tupaia_belangeri
ENSODEP00000023120	ENSODEG00000016958	Octodon_degus
ENSCCAP00000036805	ENSCCAG00000036299	Cebus_capucinus_imitator
ENSCPOP00000012472	ENSCPOG00000013841	Cavia_porcellus
ENSMODP00000029569	ENSMODG00000006395	Monodelphis_domestica
ENSSSCP00000006061	ENSSSCG00000005657	Sus_scrofa_strain_reference
ENSMPUP00000012954	ENSMPUG00000013051	Mustela_putorius_furo
ENSUMAP00000028768	ENSUMAG00000020842	Ursus_maritimus
ENSOGAP00000017274	ENSOGAG00000030479	Otolemur_garnettii
ENSRNOP00000043911	ENSRNOG00000025892	Rattus_norvegicus
ENSPPRP00000020181	ENSPPRG00000011344	Panthera_pardus
ENSMOCP00000025561	ENSMOCG00000021624	Microtus_ochrogaster
ENSTTRP00000011005	ENSTTRG00000011606	Tursiops_truncatus
MGP_CAROLIEiJ_P0050735	MGP_CAROLIEiJ_G0023379	Mus_caroli_strain_CAROLI_EIJ
ENSTSYP00000002394	ENSTSYG00000002610	Carlito_syrichta
ENSETEP00000001169	ENSETEG00000001449	Echinops_telfairi
ENSSDAP00000008402	ENSSDAG00000007646	Spermophilus_dauricus
ENSANAP00000032945	ENSANAG00000034145	Aotus_nancymaae
ENSGGOP00000011086	ENSGGOG00000011365	Gorilla_gorilla
ENSDNOP00000031200	ENSDNOG00000041810	Dasypus_novemcinctus
ENSMLUP00000013013	ENSMLUG00000014295	Myotis_lucifugus
ENSHGLP00000022637	ENSHGLG00000016146	Heterocephalus_glaber_HetGla_female_1.0
ENSCSAP00000010445	ENSCSAG00000014351	Chlorocebus_sabaeus
ENSCAFP00020029226	ENSCAFG00020022824	Canis_lupus_dingo
ENSMAUP00000015235	ENSMAUG00000014746	Mesocricetus_auratus
ENSPSMP00000029496	ENSPSMG00000020481	Prolemur_simus
ENSPTIP00000025300	ENSPTIG00000021126	Panthera_tigris_altaica
ENSPTRP00000036652	ENSPTRG00000021437	Pan_troglodytes	ENSPTRT00000039671
ENSCLAP00000004621	ENSCLAG00000003289	Chinchilla_lanigera
ENSMSIP00000005657	ENSMSIG00000005062	Mus_spicilegus
ENSCAPP00000013030	ENSCAPG00000013728	Cavia_aperea
MGP_SPRETEiJ_P0052771	MGP_SPRETEiJ_G0024296	Mus_spretus_strain_SPRET/EiJ
ENSSBOP00000021442	ENSSBOG00000027249	Saimiri_boliviensis_boliviensis
ENSNGAP00000004534	ENSNGAG00000005915	Nannospalax_galili
ENSBTAP00000057930	ENSBTAG00000010195	Bos_taurus
ENSPCIP00000041168	ENSPCIG00000030107	Phascolarctos_cinereus
