ENSLBEP00000024687	ENSLBEG00000018873	Labrus_bergylta
ENSEBUP00000012956	ENSEBUG00000008212	Eptatretus_burgeri	ENSEBUT00000013533
ENSPLAP00000004458	ENSPLAG00000000130	Poecilia_latipinna
ENSOMEP00000006726	ENSOMEG00000007785	Oryzias_melastigma
ENSSDUP00000012026	ENSSDUG00000008746	Seriola_dumerili
ENSNBRP00000001855	ENSNBRG00000001515	Neolamprologus_brichardi
ENSPNAP00000007245	ENSPNAG00000013117	Pygocentrus_nattereri
ENSDARP00000107884	ENSDARG00000088816	Danio_rerio
ENSCHAP00000052285	ENSCHAG00000023870	Clupea_harengus
ENSAPEP00000033763	ENSAPEG00000023985	Amphiprion_percula
ENSEEEP00000015044	ENSEEEG00000007484	Electrophorus_electricus
ENSATEP00000006123	ENSATEG00000004308	Anabas_testudineus
ENSAMXP00005031115	ENSAMXG00005015230	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSDCDP00000027142	ENSDCDG00000019899	Denticeps_clupeoides
ENSPKIP00000009393	ENSPKIG00000024523	Paramormyrops_kingsleyae
C05G5.5a.1	WBGene00007351	Caenorhabditis_elegans_strain_N2
ENSSFOP00015002944	ENSSFOG00015001921	Scleropages_formosus
ENSCINP00000029432	ENSCING00000017358	Ciona_intestinalis
ENSCVAP00000001212	ENSCVAG00000002179	Cyprinodon_variegatus
ENSPFOP00000018645	ENSPFOG00000018543	Poecilia_formosa
ENSBSLP00000007372	ENSBSLG00000003576	Betta_splendens
ENSAPOP00000029837	ENSAPOG00000016034	Acanthochromis_polyacanthus
ENSONIP00000002730	ENSONIG00000002192	Oreochromis_niloticus
ENSMMOP00000027021	ENSMMOG00000020451	Mola_mola
ENSCINP00000029431	ENSCING00000017357	Ciona_intestinalis
ENSMZEP00005011033	ENSMZEG00005008284	Maylandia_zebra
ENSCSEP00000000366	ENSCSEG00000000267	Cynoglossus_semilaevis
ENSSLDP00000004357	ENSSLDG00000003443	Seriola_lalandi_dorsalis
ENSACIP00000017253	ENSACIG00000013452	Amphilophus_citrinellus
ENSOMEP00000020237	ENSOMEG00000022082	Oryzias_melastigma
ENSLCAP00010025240	ENSLCAG00010011816	Lates_calcarifer
ENSGMOP00000016183	ENSGMOG00000015125	Gadus_morhua
ENSGWIP00000027447	ENSGWIG00000014366	Gouania_willdenowi
ENSPNYP00000029833	ENSPNYG00000022498	Pundamilia_nyererei
ENSTRUP00000056437	ENSTRUG00000022823	Takifugu_rubripes
ENSPKIP00000036341	ENSPKIG00000014949	Paramormyrops_kingsleyae
ENSACAP00000000449	ENSACAG00000000547	Anolis_carolinensis
ENSIPUP00000027548	ENSIPUG00000018659	Ictalurus_punctatus
ENSHHUP00000077804	ENSHHUG00000045429	Hucho_hucho
ENSEEEP00000047293	ENSEEEG00000022263	Electrophorus_electricus
ENSMALP00000027970	ENSMALG00000019393	Monopterus_albus
ENSGAFP00000024430	ENSGAFG00000016486	Gambusia_affinis
ENSPRNP00000002608	ENSPRNG00000001621	Parambassis_ranga
ENSCSAVP00000000508	ENSCSAVG00000000290	Ciona_savignyi
ENSACLP00000000163	ENSACLG00000000136	Astatotilapia_calliptera
ENSSMRP00000024091	ENSSMRG00000018700	Salvator_merianae
ENSXMAP00000013301	ENSXMAG00000013273	Xiphophorus_maculatus
ENSHCOP00000027545	ENSHCOG00000019457	Hippocampus_comes
ENSAOCP00000004177	ENSAOCG00000000416	Amphiprion_ocellaris
ENSPMAP00000008014	ENSPMAG00000007281	Petromyzon_marinus	ENSPMAT00000008050
ENSHHUP00000038356	ENSHHUG00000023954	Hucho_hucho
ENSPREP00000016542	ENSPREG00000011193	Poecilia_reticulata
ENSAMXP00000043407	ENSAMXG00000041427	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000051119
ENSPNAP00000013367	ENSPNAG00000019195	Pygocentrus_nattereri
ENSXCOP00000013385	ENSXCOG00000010147	Xiphophorus_couchianus
ENSORLP00000039505	ENSORLG00000026885	Oryzias_latipes_ASM223467v1
ENSGACP00000015339	ENSGACG00000011603	Gasterosteus_aculeatus
ENSDARP00000108636	ENSDARG00000089701	Danio_rerio
ENSIPUP00000022123	ENSIPUG00000014990	Ictalurus_punctatus
ENSORLP00000020961	ENSORLG00000016759	Oryzias_latipes_ASM223467v1
ENSHBUP00000006518	ENSHBUG00000000202	Haplochromis_burtoni
ENSFHEP00000020552	ENSFHEG00000022506	Fundulus_heteroclitus
ENSSMAP00000013930	ENSSMAG00000008549	Scophthalmus_maximus
ENSAMXP00005023828	ENSAMXG00005012197	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSELUP00000036002	ENSELUG00000015227	Esox_lucius
ENSMAMP00000003641	ENSMAMG00000002473	Mastacembelus_armatus
ENSLCRP00005033979	ENSLCRG00005013332	Larimichthys_crocea
ENSAMXP00000017088	ENSAMXG00000016593	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPMGP00000019649	ENSPMGG00000015939	Periophthalmus_magnuspinnatus
ENSKMAP00000001004	ENSKMAG00000000781	Kryptolebias_marmoratus
ENSHHUP00000083467	ENSHHUG00000048439	Hucho_hucho
