ENSPCAP00000008942	ENSPCAG00000009624	Procavia_capensis
ENSLAFP00000008106	ENSLAFG00000009664	Loxodonta_africana
ENSBIXP00005001494	ENSBIXG00005007987	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000005690	ENSBMUG00000004471	Bos_mutus
ENSBBBP00000013868	ENSBBBG00000008526	Bison_bison_bison
ENSBTAP00000008234	ENSBTAG00000006273	Bos_taurus
ENSCHIP00000020980	ENSCHIG00000019454	Capra_hircus
ENSOARP00000020640	ENSOARG00000019215	Ovis_aries
ENSTTRP00000014509	ENSTTRG00000015312	Tursiops_truncatus
ENSSSCP00000000027	ENSSSCG00000000026	Sus_scrofa_strain_reference
ENSCAFP00020011971	ENSCAFG00020009618	Canis_lupus_dingo
ENSUAMP00000037199	ENSUAMG00000028168	Ursus_americanus
ENSPPRP00000019562	ENSPPRG00000010888	Panthera_pardus
ENSPTIP00000002541	ENSPTIG00000005524	Panthera_tigris_altaica
ENSFCAP00000006807	ENSFCAG00000007340	Felis_catus
ENSCAFP00000001281	ENSCAFG00000000899	Canis_lupus_familiaris
ENSVVUP00000000147	ENSVVUG00000000168	Vulpes_vulpes
ENSBIXP00000029939	ENSBIXG00000011667	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSEASP00005032042	ENSEASG00005021874	Equus_asinus_asinus
ENSECAP00000034171	ENSECAG00000032875	Equus_caballus
ENSPSMP00000016253	ENSPSMG00000011556	Prolemur_simus
ENSPCOP00000001283	ENSPCOG00000004064	Propithecus_coquereli
ENSMICP00000024278	ENSMICG00000009212	Microcebus_murinus
ENSOGAP00000005299	ENSOGAG00000005926	Otolemur_garnettii
ENSP00000332565	ENSG00000130540	Homo_sapiens
ENSPTRP00000024943	ENSPTRG00000014477	Pan_troglodytes
ENSNLEP00000018975	ENSNLEG00000015626	Nomascus_leucogenys
ENSMNEP00000004474	ENSMNEG00000020683	Macaca_nemestrina
ENSMMUP00000006951	ENSMMUG00000005252	Macaca_mulatta
ENSMFAP00000036972	ENSMFAG00000037741	Macaca_fascicularis
ENSCATP00000011237	ENSCATG00000029864	Cercocebus_atys
ENSPANP00000013483	ENSPANG00000017906	Papio_anubis
ENSTGEP00000006726	ENSTGEG00000005500	Theropithecus_gelada
ENSCSAP00000001827	ENSCSAG00000005518	Chlorocebus_sabaeus
ENSPTEP00000037790	ENSPTEG00000035278	Piliocolobus_tephrosceles
ENSRROP00000043273	ENSRROG00000044701	Rhinopithecus_roxellana
ENSCJAP00000028046	ENSCJAG00000015192	Callithrix_jacchus
ENSCCAP00000039605	ENSCCAG00000037619	Cebus_capucinus_imitator
ENSANAP00000026340	ENSANAG00000030874	Aotus_nancymaae
ENSPPAP00000002794	ENSPPAG00000011850	Pan_paniscus
ENSGGOP00000043449	ENSGGOG00000007339	Gorilla_gorilla
ENSPPYP00000013299	ENSPPYG00000011916	Pongo_abelii
ENSRBIP00000040431	ENSRBIG00000043637	Rhinopithecus_bieti
ENSCANP00000034579	ENSCANG00000040973	Colobus_angolensis_palliatus
ENSMLEP00000029016	ENSMLEG00000038647	Mandrillus_leucophaeus
ENSSBOP00000009402	ENSSBOG00000021584	Saimiri_boliviensis_boliviensis
ENSTSYP00000029950	ENSTSYG00000005268	Carlito_syrichta
ENSEEUP00000001120	ENSEEUG00000001252	Erinaceus_europaeus
ENSSTOP00000022200	ENSSTOG00000023129	Ictidomys_tridecemlineatus
ENSUPAP00010002356	ENSUPAG00010001963	Urocitellus_parryii
ENSDORP00000006300	ENSDORG00000006724	Dipodomys_ordii
ENSCPOP00000010972	ENSCPOG00000012199	Cavia_porcellus
MGP_SPRETEiJ_P0041092	MGP_SPRETEiJ_G0021004	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000080973	ENSMUSG00000018865	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000021279	ENSMSIG00000018043	Mus_spicilegus
MGP_CAROLIEiJ_P0039287	MGP_CAROLIEiJ_G0020107	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0042639	MGP_PahariEiJ_G0020113	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000066760	ENSRNOG00000046975	Rattus_norvegicus
ENSMUGP00000030153	ENSMUGG00000025039	Meriones_unguiculatus
