ENSEBUP00000025799	ENSEBUG00000015886	Eptatretus_burgeri
ENSPMAP00000001989	ENSPMAG00000001801	Petromyzon_marinus
ENSPKIP00000020168	ENSPKIG00000005049	Paramormyrops_kingsleyae
ENSDARP00000073437	ENSDARG00000056479	Danio_rerio
ENSPNAP00000027120	ENSPNAG00000012540	Pygocentrus_nattereri
ENSIPUP00000012703	ENSIPUG00000008650	Ictalurus_punctatus
ENSDCDP00000042273	ENSDCDG00000027274	Denticeps_clupeoides
ENSAMXP00005039847	ENSAMXG00005018706	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000054892	ENSAMXG00000032564	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSIPUP00000030373	ENSIPUG00000020508	Ictalurus_punctatus
ENSDARP00000043001	ENSDARG00000029663	Danio_rerio
ENSDCDP00000055911	ENSDCDG00000032925	Denticeps_clupeoides
ENSHHUP00000084595	ENSHHUG00000048912	Hucho_hucho
ENSHHUP00000057338	ENSHHUG00000033859	Hucho_hucho
ENSELUP00000036175	ENSELUG00000015413	Esox_lucius
ENSDARP00000068572	ENSDARG00000052263	Danio_rerio
ENSCHAP00000057793	ENSCHAG00000026087	Clupea_harengus
ENSHHUP00000061594	ENSHHUG00000036473	Hucho_hucho
ENSHHUP00000073941	ENSHHUG00000043386	Hucho_hucho
ENSSLDP00000015315	ENSSLDG00000011757	Seriola_lalandi_dorsalis
ENSCSEP00000032683	ENSCSEG00000020977	Cynoglossus_semilaevis
ENSLCAP00010032556	ENSLCAG00010015273	Lates_calcarifer
ENSMAMP00000027232	ENSMAMG00000018306	Mastacembelus_armatus
ENSATEP00000022855	ENSATEG00000015844	Anabas_testudineus
ENSMALP00000009842	ENSMALG00000006985	Monopterus_albus
ENSGACP00000025979	ENSGACG00000019642	Gasterosteus_aculeatus
ENSGMOP00000010711	ENSGMOG00000010022	Gadus_morhua
ENSPREP00000007112	ENSPREG00000004889	Poecilia_reticulata
ENSCVAP00000032633	ENSCVAG00000022799	Cyprinodon_variegatus
ENSORLP00000038487	ENSORLG00000021846	Oryzias_latipes_ASM223467v1
ENSORLP00015036027	ENSORLG00015000618	Oryzias_latipes_ASM223469v1
ENSORLP00020020703	ENSORLG00020021697	Oryzias_latipes_ASM223471v1
ENSOMEP00000007924	ENSOMEG00000009074	Oryzias_melastigma
ENSSFOP00015017295	ENSSFOG00015011140	Scleropages_formosus
ENSSFOP00015001957	ENSSFOG00015001293	Scleropages_formosus
ENSPKIP00000019635	ENSPKIG00000004714	Paramormyrops_kingsleyae
ENSLOCP00000019752	ENSLOCG00000016037	Lepisosteus_oculatus
ENSECRP00000029613	ENSECRG00000020049	Erpetoichthys_calabaricus
ENSACAP00000021591	ENSACAG00000009125	Anolis_carolinensis
ENSLCRP00005000189	ENSLCRG00005000142	Larimichthys_crocea
