ENSCGOP00000045834	ENSCGOG00000020582	Cottoperca_gobio
ENSGACP00000015899	ENSGACG00000012020	Gasterosteus_aculeatus
ENSPMEP00000020635	ENSPMEG00000023795	Poecilia_mexicana
ENSMALP00000022362	ENSMALG00000015603	Monopterus_albus
ENSCHAP00000041317	ENSCHAG00000019324	Clupea_harengus
ENSDCDP00000062168	ENSDCDG00000035288	Denticeps_clupeoides
ENSAMXP00005039060	ENSAMXG00005018468	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPREP00000003145	ENSPREG00000002285	Poecilia_reticulata
ENSTRUP00000048307	ENSTRUG00000021157	Takifugu_rubripes
ENSFHEP00000035079	ENSFHEG00000023147	Fundulus_heteroclitus
ENSKMAP00000007478	ENSKMAG00000005642	Kryptolebias_marmoratus
ENSBSLP00000045782	ENSBSLG00000021859	Betta_splendens
ENSDARP00000119877	ENSDARG00000092039	Danio_rerio
ENSAMXP00005051451	ENSAMXG00005023236	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSATEP00000008339	ENSATEG00000005878	Anabas_testudineus
ENSORLP00015025308	ENSORLG00015006338	Oryzias_latipes_ASM223469v1
ENSKMAP00000023661	ENSKMAG00000017542	Kryptolebias_marmoratus
ENSPLAP00000004923	ENSPLAG00000006690	Poecilia_latipinna
ENSAPOP00000022919	ENSAPOG00000004394	Acanthochromis_polyacanthus
ENSORLP00000028038	ENSORLG00000024967	Oryzias_latipes_ASM223467v1
ENSPKIP00000020823	ENSPKIG00000005466	Paramormyrops_kingsleyae
ENSLCRP00005040444	ENSLCRG00005015616	Larimichthys_crocea
ENSPNAP00000026992	ENSPNAG00000012387	Pygocentrus_nattereri
ENSXMAP00000023317	ENSXMAG00000027553	Xiphophorus_maculatus
ENSORLP00000043509	ENSORLG00000014652	Oryzias_latipes_ASM223467v1
ENSHBUP00000003533	ENSHBUG00000004772	Haplochromis_burtoni
ENSDCDP00000048734	ENSDCDG00000030087	Denticeps_clupeoides
ENSCVAP00000029823	ENSCVAG00000017895	Cyprinodon_variegatus
ENSGWIP00000022688	ENSGWIG00000012146	Gouania_willdenowi
ENSAOCP00000030970	ENSAOCG00000022282	Amphiprion_ocellaris
ENSSMAP00000022365	ENSSMAG00000013686	Scophthalmus_maximus
ENSAPOP00000008547	ENSAPOG00000010688	Acanthochromis_polyacanthus
ENSLCAP00010031510	ENSLCAG00010014802	Lates_calcarifer
ENSPFOP00000025545	ENSPFOG00000024056	Poecilia_formosa
ENSSLDP00000032473	ENSSLDG00000024933	Seriola_lalandi_dorsalis
ENSHCOP00000009001	ENSHCOG00000011356	Hippocampus_comes
ENSLOCP00000006131	ENSLOCG00000005090	Lepisosteus_oculatus
ENSACLP00000037802	ENSACLG00000025565	Astatotilapia_calliptera
ENSNBRP00000010622	ENSNBRG00000008267	Neolamprologus_brichardi
ENSSPAP00000004839	ENSSPAG00000003757	Stegastes_partitus
ENSIPUP00000007715	ENSIPUG00000005321	Ictalurus_punctatus
ENSAPEP00000012103	ENSAPEG00000008648	Amphiprion_percula
ENSMZEP00005035311	ENSMZEG00005026392	Maylandia_zebra
ENSAOCP00000008629	ENSAOCG00000012666	Amphiprion_ocellaris
ENSXMAP00000021697	ENSXMAG00000023059	Xiphophorus_maculatus
ENSELUP00000023890	ENSELUG00000022706	Esox_lucius
ENSORLP00015017400	ENSORLG00015018425	Oryzias_latipes_ASM223469v1
ENSMAMP00000016250	ENSMAMG00000010993	Mastacembelus_armatus
ENSSMAP00000012627	ENSSMAG00000007779	Scophthalmus_maximus
ENSGAFP00000031320	ENSGAFG00000021103	Gambusia_affinis
ENSPFOP00000005262	ENSPFOG00000005365	Poecilia_formosa
ENSGAFP00000003025	ENSGAFG00000002078	Gambusia_affinis
ENSOMEP00000023072	ENSOMEG00000002966	Oryzias_melastigma
ENSCSEP00000032112	ENSCSEG00000020617	Cynoglossus_semilaevis
ENSORLP00020000656	ENSORLG00020001360	Oryzias_latipes_ASM223471v1
ENSECRP00000012595	ENSECRG00000008396	Erpetoichthys_calabaricus
ENSOMEP00000010656	ENSOMEG00000011936	Oryzias_melastigma
ENSLBEP00000018169	ENSLBEG00000014002	Labrus_bergylta
ENSPMEP00000017956	ENSPMEG00000000725	Poecilia_mexicana
ENSPKIP00000020397	ENSPKIG00000005189	Paramormyrops_kingsleyae
ENSMZEP00005031619	ENSMZEG00005023587	Maylandia_zebra
ENSLBEP00000015643	ENSLBEG00000012158	Labrus_bergylta
ENSPNAP00000036017	ENSPNAG00000005507	Pygocentrus_nattereri
ENSORLP00020028640	ENSORLG00020012203	Oryzias_latipes_ASM223471v1
ENSHBUP00000009669	ENSHBUG00000011213	Haplochromis_burtoni
ENSAMXP00000044713	ENSAMXG00000042890	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000030127
ENSLCRP00005060822	ENSLCRG00005022453	Larimichthys_crocea
