ENSMMOP00000005628	ENSMMOG00000004429	Mola_mola
ENSCABP00000008792	ENSCABG00000006639	Chelonoidis_abingdonii
ENSSMAP00000000545	ENSSMAG00000000347	Scophthalmus_maximus
ENSCGOP00000034310	ENSCGOG00000015922	Cottoperca_gobio
ENSORLP00015001559	ENSORLG00015002181	Oryzias_latipes_ASM223469v1
ENSPMGP00000024183	ENSPMGG00000019563	Periophthalmus_magnuspinnatus	ENSPMGT00000025766
ENSPNAP00000019440	ENSPNAG00000005205	Pygocentrus_nattereri
ENSAOCP00000023636	ENSAOCG00000009903	Amphiprion_ocellaris
ENSLOCP00000020910	ENSLOCG00000016913	Lepisosteus_oculatus
ENSELUP00000009172	ENSELUG00000009751	Esox_lucius
ENSIPUP00000027488	ENSIPUG00000018618	Ictalurus_punctatus
ENSORLP00020019428	ENSORLG00020020420	Oryzias_latipes_ASM223471v1
ENSECRP00000022468	ENSECRG00000015189	Erpetoichthys_calabaricus
