ENSDARP00000025026	ENSDARG00000014031	Danio_rerio	ENSDART00000016604
ENSPNAP00000031912	ENSPNAG00000019582	Pygocentrus_nattereri	ENSPNAT00000037020
ENSTRUP00000023465	ENSTRUG00000009329	Takifugu_rubripes	ENSTRUT00000023562
ENSEBUP00000009697	ENSEBUG00000006226	Eptatretus_burgeri	ENSEBUT00000010226
ENSEBUP00000003375	ENSEBUG00000002463	Eptatretus_burgeri	ENSEBUT00000003744
ENSCHAP00000011356	ENSCHAG00000006400	Clupea_harengus
ENSDARP00000084947	ENSDARG00000062519	Danio_rerio
ENSHHUP00000087226	ENSHHUG00000050463	Hucho_hucho
ENSCINP00000031488	ENSCING00000020167	Ciona_intestinalis
ENSTRUP00000030660	ENSTRUG00000012114	Takifugu_rubripes
ENSTNIP00000000842	ENSTNIG00000005013	Tetraodon_nigroviridis
ENSLBEP00000019637	ENSLBEG00000014977	Labrus_bergylta
ENSPMGP00000012300	ENSPMGG00000010151	Periophthalmus_magnuspinnatus
ENSCVAP00000013627	ENSCVAG00000016264	Cyprinodon_variegatus
ENSXCOP00000013966	ENSXCOG00000010568	Xiphophorus_couchianus
ENSDNOP00000019850	ENSDNOG00000034099	Dasypus_novemcinctus
ENSHHUP00000024122	ENSHHUG00000015137	Hucho_hucho
ENSSPUP00000009185	ENSSPUG00000007151	Sphenodon_punctatus
ENSSPUP00000009175	ENSSPUG00000007145	Sphenodon_punctatus
ENSSPUP00000009222	ENSSPUG00000007159	Sphenodon_punctatus
ENSACAP00000003575	ENSACAG00000003478	Anolis_carolinensis
ENSPVIP00000026026	ENSPVIG00000019252	Pogona_vitticeps
ENSNSUP00000026342	ENSNSUG00000018842	Notechis_scutatus
ENSSMRP00000005418	ENSSMRG00000000658	Salvator_merianae
ENSLCOP00000005126	ENSLCOG00000003856	Lepidothrix_coronata
ENSMVIP00005005679	ENSMVIG00005004340	Manacus_vitellinus
ENSTGUP00000005915	ENSTGUG00000005678	Taeniopygia_guttata
ENSLSDP00000007600	ENSLSDG00000005318	Lonchura_striata_domestica
ENSSCAP00000015500	ENSSCAG00000011364	Serinus_canaria
ENSFALP00000014666	ENSFALG00000014053	Ficedula_albicollis
ENSPMJP00000021735	ENSPMJG00000016050	Parus_major
ENSCCEP00000023203	ENSCCEG00000020810	Cyanistes_caeruleus
ENSJHYP00000010667	ENSJHYG00000007782	Junco_hyemalis
ENSZALP00000020383	ENSZALG00000015983	Zonotrichia_albicollis
ENSMUNP00000001675	ENSMUNG00000000651	Melopsittacus_undulatus
ENSCPGP00000026406	ENSCPGG00000017448	Calidris_pygmaea
ENSCPUP00000005574	ENSCPUG00000003924	Calidris_pugnax
ENSGALP00000053657	ENSGALG00000038152	Gallus_gallus
ENSMGAP00000007703	ENSMGAG00000007379	Meleagris_gallopavo
ENSCJPP00005018735	ENSCJPG00005015234	Coturnix_japonica
ENSNMEP00000022562	ENSNMEG00000019267	Numida_meleagris
ENSABRP00000023340	ENSABRG00000018561	Anser_brachyrhynchus
ENSAPLP00000008822	ENSAPLG00000009046	Anas_platyrhynchos_platyrhynchos
ENSAOWP00000004932	ENSAOWG00000003406	Apteryx_owenii
ENSAHAP00000010702	ENSAHAG00000007724	Apteryx_haastii
ENSARWP00000006337	ENSARWG00000004490	Apteryx_rowi
ENSDNVP00000018252	ENSDNVG00000012769	Dromaius_novaehollandiae
ENSNPEP00000007860	ENSNPEG00000005882	Nothoprocta_perdicaria
ENSCPRP00005013022	ENSCPRG00005008857	Crocodylus_porosus
ENSGAGP00000021815	ENSGAGG00000016012	Gopherus_agassizii
ENSCABP00000018528	ENSCABG00000013681	Chelonoidis_abingdonii
ENSCPBP00000028590	ENSCPBG00000019854	Chrysemys_picta_bellii
ENSPSIP00000018471	ENSPSIG00000016331	Pelodiscus_sinensis
ENSPSIP00000020329	ENSPSIG00000017999	Pelodiscus_sinensis
ENSEEUP00000001392	ENSEEUG00000001540	Erinaceus_europaeus
ENSUMAP00000008538	ENSUMAG00000006516	Ursus_maritimus
ENSVPAP00000008180	ENSVPAG00000008790	Vicugna_pacos
ENSPTRP00000063642	ENSPTRG00000046510	Pan_troglodytes
ENSPPAP00000003103	ENSPPAG00000013086	Pan_paniscus
ENSCJAP00000056726	ENSCJAG00000045190	Callithrix_jacchus
ENSSBOP00000040406	ENSSBOG00000036186	Saimiri_boliviensis_boliviensis
ENSANAP00000009330	ENSANAG00000022662	Aotus_nancymaae
ENSSDAP00000001989	ENSSDAG00000001942	Spermophilus_dauricus
ENSPNAP00000015067	ENSPNAG00000021084	Pygocentrus_nattereri
ENSXCOP00000019977	ENSXCOG00000015003	Xiphophorus_couchianus
ENSNLEP00000025442	ENSNLEG00000034193	Nomascus_leucogenys
ENSNLEP00000009478	ENSNLEG00000007794	Nomascus_leucogenys
ENSNLEP00000000114	ENSNLEG00000000105	Nomascus_leucogenys
ENSPPAP00000010806	ENSPPAG00000028615	Pan_paniscus
ENSPTRP00000082385	ENSPTRG00000048009	Pan_troglodytes
ENSPTRP00000076728	ENSPTRG00000007815	Pan_troglodytes
ENSP00000205557	ENSG00000091262	Homo_sapiens
ENSGGOP00000022567	ENSGGOG00000009623	Gorilla_gorilla
ENSPPYP00000008067	ENSPPYG00000007136	Pongo_abelii
ENSTGEP00000029404	ENSTGEG00000023630	Theropithecus_gelada
ENSPANP00000025498	ENSPANG00000006902	Papio_anubis
ENSMLEP00000034983	ENSMLEG00000041618	Mandrillus_leucophaeus
ENSCATP00000001176	ENSCATG00000005326	Cercocebus_atys
ENSMFAP00000003316	ENSMFAG00000001420	Macaca_fascicularis
ENSMMUP00000060739	ENSMMUG00000041962	Macaca_mulatta
ENSMNEP00000034336	ENSMNEG00000040358	Macaca_nemestrina
ENSCSAP00000004261	ENSCSAG00000008000	Chlorocebus_sabaeus
ENSCANP00000035486	ENSCANG00000041422	Colobus_angolensis_palliatus
ENSPTEP00000026224	ENSPTEG00000026322	Piliocolobus_tephrosceles
ENSRROP00000024841	ENSRROG00000036200	Rhinopithecus_roxellana
ENSRBIP00000013887	ENSRBIG00000031009	Rhinopithecus_bieti
ENSCCAP00000030885	ENSCCAG00000033489	Cebus_capucinus_imitator
ENSSBOP00000013080	ENSSBOG00000023308	Saimiri_boliviensis_boliviensis
ENSCJAP00000010771	ENSCJAG00000005769	Callithrix_jacchus
ENSSBOP00000034846	ENSSBOG00000033582	Saimiri_boliviensis_boliviensis
ENSTBEP00000005549	ENSTBEG00000006414	Tupaia_belangeri
ENSPCOP00000032112	ENSPCOG00000028843	Propithecus_coquereli
ENSPSMP00000018732	ENSPSMG00000013243	Prolemur_simus
ENSMICP00000046791	ENSMICG00000026666	Microcebus_murinus
ENSOGAP00000003957	ENSOGAG00000004427	Otolemur_garnettii
ENSTSYP00000023877	ENSTSYG00000026981	Carlito_syrichta
ENSCCNP00000024554	ENSCCNG00000023916	Castor_canadensis
ENSDORP00000015199	ENSDORG00000016157	Dipodomys_ordii
ENSCLAP00000015863	ENSCLAG00000010909	Chinchilla_lanigera
ENSODEP00000003476	ENSODEG00000002667	Octodon_degus
ENSCPOP00000004398	ENSCPOG00000004886	Cavia_porcellus
ENSCAPP00000016884	ENSCAPG00000016684	Cavia_aperea
ENSHGLP00000013520	ENSHGLG00000009667	Heterocephalus_glaber_HetGla_female_1.0
