ENSMICP00000005831	ENSMICG00000006392	Microcebus_murinus
ENSPSMP00000009047	ENSPSMG00000006618	Prolemur_simus
ENSOGAP00000016291	ENSOGAG00000027112	Otolemur_garnettii
ENSPPYP00000023259	ENSPPYG00000020776	Pongo_abelii
ENSTGEP00000004664	ENSTGEG00000003898	Theropithecus_gelada
ENSCJAP00000069096	ENSCJAG00000056937	Callithrix_jacchus
ENSCGRP00001008332	ENSCGRG00001010626	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015013425	ENSCGRG00015010302	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000015031	ENSCGRG00000010895	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000021685	ENSMAUG00000019340	Mesocricetus_auratus
ENSPEMP00000028124	ENSPEMG00000023742	Peromyscus_maniculatus_bairdii
ENSMOCP00000007151	ENSMOCG00000006923	Microtus_ochrogaster
ENSMUSP00000113812	ENSMUSG00000046180	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0095285	MGP_SPRETEiJ_G0034257	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000002410	ENSMSIG00000002298	Mus_spicilegus
MGP_CAROLIEiJ_P0091531	MGP_CAROLIEiJ_G0033103	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0089161	MGP_PahariEiJ_G0031645	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000004684	ENSRNOG00000003532	Rattus_norvegicus
ENSMUGP00000024557	ENSMUGG00000020523	Meriones_unguiculatus
ENSJJAP00000005132	ENSJJAG00000010090	Jaculus_jaculus
ENSFDAP00000004162	ENSFDAG00000013441	Fukomys_damarensis
ENSCCNP00000000850	ENSCCNG00000000939	Castor_canadensis
ENSCCNP00000011934	ENSCCNG00000012399	Castor_canadensis
ENSMMMP00000014361	ENSMMMG00000012790	Marmota_marmota_marmota
ENSUPAP00010016165	ENSUPAG00010012907	Urocitellus_parryii
ENSCCNP00000005284	ENSCCNG00000005635	Castor_canadensis
ENSCCNP00000022338	ENSCCNG00000021999	Castor_canadensis
ENSFDAP00000014843	ENSFDAG00000002336	Fukomys_damarensis
ENSFDAP00000016602	ENSFDAG00000005206	Fukomys_damarensis
