ENSMUNP00000017341	ENSMUNG00000013324	Melopsittacus_undulatus
ENSXETP00000039635	ENSXETG00000001077	Xenopus_tropicalis
ENSSPUP00000009716	ENSSPUG00000007526	Sphenodon_punctatus
ENSSPUP00000009730	ENSSPUG00000007545	Sphenodon_punctatus
ENSSPUP00000009722	ENSSPUG00000007539	Sphenodon_punctatus
ENSPVIP00000015002	ENSPVIG00000011550	Pogona_vitticeps
ENSACAP00000015983	ENSACAG00000016206	Anolis_carolinensis
ENSNSUP00000008747	ENSNSUG00000006735	Notechis_scutatus
ENSSMRP00000000523	ENSSMRG00000000438	Salvator_merianae
ENSABRP00000027034	ENSABRG00000022529	Anser_brachyrhynchus
ENSAPLP00000027916	ENSAPLG00000020182	Anas_platyrhynchos_platyrhynchos
ENSGALP00000043626	ENSGALG00000014784	Gallus_gallus
ENSCJPP00005009133	ENSCJPG00005008080	Coturnix_japonica
ENSMGAP00000010965	ENSMGAG00000004521	Meleagris_gallopavo
ENSNMEP00000007720	ENSNMEG00000007681	Numida_meleagris
ENSZALP00000003219	ENSZALG00000003275	Zonotrichia_albicollis
ENSZALP00000016561	ENSZALG00000013424	Zonotrichia_albicollis
ENSTGUP00000003068	ENSTGUG00000002955	Taeniopygia_guttata
ENSLSDP00000024734	ENSLSDG00000017341	Lonchura_striata_domestica
ENSSCAP00000015368	ENSSCAG00000011150	Serinus_canaria
ENSFALP00000010266	ENSFALG00000009844	Ficedula_albicollis
ENSCCEP00000019216	ENSCCEG00000017468	Cyanistes_caeruleus
ENSCCEP00000019183	ENSCCEG00000017449	Cyanistes_caeruleus
ENSPMJP00000021694	ENSPMJG00000016119	Parus_major
ENSLCOP00000016804	ENSLCOG00000011295	Lepidothrix_coronata
ENSMVIP00005022472	ENSMVIG00005015243	Manacus_vitellinus
ENSCPGP00000023066	ENSCPGG00000015296	Calidris_pygmaea
ENSCPUP00000021882	ENSCPUG00000014877	Calidris_pugnax
ENSDNVP00000020388	ENSDNVG00000014274	Dromaius_novaehollandiae
ENSNPEP00000021685	ENSNPEG00000016086	Nothoprocta_perdicaria
ENSARWP00000020314	ENSARWG00000013907	Apteryx_rowi
ENSARWP00000012185	ENSARWG00000008415	Apteryx_rowi
ENSAHAP00000015920	ENSAHAG00000009554	Apteryx_haastii
ENSAOWP00000017605	ENSAOWG00000011934	Apteryx_owenii
ENSCPRP00005024859	ENSCPRG00005017252	Crocodylus_porosus
ENSGAGP00000015782	ENSGAGG00000011873	Gopherus_agassizii
ENSCABP00000023884	ENSCABG00000017580	Chelonoidis_abingdonii
ENSCPBP00000038938	ENSCPBG00000026870	Chrysemys_picta_bellii
ENSPSIP00000013219	ENSPSIG00000011746	Pelodiscus_sinensis
ENSVURP00010025551	ENSVURG00010019545	Vombatus_ursinus
ENSPCIP00000023446	ENSPCIG00000017760	Phascolarctos_cinereus
ENSMEUP00000003577	ENSMEUG00000003901	Notamacropus_eugenii
ENSMODP00000024545	ENSMODG00000019672	Monodelphis_domestica
ENSSHAP00000013578	ENSSHAG00000011607	Sarcophilus_harrisii
ENSPPAP00000002503	ENSPPAG00000010615	Pan_paniscus
ENSPTRP00000063028	ENSPTRG00000016938	Pan_troglodytes
ENSP00000385727	ENSG00000069020	Homo_sapiens
ENSGGOP00000004214	ENSGGOG00000004284	Gorilla_gorilla
ENSPPYP00000017339	ENSPPYG00000015518	Pongo_abelii
ENSNLEP00000044821	ENSNLEG00000003841	Nomascus_leucogenys
ENSCANP00000017183	ENSCANG00000031988	Colobus_angolensis_palliatus
ENSPTEP00000010593	ENSPTEG00000011877	Piliocolobus_tephrosceles
ENSRROP00000001447	ENSRROG00000005074	Rhinopithecus_roxellana
ENSRBIP00000025697	ENSRBIG00000036696	Rhinopithecus_bieti
ENSTGEP00000022050	ENSTGEG00000017803	Theropithecus_gelada
ENSPANP00000042932	ENSPANG00000014045	Papio_anubis
ENSCATP00000005518	ENSCATG00000016845	Cercocebus_atys
ENSMLEP00000015046	ENSMLEG00000031570	Mandrillus_leucophaeus
ENSMMUP00000062338	ENSMMUG00000005357	Macaca_mulatta
ENSMNEP00000008412	ENSMNEG00000028564	Macaca_nemestrina
ENSMFAP00000044884	ENSMFAG00000033959	Macaca_fascicularis
ENSCSAP00000011972	ENSCSAG00000015895	Chlorocebus_sabaeus
ENSCCAP00000006191	ENSCCAG00000020795	Cebus_capucinus_imitator
ENSCJAP00000060021	ENSCJAG00000033226	Callithrix_jacchus
ENSSBOP00000021497	ENSSBOG00000027222	Saimiri_boliviensis_boliviensis
ENSANAP00000029647	ENSANAG00000032575	Aotus_nancymaae
ENSTSYP00000012268	ENSTSYG00000013370	Carlito_syrichta
ENSPCOP00000027071	ENSPCOG00000025972	Propithecus_coquereli
ENSPSMP00000004836	ENSPSMG00000003664	Prolemur_simus
ENSMICP00000010480	ENSMICG00000011481	Microcebus_murinus
ENSOGAP00000018944	ENSOGAG00000026593	Otolemur_garnettii
ENSTBEP00000011620	ENSTBEG00000013384	Tupaia_belangeri
ENSCCNP00000025905	ENSCCNG00000025202	Castor_canadensis
ENSDORP00000024690	ENSDORG00000027648	Dipodomys_ordii
ENSSTOP00000030856	ENSSTOG00000023790	Ictidomys_tridecemlineatus
ENSUPAP00010026449	ENSUPAG00010020888	Urocitellus_parryii
ENSSDAP00000009056	ENSSDAG00000008153	Spermophilus_dauricus
ENSMMMP00000000555	ENSMMMG00000000332	Marmota_marmota_marmota
ENSHGLP00000007206	ENSHGLG00000005251	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100003365	ENSHGLG00100002562	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000015875	ENSFDAG00000004130	Fukomys_damarensis
ENSCLAP00000005742	ENSCLAG00000004071	Chinchilla_lanigera
ENSCPOP00000000673	ENSCPOG00000000754	Cavia_porcellus
ENSCAPP00000016886	ENSCAPG00000016676	Cavia_aperea
ENSODEP00000022122	ENSODEG00000016250	Octodon_degus
ENSMSIP00000004488	ENSMSIG00000003771	Mus_spicilegus
