ENSPCAP00000010187	ENSPCAG00000010950	Procavia_capensis	ENSPCAT00000010918
ENSETEP00000016236	ENSETEG00000019988	Echinops_telfairi	ENSETET00000019987
ENSSSCP00000045294	ENSSSCG00000030335	Sus_scrofa_strain_reference
ENSOARP00000020595	ENSOARG00000019173	Ovis_aries
ENSTTRP00000006830	ENSTTRG00000007220	Tursiops_truncatus	ENSTTRT00000007216
ENSVPAP00000000392	ENSVPAG00000000422	Vicugna_pacos
ENSUAMP00000006870	ENSUAMG00000005994	Ursus_americanus
ENSUMAP00000006069	ENSUMAG00000004790	Ursus_maritimus
ENSAMEP00000019217	ENSAMEG00000018182	Ailuropoda_melanoleuca
ENSMPUP00000000431	ENSMPUG00000000434	Mustela_putorius_furo
ENSVVUP00000030018	ENSVVUG00000021935	Vulpes_vulpes
ENSCAFP00000057060	ENSCAFG00000047181	Canis_lupus_familiaris
ENSPPRP00000028920	ENSPPRG00000021261	Panthera_pardus
ENSPTIP00000008367	ENSPTIG00000009745	Panthera_tigris_altaica
ENSFCAP00000038496	ENSFCAG00000034647	Felis_catus
ENSPVAP00000006026	ENSPVAG00000006377	Pteropus_vampyrus
ENSEEUP00000010128	ENSEEUG00000011130	Erinaceus_europaeus
ENSSARP00000011424	ENSSARG00000012653	Sorex_araneus
ENSPPAP00000019839	ENSPPAG00000033135	Pan_paniscus
ENSPTRP00000051169	ENSPTRG00000030164	Pan_troglodytes
ENSGGOP00000007462	ENSGGOG00000007630	Gorilla_gorilla
ENSPPYP00000015164	ENSPPYG00000013562	Pongo_abelii
ENSNLEP00000004889	ENSNLEG00000004045	Nomascus_leucogenys
ENSPANP00000039767	ENSPANG00000033650	Papio_anubis
ENSCATP00000001814	ENSCATG00000008303	Cercocebus_atys
ENSMLEP00000008773	ENSMLEG00000028602	Mandrillus_leucophaeus
ENSRBIP00000017740	ENSRBIG00000032894	Rhinopithecus_bieti
ENSMFAP00000040282	ENSMFAG00000046312	Macaca_fascicularis
ENSMNEP00000021610	ENSMNEG00000034546	Macaca_nemestrina
ENSRROP00000030623	ENSRROG00000039054	Rhinopithecus_roxellana
ENSCCAP00000009342	ENSCCAG00000022417	Cebus_capucinus_imitator
ENSSBOP00000025289	ENSSBOG00000029122	Saimiri_boliviensis_boliviensis
ENSCJAP00000071270	ENSCJAG00000052985	Callithrix_jacchus
ENSANAP00000025032	ENSANAG00000030237	Aotus_nancymaae
ENSOGAP00000013151	ENSOGAG00000014680	Otolemur_garnettii
ENSTBEP00000013030	ENSTBEG00000015015	Tupaia_belangeri
ENSSDAP00000006650	ENSSDAG00000006145	Spermophilus_dauricus
ENSUPAP00010024045	ENSUPAG00010019083	Urocitellus_parryii
ENSMMMP00000013185	ENSMMMG00000011779	Marmota_marmota_marmota
ENSOCUP00000026163	ENSOCUG00000029031	Oryctolagus_cuniculus
ENSCHOP00000007750	ENSCHOG00000008764	Choloepus_hoffmanni	ENSCHOT00000008780
ENSDNOP00000021666	ENSDNOG00000048806	Dasypus_novemcinctus	ENSDNOT00000048071
