ENSAOWP00000019143	ENSAOWG00000013013	Apteryx_owenii
ENSAHAP00000027376	ENSAHAG00000019057	Apteryx_haastii
ENSARWP00000012066	ENSARWG00000008324	Apteryx_rowi
ENSDNVP00000025754	ENSDNVG00000017922	Dromaius_novaehollandiae
ENSNPEP00000002670	ENSNPEG00000002061	Nothoprocta_perdicaria
ENSCJPP00005005799	ENSCJPG00005005484	Coturnix_japonica
ENSNMEP00000017523	ENSNMEG00000015312	Numida_meleagris
ENSMGAP00000003693	ENSMGAG00000003942	Meleagris_gallopavo
ENSABRP00000020607	ENSABRG00000017518	Anser_brachyrhynchus
ENSCPUP00000019844	ENSCPUG00000013594	Calidris_pugnax
ENSCPGP00000019600	ENSCPGG00000013725	Calidris_pygmaea
ENSMUNP00000011157	ENSMUNG00000008759	Melopsittacus_undulatus
ENSLCOP00000009649	ENSLCOG00000007014	Lepidothrix_coronata
ENSMVIP00005021022	ENSMVIG00005014780	Manacus_vitellinus
ENSTGUP00000006192	ENSTGUG00000006025	Taeniopygia_guttata
ENSLSDP00000000781	ENSLSDG00000000586	Lonchura_striata_domestica
ENSZALP00000006078	ENSZALG00000005598	Zonotrichia_albicollis
ENSJHYP00000022865	ENSJHYG00000017240	Junco_hyemalis
ENSSCAP00000011488	ENSSCAG00000008617	Serinus_canaria
ENSFALP00000003470	ENSFALG00000003329	Ficedula_albicollis
ENSPMJP00000022302	ENSPMJG00000016521	Parus_major
ENSCCEP00000005122	ENSCCEG00000005623	Cyanistes_caeruleus
ENSCPRP00005007042	ENSCPRG00005004982	Crocodylus_porosus
ENSCPBP00000001134	ENSCPBG00000000821	Chrysemys_picta_bellii
ENSCABP00000029561	ENSCABG00000021695	Chelonoidis_abingdonii
ENSPSIP00000018415	ENSPSIG00000016342	Pelodiscus_sinensis
ENSPVIP00000028423	ENSPVIG00000021057	Pogona_vitticeps
ENSACAP00000008183	ENSACAG00000008325	Anolis_carolinensis
ENSSMRP00000028752	ENSSMRG00000022102	Salvator_merianae
ENSNSUP00000018040	ENSNSUG00000013214	Notechis_scutatus
ENSSPUP00000018401	ENSSPUG00000014192	Sphenodon_punctatus
ENSPCIP00000005097	ENSPCIG00000004213	Phascolarctos_cinereus
ENSVURP00010021740	ENSVURG00010016615	Vombatus_ursinus
ENSMEUP00000014756	ENSMEUG00000016139	Notamacropus_eugenii
ENSSHAP00000001555	ENSSHAG00000001385	Sarcophilus_harrisii
ENSPPAP00000009515	ENSPPAG00000027981	Pan_paniscus
ENSPTRP00000086768	ENSPTRG00000013980	Pan_troglodytes
ENSP00000321987	ENSG00000175894	Homo_sapiens
ENSGGOP00000029031	ENSGGOG00000002047	Gorilla_gorilla
ENSPPYP00000012825	ENSPPYG00000011488	Pongo_abelii
ENSNLEP00000039242	ENSNLEG00000002263	Nomascus_leucogenys
ENSPTEP00000009508	ENSPTEG00000010782	Piliocolobus_tephrosceles
ENSCANP00000008300	ENSCANG00000027275	Colobus_angolensis_palliatus
ENSRROP00000036201	ENSRROG00000041561	Rhinopithecus_roxellana
ENSRBIP00000017376	ENSRBIG00000032685	Rhinopithecus_bieti
ENSPANP00000012731	ENSPANG00000006409	Papio_anubis
ENSMLEP00000023611	ENSMLEG00000035979	Mandrillus_leucophaeus
ENSCATP00000022741	ENSCATG00000034984	Cercocebus_atys
ENSTGEP00000023266	ENSTGEG00000018834	Theropithecus_gelada
ENSMNEP00000046004	ENSMNEG00000045469	Macaca_nemestrina
ENSMFAP00000008259	ENSMFAG00000001348	Macaca_fascicularis
ENSMMUP00000029690	ENSMMUG00000022556	Macaca_mulatta
ENSCSAP00000003838	ENSCSAG00000007591	Chlorocebus_sabaeus
ENSCCAP00000033701	ENSCCAG00000034859	Cebus_capucinus_imitator
ENSSBOP00000029185	ENSSBOG00000030930	Saimiri_boliviensis_boliviensis
ENSCJAP00000028251	ENSCJAG00000015329	Callithrix_jacchus
ENSANAP00000029931	ENSANAG00000032724	Aotus_nancymaae
ENSTSYP00000006169	ENSTSYG00000006727	Carlito_syrichta
ENSPCOP00000015281	ENSPCOG00000019364	Propithecus_coquereli
ENSPSMP00000002556	ENSPSMG00000002016	Prolemur_simus
ENSMICP00000009072	ENSMICG00000009957	Microcebus_murinus
