ENSGAFP00000019825	ENSGAFG00000013404	Gambusia_affinis
ENSDARP00000130659	ENSDARG00000101942	Danio_rerio
ENSPMEP00000026244	ENSPMEG00000009784	Poecilia_mexicana
ENSCPBP00000013989	ENSCPBG00000010423	Chrysemys_picta_bellii
ENSMALP00000029089	ENSMALG00000020128	Monopterus_albus
ENSSBOP00000026834	ENSSBOG00000029843	Saimiri_boliviensis_boliviensis
ENSSMAP00000000382	ENSSMAG00000000246	Scophthalmus_maximus
ENSHCOP00000014108	ENSHCOG00000017384	Hippocampus_comes
ENSPTRP00000080759	ENSPTRG00000006091	Pan_troglodytes
ENSAMXP00000007854	ENSAMXG00000007646	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSELUP00000039412	ENSELUG00000019557	Esox_lucius
ENSCJAP00000017923	ENSCJAG00000009772	Callithrix_jacchus
ENSPCOP00000018031	ENSPCOG00000020872	Propithecus_coquereli
ENSSMRP00000001081	ENSSMRG00000000942	Salvator_merianae
ENSPSMP00000000077	ENSPSMG00000000091	Prolemur_simus
ENSCGOP00000027397	ENSCGOG00000012853	Cottoperca_gobio
ENSCABP00000010752	ENSCABG00000008051	Chelonoidis_abingdonii
ENSIPUP00000027398	ENSIPUG00000018551	Ictalurus_punctatus
ENSPTEP00000013840	ENSPTEG00000015474	Piliocolobus_tephrosceles
ENSMMMP00000001170	ENSMMMG00000001085	Marmota_marmota_marmota
ENSSDAP00000010741	ENSSDAG00000009709	Spermophilus_dauricus
ENSCAFP00020017937	ENSCAFG00020014362	Canis_lupus_dingo
ENSCINP00000000883	ENSCING00000000489	Ciona_intestinalis
ENSSPAP00000000851	ENSSPAG00000000647	Stegastes_partitus
ENSMPUP00000018012	ENSMPUG00000018124	Mustela_putorius_furo
ENSCABP00000009297	ENSCABG00000006995	Chelonoidis_abingdonii
ENSPVIP00000011783	ENSPVIG00000009234	Pogona_vitticeps
ENSORLP00015000630	ENSORLG00015001229	Oryzias_latipes_ASM223469v1
ENSMLUP00000003940	ENSMLUG00000004332	Myotis_lucifugus
ENSAPEP00000034480	ENSAPEG00000024487	Amphiprion_percula
ENSCINP00000027050	ENSCING00000015164	Ciona_intestinalis
ENSGWIP00000012407	ENSGWIG00000007216	Gouania_willdenowi
ENSSDUP00000014709	ENSSDUG00000010732	Seriola_dumerili
ENSCSEP00000023204	ENSCSEG00000014800	Cynoglossus_semilaevis
ENSTGEP00000018172	ENSTGEG00000014685	Theropithecus_gelada
ENSORLP00020018783	ENSORLG00020019749	Oryzias_latipes_ASM223471v1
