ENSCLAP00000019018	ENSCLAG00000013025	Chinchilla_lanigera
ENSMAUP00000003233	ENSMAUG00000003451	Mesocricetus_auratus
ENSLCRP00005049212	ENSLCRG00005018589	Larimichthys_crocea
ENSSBOP00000037486	ENSSBOG00000034840	Saimiri_boliviensis_boliviensis
ENSODEP00000026341	ENSODEG00000019755	Octodon_degus
ENSECRP00000028168	ENSECRG00000019066	Erpetoichthys_calabaricus
ENSPMGP00000020293	ENSPMGG00000016429	Periophthalmus_magnuspinnatus
ENSMUGP00000017062	ENSMUGG00000014565	Meriones_unguiculatus
ENSSHAP00000013491	ENSSHAG00000011531	Sarcophilus_harrisii
ENSMUSP00000122623	ENSMUSG00000004996	Mus_musculus_strain_reference_(CL57BL6)
ENSCANP00000039080	ENSCANG00000043216	Colobus_angolensis_palliatus
ENSHHUP00000035793	ENSHHUG00000022505	Hucho_hucho
ENSAMXP00005020405	ENSAMXG00005010563	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSHGLP00000015351	ENSHGLG00000010969	Heterocephalus_glaber_HetGla_female_1.0
ENSCAPP00000015339	ENSCAPG00000015487	Cavia_aperea
ENSHBUP00000032374	ENSHBUG00000018620	Haplochromis_burtoni
ENSORLP00020023984	ENSORLG00020005135	Oryzias_latipes_ASM223471v1
ENSODEP00000013646	ENSODEG00000010083	Octodon_degus
ENSSLDP00000016273	ENSSLDG00000012900	Seriola_lalandi_dorsalis
ENSAPOP00000007669	ENSAPOG00000009673	Acanthochromis_polyacanthus
ENSPEMP00000004058	ENSPEMG00000006105	Peromyscus_maniculatus_bairdii
ENSCCAP00000002339	ENSCCAG00000014292	Cebus_capucinus_imitator
ENSCABP00000005504	ENSCABG00000004149	Chelonoidis_abingdonii
ENSCVAP00000019801	ENSCVAG00000023215	Cyprinodon_variegatus
ENSNGAP00000023585	ENSNGAG00000022102	Nannospalax_galili
ENSUAMP00000019472	ENSUAMG00000015405	Ursus_americanus
ENSONIP00000022356	ENSONIG00000017732	Oreochromis_niloticus
ENSPRNP00000020820	ENSPRNG00000010819	Parambassis_ranga
ENSCSEP00000017787	ENSCSEG00000011410	Cynoglossus_semilaevis
ENSGAGP00000013656	ENSGAGG00000010411	Gopherus_agassizii
ENSPNYP00000001954	ENSPNYG00000001542	Pundamilia_nyererei
ENSJJAP00000016172	ENSJJAG00000018104	Jaculus_jaculus
ENSSMRP00000002018	ENSSMRG00000001749	Salvator_merianae
ENSPFOP00000004241	ENSPFOG00000004311	Poecilia_formosa
ENSCAFP00000024457	ENSCAFG00000016615	Canis_lupus_familiaris
ENSMMOP00000028278	ENSMMOG00000021373	Mola_mola
ENSCAFP00020008229	ENSCAFG00020006659	Canis_lupus_dingo
ENSSMAP00000007510	ENSSMAG00000004636	Scophthalmus_maximus
ENSOPRP00000014131	ENSOPRG00000015475	Ochotona_princeps
ENSMLEP00000021868	ENSMLEG00000035138	Mandrillus_leucophaeus
ENSGMOP00000002414	ENSGMOG00000002273	Gadus_morhua
C01G10.9.2	WBGene00007236	Caenorhabditis_elegans_strain_N2
ENSPSMP00000001494	ENSPSMG00000001122	Prolemur_simus
ENSBBBP00000024474	ENSBBBG00000019433	Bison_bison_bison
ENSOCUP00000019050	ENSOCUG00000024840	Oryctolagus_cuniculus
ENSFCAP00000052602	ENSFCAG00000051535	Felis_catus
ENSORLP00000014923	ENSORLG00000011911	Oryzias_latipes_ASM223467v1
FBpp0085169	FBgn0039849	Drosophila_melanogaster
ENSVURP00010031635	ENSVURG00010024173	Vombatus_ursinus
ENSOGAP00000006430	ENSOGAG00000007183	Otolemur_garnettii
ENSRROP00000013925	ENSRROG00000031188	Rhinopithecus_roxellana
ENSEASP00005000094	ENSEASG00005000151	Equus_asinus_asinus
ENSRNOP00000003762	ENSRNOG00000026211	Rattus_norvegicus
ENSIPUP00000012882	ENSIPUG00000008756	Ictalurus_punctatus
ENSNBRP00000031286	ENSNBRG00000023766	Neolamprologus_brichardi
ENSAMXP00000012316	ENSAMXG00000011982	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSORLP00015002995	ENSORLG00015003701	Oryzias_latipes_ASM223469v1
ENSANAP00000005648	ENSANAG00000020896	Aotus_nancymaae
ENSBIXP00000025201	ENSBIXG00000027321	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPTIP00000002133	ENSPTIG00000005216	Panthera_tigris_altaica
ENSLACP00000007729	ENSLACG00000006845	Latimeria_chalumnae
ENSLSDP00000017872	ENSLSDG00000012770	Lonchura_striata_domestica
ENSPPYP00000011835	ENSPPYG00000010570	Pongo_abelii
ENSMFAP00000025510	ENSMFAG00000044250	Macaca_fascicularis
ENSSSCP00000062272	ENSSSCG00000013756	Sus_scrofa_strain_reference
ENSOPRP00000008100	ENSOPRG00000008859	Ochotona_princeps
ENSMLUP00000004333	ENSMLUG00000004766	Myotis_lucifugus
ENSMAMP00000017270	ENSMAMG00000011686	Mastacembelus_armatus
