ENSCJPP00005025251	ENSCJPG00005019834	Coturnix_japonica
ENSNMEP00000005712	ENSNMEG00000005907	Numida_meleagris
ENSAOWP00000015811	ENSAOWG00000010761	Apteryx_owenii
ENSAHAP00000023147	ENSAHAG00000016177	Apteryx_haastii
ENSMVIP00005006078	ENSMVIG00005004646	Manacus_vitellinus
ENSLCOP00000020541	ENSLCOG00000014540	Lepidothrix_coronata
ENSCPUP00000006929	ENSCPUG00000005009	Calidris_pugnax
ENSABRP00000027519	ENSABRG00000022904	Anser_brachyrhynchus
ENSGALP00000067125	ENSGALG00000051635	Gallus_gallus
ENSZALP00000009766	ENSZALG00000008335	Zonotrichia_albicollis
ENSCPGP00000004940	ENSCPGG00000003553	Calidris_pygmaea
ENSDNVP00000027517	ENSDNVG00000019119	Dromaius_novaehollandiae
ENSARWP00000027497	ENSARWG00000018583	Apteryx_rowi
ENSSCAP00000008811	ENSSCAG00000006701	Serinus_canaria
ENSLSDP00000022497	ENSLSDG00000015902	Lonchura_striata_domestica
ENSPMJP00000012593	ENSPMJG00000009673	Parus_major
ENSCCEP00000027617	ENSCCEG00000024097	Cyanistes_caeruleus
ENSJHYP00000015862	ENSJHYG00000012175	Junco_hyemalis
ENSNPEP00000005379	ENSNPEG00000004077	Nothoprocta_perdicaria
ENSCPRP00005019703	ENSCPRG00005013734	Crocodylus_porosus
