ENSAPEP00000027246	ENSAPEG00000019374	Amphiprion_percula
ENSAOCP00000026702	ENSAOCG00000015090	Amphiprion_ocellaris
ENSAPOP00000013862	ENSAPOG00000016676	Acanthochromis_polyacanthus
ENSAPOP00000033677	ENSAPOG00000022375	Acanthochromis_polyacanthus
ENSAPOP00000028337	ENSAPOG00000013505	Acanthochromis_polyacanthus
ENSSPAP00000005466	ENSSPAG00000004245	Stegastes_partitus
ENSPRNP00000015225	ENSPRNG00000008205	Parambassis_ranga
ENSPNYP00000024776	ENSPNYG00000018716	Pundamilia_nyererei
ENSHBUP00000003860	ENSHBUG00000005133	Haplochromis_burtoni
ENSACLP00000022783	ENSACLG00000015477	Astatotilapia_calliptera
ENSMZEP00005030508	ENSMZEG00005022731	Maylandia_zebra
ENSONIP00000005146	ENSONIG00000004083	Oreochromis_niloticus
ENSNBRP00000014754	ENSNBRG00000011424	Neolamprologus_brichardi
ENSLCAP00010000739	ENSLCAG00010000464	Lates_calcarifer
ENSCSEP00000032913	ENSCSEG00000021134	Cynoglossus_semilaevis
ENSCGOP00000025775	ENSCGOG00000012167	Cottoperca_gobio
ENSSLDP00000002398	ENSSLDG00000001945	Seriola_lalandi_dorsalis
ENSSDUP00000027564	ENSSDUG00000019945	Seriola_dumerili
ENSLBEP00000011513	ENSLBEG00000008866	Labrus_bergylta
ENSSMAP00000006838	ENSSMAG00000004223	Scophthalmus_maximus
ENSGACP00000003251	ENSGACG00000002495	Gasterosteus_aculeatus
ENSORLP00000001041	ENSORLG00000000851	Oryzias_latipes_ASM223467v1
ENSORLP00015017682	ENSORLG00015018718	Oryzias_latipes_ASM223469v1
ENSORLP00020023140	ENSORLG00020003801	Oryzias_latipes_ASM223471v1
ENSOMEP00000034253	ENSOMEG00000020776	Oryzias_melastigma
ENSMAMP00000016881	ENSMAMG00000011435	Mastacembelus_armatus
ENSPLAP00000027950	ENSPLAG00000016938	Poecilia_latipinna
ENSPMEP00000000601	ENSPMEG00000001394	Poecilia_mexicana
ENSPREP00000010466	ENSPREG00000007142	Poecilia_reticulata
ENSPFOP00000001253	ENSPFOG00000001315	Poecilia_formosa
ENSXMAP00000030109	ENSXMAG00000025586	Xiphophorus_maculatus
ENSXCOP00000007226	ENSXCOG00000005586	Xiphophorus_couchianus
ENSGAFP00000004416	ENSGAFG00000003011	Gambusia_affinis
ENSFHEP00000017035	ENSFHEG00000018746	Fundulus_heteroclitus
ENSCVAP00000002222	ENSCVAG00000003290	Cyprinodon_variegatus
ENSKMAP00000007661	ENSKMAG00000005761	Kryptolebias_marmoratus
ENSGWIP00000012781	ENSGWIG00000007383	Gouania_willdenowi
ENSACIP00000022843	ENSACIG00000017766	Amphilophus_citrinellus
ENSLCRP00005030015	ENSLCRG00005011922	Larimichthys_crocea
ENSLCRP00005039424	ENSLCRG00005015263	Larimichthys_crocea
ENSHCOP00000020928	ENSHCOG00000007348	Hippocampus_comes
ENSATEP00000004901	ENSATEG00000003425	Anabas_testudineus
ENSBSLP00000021433	ENSBSLG00000011073	Betta_splendens
ENSTRUP00000044521	ENSTRUG00000017382	Takifugu_rubripes
ENSMMOP00000025090	ENSMMOG00000019052	Mola_mola
