ENSGAGP00000008528	ENSGAGG00000006773	Gopherus_agassizii	ENSGAGT00000009815
ENSCABP00000011988	ENSCABG00000008955	Chelonoidis_abingdonii	ENSCABT00000013137
ENSCABP00000011982	ENSCABG00000008950	Chelonoidis_abingdonii
ENSGAGP00000007883	ENSGAGG00000006277	Gopherus_agassizii
ENSCPBP00000035088	ENSCPBG00000024453	Chrysemys_picta_bellii
ENSABRP00000004916	ENSABRG00000004539	Anser_brachyrhynchus
ENSAPLP00000020320	ENSAPLG00000005644	Anas_platyrhynchos_platyrhynchos
ENSGALP00000058546	ENSGALG00000008340	Gallus_gallus
ENSMGAP00000010870	ENSMGAG00000010444	Meleagris_gallopavo
ENSNMEP00000010463	ENSNMEG00000009893	Numida_meleagris
ENSTGUP00000010444	ENSTGUG00000010113	Taeniopygia_guttata
ENSLSDP00000014115	ENSLSDG00000010172	Lonchura_striata_domestica
ENSSCAP00000019917	ENSSCAG00000014381	Serinus_canaria
ENSZALP00000009849	ENSZALG00000008391	Zonotrichia_albicollis
ENSPMJP00000015881	ENSPMJG00000012027	Parus_major
ENSCCEP00000004503	ENSCCEG00000004963	Cyanistes_caeruleus
ENSFALP00000011673	ENSFALG00000011187	Ficedula_albicollis
ENSMVIP00005009180	ENSMVIG00005006756	Manacus_vitellinus
ENSLCOP00000008085	ENSLCOG00000005927	Lepidothrix_coronata
ENSMUNP00000000511	ENSMUNG00000000483	Melopsittacus_undulatus
ENSCPUP00000013855	ENSCPUG00000009477	Calidris_pugnax
ENSCPGP00000003121	ENSCPGG00000002303	Calidris_pygmaea
ENSAOWP00000011982	ENSAOWG00000008209	Apteryx_owenii
ENSARWP00000025842	ENSARWG00000017556	Apteryx_rowi
ENSAHAP00000003354	ENSAHAG00000002652	Apteryx_haastii
ENSDNVP00000011640	ENSDNVG00000008169	Dromaius_novaehollandiae
ENSNPEP00000013202	ENSNPEG00000009847	Nothoprocta_perdicaria
ENSAHAP00000006641	ENSAHAG00000004992	Apteryx_haastii
ENSMUNP00000000498	ENSMUNG00000000474	Melopsittacus_undulatus
ENSNSUP00000028347	ENSNSUG00000020199	Notechis_scutatus
ENSACAP00000004424	ENSACAG00000004439	Anolis_carolinensis
ENSSMRP00000025332	ENSSMRG00000019453	Salvator_merianae
ENSPVIP00000010612	ENSPVIG00000008181	Pogona_vitticeps
ENSSPUP00000005908	ENSSPUG00000004518	Sphenodon_punctatus
ENSSPUP00000013186	ENSSPUG00000010163	Sphenodon_punctatus
ENSEASP00005009391	ENSEASG00005006705	Equus_asinus_asinus
ENSECAP00000002114	ENSECAG00000000836	Equus_caballus
ENSPVAP00000014781	ENSPVAG00000015675	Pteropus_vampyrus
ENSCHIP00000017223	ENSCHIG00000017144	Capra_hircus
ENSOARP00000013556	ENSOARG00000012648	Ovis_aries
ENSBIXP00000031764	ENSBIXG00000014184	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005014818	ENSBIXG00005000057	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000003828	ENSBTAG00000002941	Bos_taurus
ENSBMUP00000009986	ENSBMUG00000007557	Bos_mutus
ENSBBBP00000015933	ENSBBBG00000006199	Bison_bison_bison
ENSTTRP00000007468	ENSTTRG00000007893	Tursiops_truncatus
ENSSSCP00000001988	ENSSSCG00000001818	Sus_scrofa_strain_reference
ENSVPAP00000010388	ENSVPAG00000011154	Vicugna_pacos
ENSAMEP00000014543	ENSAMEG00000013803	Ailuropoda_melanoleuca
ENSUAMP00000026387	ENSUAMG00000020354	Ursus_americanus
ENSMPUP00000015552	ENSMPUG00000015662	Mustela_putorius_furo
ENSNVIP00000021488	ENSNVIG00000016604	Neovison_vison
ENSCAFP00000018167	ENSCAFG00000012298	Canis_lupus_familiaris
ENSCAFP00020020383	ENSCAFG00020016150	Canis_lupus_dingo
ENSVVUP00000008580	ENSVVUG00000006439	Vulpes_vulpes
ENSPPRP00000013216	ENSPPRG00000006609	Panthera_pardus
ENSPTIP00000019890	ENSPTIG00000017453	Panthera_tigris_altaica
ENSFCAP00000053376	ENSFCAG00000006093	Felis_catus
ENSMSIP00000019478	ENSMSIG00000016522	Mus_spicilegus
ENSMUSP00000079733	ENSMUSG00000053158	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0083726	MGP_SPRETEiJ_G0031007	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0080377	MGP_CAROLIEiJ_G0029905	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0017226	MGP_PahariEiJ_G0013127	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000016032	ENSRNOG00000011683	Rattus_norvegicus
ENSMUGP00000011422	ENSMUGG00000010001	Meriones_unguiculatus
ENSMUGP00000011982	ENSMUGG00000010469	Meriones_unguiculatus
ENSCGRP00000006795	ENSCGRG00000004957	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001025547	ENSCGRG00001023097	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015003481	ENSCGRG00015002771	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000021775	ENSMAUG00000019394	Mesocricetus_auratus
ENSMOCP00000017353	ENSMOCG00000015972	Microtus_ochrogaster
ENSPEMP00000005329	ENSPEMG00000007790	Peromyscus_maniculatus_bairdii
ENSNGAP00000019773	ENSNGAG00000019478	Nannospalax_galili
ENSJJAP00000025041	ENSJJAG00000024339	Jaculus_jaculus
ENSCCNP00000015350	ENSCCNG00000015727	Castor_canadensis
ENSUPAP00010019063	ENSUPAG00010015082	Urocitellus_parryii
ENSSTOP00000013282	ENSSTOG00000014829	Ictidomys_tridecemlineatus
ENSMMMP00000021930	ENSMMMG00000019275	Marmota_marmota_marmota
ENSSDAP00000004064	ENSSDAG00000003691	Spermophilus_dauricus
ENSHGLP00000017659	ENSHGLG00000012635	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100017375	ENSHGLG00100012815	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000006436	ENSFDAG00000015197	Fukomys_damarensis
ENSCLAP00000013608	ENSCLAG00000009402	Chinchilla_lanigera
ENSODEP00000020656	ENSODEG00000015233	Octodon_degus
ENSCAPP00000006060	ENSCAPG00000008257	Cavia_aperea
ENSCAPP00000016847	ENSCAPG00000016662	Cavia_aperea
ENSCPOP00000019646	ENSCPOG00000026159	Cavia_porcellus
ENSOPRP00000010725	ENSOPRG00000011743	Ochotona_princeps
ENSTBEP00000005304	ENSTBEG00000006149	Tupaia_belangeri
ENSPPYP00000007696	ENSPPYG00000006786	Pongo_abelii
ENSNLEP00000014821	ENSNLEG00000012157	Nomascus_leucogenys
ENSPPAP00000024390	ENSPPAG00000035301	Pan_paniscus
ENSPTRP00000012756	ENSPTRG00000007462	Pan_troglodytes
ENSGGOP00000038384	ENSGGOG00000008174	Gorilla_gorilla
ENSP00000331504	ENSG00000182511	Homo_sapiens
ENSPANP00000013383	ENSPANG00000020549	Papio_anubis
ENSMLEP00000009067	ENSMLEG00000028597	Mandrillus_leucophaeus
ENSMFAP00000028754	ENSMFAG00000045460	Macaca_fascicularis
ENSMNEP00000038590	ENSMNEG00000042107	Macaca_nemestrina
ENSMMUP00000050695	ENSMMUG00000004659	Macaca_mulatta
ENSTGEP00000007348	ENSTGEG00000005987	Theropithecus_gelada
ENSCSAP00000013094	ENSCSAG00000017051	Chlorocebus_sabaeus
ENSRBIP00000021524	ENSRBIG00000034697	Rhinopithecus_bieti
ENSRROP00000035424	ENSRROG00000041148	Rhinopithecus_roxellana
ENSCANP00000036257	ENSCANG00000041772	Colobus_angolensis_palliatus
ENSCATP00000014929	ENSCATG00000031329	Cercocebus_atys
ENSPTEP00000032469	ENSPTEG00000031194	Piliocolobus_tephrosceles
ENSGGOP00000044715	ENSGGOG00000036760	Gorilla_gorilla
ENSSBOP00000027776	ENSSBOG00000030210	Saimiri_boliviensis_boliviensis
ENSCCAP00000036188	ENSCCAG00000035985	Cebus_capucinus_imitator
ENSCJAP00000017941	ENSCJAG00000009738	Callithrix_jacchus
ENSANAP00000039272	ENSANAG00000037025	Aotus_nancymaae
ENSTSYP00000020035	ENSTSYG00000002133	Carlito_syrichta
ENSPSMP00000016843	ENSPSMG00000011933	Prolemur_simus
ENSPCOP00000031373	ENSPCOG00000028454	Propithecus_coquereli
ENSMICP00000041710	ENSMICG00000015372	Microcebus_murinus
ENSOGAP00000005114	ENSOGAG00000005721	Otolemur_garnettii
ENSOCUP00000033537	ENSOCUG00000002188	Oryctolagus_cuniculus
ENSDORP00000013217	ENSDORG00000014057	Dipodomys_ordii
ENSUMAP00000012079	ENSUMAG00000009012	Ursus_maritimus
ENSLAFP00000005014	ENSLAFG00000005977	Loxodonta_africana
ENSPCAP00000003344	ENSPCAG00000003560	Procavia_capensis
ENSETEP00000013372	ENSETEG00000016481	Echinops_telfairi
ENSCHOP00000000780	ENSCHOG00000000873	Choloepus_hoffmanni
ENSDNOP00000026625	ENSDNOG00000049658	Dasypus_novemcinctus
ENSSARP00000010449	ENSSARG00000011565	Sorex_araneus
ENSEEUP00000006961	ENSEEUG00000007616	Erinaceus_europaeus
ENSPCIP00000007902	ENSPCIG00000006595	Phascolarctos_cinereus
ENSVURP00010008619	ENSVURG00010006572	Vombatus_ursinus
ENSMEUP00000006310	ENSMEUG00000006910	Notamacropus_eugenii
ENSSHAP00000011056	ENSSHAG00000009523	Sarcophilus_harrisii
ENSMODP00000024272	ENSMODG00000019456	Monodelphis_domestica
ENSOANP00000020847	ENSOANG00000013195	Ornithorhynchus_anatinus
ENSXETP00000014411	ENSXETG00000000328	Xenopus_tropicalis
ENSLACP00000017834	ENSLACG00000015709	Latimeria_chalumnae
ENSSFOP00015029143	ENSSFOG00015018721	Scleropages_formosus
ENSPKIP00000035979	ENSPKIG00000014722	Paramormyrops_kingsleyae
ENSAMXP00000015640	ENSAMXG00000015161	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005041383	ENSAMXG00005019025	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000007569	ENSPNAG00000002715	Pygocentrus_nattereri
ENSIPUP00000033899	ENSIPUG00000022771	Ictalurus_punctatus
ENSEEEP00000033252	ENSEEEG00000015797	Electrophorus_electricus
ENSDARP00000124270	ENSDARG00000011449	Danio_rerio
ENSCHAP00000026866	ENSCHAG00000012848	Clupea_harengus
ENSDCDP00000058051	ENSDCDG00000033785	Denticeps_clupeoides
ENSDCDP00000016233	ENSDCDG00000013245	Denticeps_clupeoides
ENSSDUP00000027115	ENSSDUG00000019609	Seriola_dumerili
ENSSLDP00000024416	ENSSLDG00000018961	Seriola_lalandi_dorsalis
ENSLCAP00010006113	ENSLCAG00010002898	Lates_calcarifer
ENSSMAP00000001416	ENSSMAG00000000911	Scophthalmus_maximus
ENSCGOP00000043991	ENSCGOG00000019657	Cottoperca_gobio
ENSGACP00000021012	ENSGACG00000015919	Gasterosteus_aculeatus
ENSLBEP00000031416	ENSLBEG00000023709	Labrus_bergylta
ENSMALP00000001882	ENSMALG00000001331	Monopterus_albus
ENSMAMP00000030806	ENSMAMG00000020766	Mastacembelus_armatus
ENSATEP00000002028	ENSATEG00000001453	Anabas_testudineus
ENSAPEP00000020116	ENSAPEG00000014314	Amphiprion_percula
ENSAOCP00000000383	ENSAOCG00000003243	Amphiprion_ocellaris
ENSAPOP00000027270	ENSAPOG00000011641	Acanthochromis_polyacanthus
ENSSPAP00000012587	ENSSPAG00000009555	Stegastes_partitus
ENSPRNP00000056973	ENSPRNG00000026583	Parambassis_ranga
ENSXCOP00000015292	ENSXCOG00000011572	Xiphophorus_couchianus
ENSXMAP00000014061	ENSXMAG00000014011	Xiphophorus_maculatus
ENSGAFP00000001071	ENSGAFG00000000764	Gambusia_affinis
ENSPMEP00000011422	ENSPMEG00000013491	Poecilia_mexicana
ENSPFOP00000030092	ENSPFOG00000017969	Poecilia_formosa
ENSPLAP00000012423	ENSPLAG00000015718	Poecilia_latipinna
ENSPREP00000002766	ENSPREG00000002028	Poecilia_reticulata
ENSCVAP00000031476	ENSCVAG00000020886	Cyprinodon_variegatus
ENSORLP00000011554	ENSORLG00000009210	Oryzias_latipes_ASM223467v1
ENSORLP00020025121	ENSORLG00020006889	Oryzias_latipes_ASM223471v1
ENSORLP00015024264	ENSORLG00015004719	Oryzias_latipes_ASM223469v1
ENSOMEP00000022892	ENSOMEG00000002720	Oryzias_melastigma
ENSGWIP00000055108	ENSGWIG00000026239	Gouania_willdenowi
ENSMZEP00005017111	ENSMZEG00005012855	Maylandia_zebra
ENSACLP00000007627	ENSACLG00000005169	Astatotilapia_calliptera
ENSHBUP00000013810	ENSHBUG00000015619	Haplochromis_burtoni
ENSNBRP00000011222	ENSNBRG00000008719	Neolamprologus_brichardi
ENSPNYP00000020223	ENSPNYG00000015286	Pundamilia_nyererei
ENSONIP00000007165	ENSONIG00000005687	Oreochromis_niloticus
ENSACIP00000004952	ENSACIG00000003777	Amphilophus_citrinellus
ENSCSEP00000009513	ENSCSEG00000006107	Cynoglossus_semilaevis
ENSHCOP00000003470	ENSHCOG00000004878	Hippocampus_comes
ENSPMGP00000002786	ENSPMGG00000002419	Periophthalmus_magnuspinnatus
ENSGMOP00000000721	ENSGMOG00000000712	Gadus_morhua
ENSHHUP00000032814	ENSHHUG00000020551	Hucho_hucho
ENSHHUP00000002321	ENSHHUG00000001401	Hucho_hucho
