ENSMZEP00005014244	ENSMZEG00005010728	Maylandia_zebra	ENSMZET00005014720
ENSNBRP00000029837	ENSNBRG00000022708	Neolamprologus_brichardi	ENSNBRT00000030600
ENSACLP00000029214	ENSACLG00000019811	Astatotilapia_calliptera	ENSACLT00000029901
ENSPREP00000011219	ENSPREG00000007654	Poecilia_reticulata	ENSPRET00000011346
ENSXMAP00000041333	ENSXMAG00000026384	Xiphophorus_maculatus	ENSXMAT00000032103
ENSPKIP00000008256	ENSPKIG00000023823	Paramormyrops_kingsleyae	ENSPKIT00000032330
ENSAPOP00000026795	ENSAPOG00000010880	Acanthochromis_polyacanthus	ENSAPOT00000002810
ENSATEP00000023780	ENSATEG00000016494	Anabas_testudineus	ENSATET00000024163
ENSORLP00000042226	ENSORLG00000026944	Oryzias_latipes_ASM223467v1	ENSORLT00000035308
ENSPNYP00000025888	ENSPNYG00000019535	Pundamilia_nyererei	ENSPNYT00000026525
ENSPLAP00000003652	ENSPLAG00000005188	Poecilia_latipinna	ENSPLAT00000010980
ENSTRUP00000053843	ENSTRUG00000019547	Takifugu_rubripes	ENSTRUT00000057207
ENSPMEP00000006503	ENSPMEG00000008016	Poecilia_mexicana	ENSPMET00000005709
ENSGWIP00000022371	ENSGWIG00000011988	Gouania_willdenowi	ENSGWIT00000024512
ENSFHEP00000024777	ENSFHEG00000006572	Fundulus_heteroclitus	ENSFHET00000006916
