ENSXMAP00000006323	ENSXMAG00000006311	Xiphophorus_maculatus
ENSCINP00000014834	ENSCING00000007234	Ciona_intestinalis
ENSSLDP00000025388	ENSSLDG00000019642	Seriola_lalandi_dorsalis
ENSTRUP00000049116	ENSTRUG00000025968	Takifugu_rubripes
ENSHGLP00000006774	ENSHGLG00000004945	Heterocephalus_glaber_HetGla_female_1.0
ENSPNYP00000028920	ENSPNYG00000021786	Pundamilia_nyererei
ENSMGAP00000003230	ENSMGAG00000003509	Meleagris_gallopavo
ENSLAFP00000012623	ENSLAFG00000015073	Loxodonta_africana
ENSXETP00000008540	ENSXETG00000006901	Xenopus_tropicalis	ENSXETT00000020152
ENSCCAP00000017623	ENSCCAG00000026618	Cebus_capucinus_imitator
ENSDORP00000024400	ENSDORG00000024383	Dipodomys_ordii
ENSECRP00000011494	ENSECRG00000007651	Erpetoichthys_calabaricus
ENSMOCP00000000278	ENSMOCG00000000235	Microtus_ochrogaster
ENSPTEP00000020954	ENSPTEG00000022101	Piliocolobus_tephrosceles
ENSVPAP00000004258	ENSVPAG00000004587	Vicugna_pacos
ENSCSAP00000006988	ENSCSAG00000010765	Chlorocebus_sabaeus
ENSTNIP00000009953	ENSTNIG00000007152	Tetraodon_nigroviridis
ENSP00000480514	ENSG00000143183	Homo_sapiens
ENSLCAP00010015944	ENSLCAG00010007601	Lates_calcarifer
ENSMAUP00000015361	ENSMAUG00000014853	Mesocricetus_auratus
ENSNSUP00000023964	ENSNSUG00000017346	Notechis_scutatus
ENSETEP00000007627	ENSETEG00000009382	Echinops_telfairi
ENSPMGP00000019159	ENSPMGG00000015571	Periophthalmus_magnuspinnatus
ENSCCEP00000007924	ENSCCEG00000008248	Cyanistes_caeruleus
ENSSTOP00000007263	ENSSTOG00000008110	Ictidomys_tridecemlineatus
ENSCJPP00005027695	ENSCJPG00005021433	Coturnix_japonica
ENSTTRP00000000462	ENSTTRG00000000495	Tursiops_truncatus
ENSVURP00010003293	ENSVURG00010002648	Vombatus_ursinus
ENSGACP00000005120	ENSGACG00000003901	Gasterosteus_aculeatus
ENSORLP00015019136	ENSORLG00015020223	Oryzias_latipes_ASM223469v1
ENSHGLP00000006240	ENSHGLG00000004555	Heterocephalus_glaber_HetGla_female_1.0
ENSGALP00000058606	ENSGALG00000033460	Gallus_gallus
ENSODEP00000008393	ENSODEG00000006261	Octodon_degus
ENSCMIP00000045780	ENSCMIG00000018863	Callorhinchus_milii	ENSCMIT00000046433
ENSIPUP00000002913	ENSIPUG00000002081	Ictalurus_punctatus
ENSRNOP00000074404	ENSRNOG00000003928	Rattus_norvegicus
ENSLBEP00000001247	ENSLBEG00000000997	Labrus_bergylta
ENSFALP00000008304	ENSFALG00000007966	Ficedula_albicollis
ENSHGLP00100001951	ENSHGLG00100001524	Heterocephalus_glaber_HetGla_1.0
ENSXCOP00000005779	ENSXCOG00000004390	Xiphophorus_couchianus
ENSMSIP00000021800	ENSMSIG00000018533	Mus_spicilegus
ENSMFAP00000032789	ENSMFAG00000002927	Macaca_fascicularis
ENSGWIP00000008034	ENSGWIG00000004719	Gouania_willdenowi
ENSGAGP00000018117	ENSGAGG00000013421	Gopherus_agassizii	ENSGAGT00000020654
ENSACIP00000019886	ENSACIG00000015268	Amphilophus_citrinellus
ENSRROP00000019890	ENSRROG00000033909	Rhinopithecus_roxellana
ENSPTIP00000024025	ENSPTIG00000020270	Panthera_tigris_altaica
ENSCPUP00000029833	ENSCPUG00000019975	Calidris_pugnax
ENSFCAP00000024147	ENSFCAG00000029341	Felis_catus
ENSCHAP00000046417	ENSCHAG00000021442	Clupea_harengus
ENSHBUP00000027688	ENSHBUG00000011037	Haplochromis_burtoni
ENSLSDP00000013213	ENSLSDG00000009615	Lonchura_striata_domestica
ENSHHUP00000013239	ENSHHUG00000008072	Hucho_hucho
ENSDCDP00000012301	ENSDCDG00000007619	Denticeps_clupeoides
ENSOCUP00000032607	ENSOCUG00000008441	Oryctolagus_cuniculus
ENSANAP00000007861	ENSANAG00000021952	Aotus_nancymaae
ENSOMEP00000022178	ENSOMEG00000001589	Oryzias_melastigma
ENSTGEP00000011196	ENSTGEG00000009158	Theropithecus_gelada
ENSPMEP00000000926	ENSPMEG00000001779	Poecilia_mexicana
