ENSOCUP00000019623	ENSOCUG00000026212	Oryctolagus_cuniculus
ENSOPRP00000002452	ENSOPRG00000002666	Ochotona_princeps
ENSTBEP00000003735	ENSTBEG00000004330	Tupaia_belangeri
ENSTTRP00000016084	ENSTTRG00000016967	Tursiops_truncatus
ENSEEUP00000008552	ENSEEUG00000009384	Erinaceus_europaeus
ENSVVUP00000024322	ENSVVUG00000017819	Vulpes_vulpes
ENSUAMP00000034954	ENSUAMG00000026555	Ursus_americanus
ENSPTIP00000018075	ENSPTIG00000016318	Panthera_tigris_altaica
ENSPVAP00000011092	ENSPVAG00000011766	Pteropus_vampyrus
ENSETEP00000000070	ENSETEG00000000093	Echinops_telfairi
ENSPTRP00000082007	ENSPTRG00000047576	Pan_troglodytes	ENSPTRT00000084740
ENSPPAP00000028589	ENSPPAG00000037324	Pan_paniscus	ENSPPAT00000051437
ENSP00000471299	ENSG00000269313	Homo_sapiens
ENSGGOP00000008828	ENSGGOG00000009033	Gorilla_gorilla
ENSPPYP00000022764	ENSPPYG00000020335	Pongo_abelii
ENSNLEP00000033328	ENSNLEG00000001349	Nomascus_leucogenys
ENSCANP00000021144	ENSCANG00000034007	Colobus_angolensis_palliatus
ENSPTEP00000013125	ENSPTEG00000014727	Piliocolobus_tephrosceles
ENSRROP00000043322	ENSRROG00000044725	Rhinopithecus_roxellana
ENSRBIP00000032681	ENSRBIG00000040127	Rhinopithecus_bieti
ENSCATP00000015351	ENSCATG00000031631	Cercocebus_atys
ENSMLEP00000024749	ENSMLEG00000036554	Mandrillus_leucophaeus
ENSMNEP00000010618	ENSMNEG00000029713	Macaca_nemestrina
ENSMFAP00000021641	ENSMFAG00000035726	Macaca_fascicularis
ENSMMUP00000041076	ENSMMUG00000023021	Macaca_mulatta
ENSTGEP00000002553	ENSTGEG00000002217	Theropithecus_gelada
ENSPANP00000003890	ENSPANG00000012032	Papio_anubis
ENSCSAP00000009073	ENSCSAG00000012916	Chlorocebus_sabaeus
ENSCCAP00000000315	ENSCCAG00000001395	Cebus_capucinus_imitator
ENSSBOP00000036764	ENSSBOG00000034505	Saimiri_boliviensis_boliviensis
ENSCJAP00000068568	ENSCJAG00000002679	Callithrix_jacchus
ENSANAP00000041495	ENSANAG00000038043	Aotus_nancymaae
ENSTSYP00000022374	ENSTSYG00000030669	Carlito_syrichta
ENSPSMP00000018282	ENSPSMG00000012973	Prolemur_simus
ENSMICP00000038957	ENSMICG00000029530	Microcebus_murinus
ENSPCOP00000022405	ENSPCOG00000023292	Propithecus_coquereli
ENSOGAP00000005653	ENSOGAG00000006325	Otolemur_garnettii
