FBpp0311904	FBgn0066304	Drosophila_melanogaster
Y62E10A.24.1	WBGene00302968	Caenorhabditis_elegans_strain_N2
MGP_PahariEiJ_P0059795	MGP_PahariEiJ_G0024462	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000017106	ENSMUGG00000014597	Meriones_unguiculatus
ENSMAUP00000016789	ENSMAUG00000015820	Mesocricetus_auratus
ENSCGRP00015013186	ENSCGRG00015010130	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001008284	ENSCGRG00001010593	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000026846	ENSCGRG00000019940	Cricetulus_griseus_CriGri_1.0
ENSMOCP00000014090	ENSMOCG00000013694	Microtus_ochrogaster
ENSPEMP00000010673	ENSPEMG00000011583	Peromyscus_maniculatus_bairdii
ENSMSIP00000009726	ENSMSIG00000008543	Mus_spicilegus
MGP_SPRETEiJ_P0074322	MGP_SPRETEiJ_G0028881	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000106664	ENSMUSG00000029715	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0071506	MGP_CAROLIEiJ_G0027876	Mus_caroli_strain_CAROLI_EIJ
ENSRNOP00000001913	ENSRNOG00000025310	Rattus_norvegicus
ENSNGAP00000022914	ENSNGAG00000021630	Nannospalax_galili
ENSJJAP00000002355	ENSJJAG00000003989	Jaculus_jaculus
ENSDORP00000011764	ENSDORG00000012512	Dipodomys_ordii
ENSOCUP00000006754	ENSOCUG00000007818	Oryctolagus_cuniculus
ENSOPRP00000013855	ENSOPRG00000015185	Ochotona_princeps
ENSTSYP00000014359	ENSTSYG00000035016	Carlito_syrichta
ENSCAFP00000033048	ENSCAFG00000014205	Canis_lupus_familiaris
ENSCAFP00020017310	ENSCAFG00020013863	Canis_lupus_dingo
ENSVVUP00000032353	ENSVVUG00000023472	Vulpes_vulpes
ENSMPUP00000019637	ENSMPUG00000019765	Mustela_putorius_furo
ENSNVIP00000001792	ENSNVIG00000001460	Neovison_vison
ENSUMAP00000014802	ENSUMAG00000010895	Ursus_maritimus
ENSUAMP00000037088	ENSUAMG00000028076	Ursus_americanus
ENSPTIP00000002897	ENSPTIG00000005807	Panthera_tigris_altaica
ENSPPRP00000027180	ENSPPRG00000018408	Panthera_pardus
ENSFCAP00000006358	ENSFCAG00000006849	Felis_catus
ENSECAP00000008240	ENSECAG00000010383	Equus_caballus
