ENSIPUP00000033525	ENSIPUG00000022509	Ictalurus_punctatus
ENSEEEP00000032981	ENSEEEG00000015693	Electrophorus_electricus
ENSAMXP00005055894	ENSAMXG00005024813	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000017887	ENSAMXG00000017367	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00000017852	ENSAMXG00000017336	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000016240	ENSPNAG00000022454	Pygocentrus_nattereri
ENSDARP00000074898	ENSDARG00000013871	Danio_rerio
ENSCHAP00000032843	ENSCHAG00000013934	Clupea_harengus	ENSCHAT00000035597
ENSDCDP00000006962	ENSDCDG00000003533	Denticeps_clupeoides	ENSDCDT00000007771
ENSBSLP00000031218	ENSBSLG00000015126	Betta_splendens
ENSBSLP00000034254	ENSBSLG00000015951	Betta_splendens
ENSATEP00000026671	ENSATEG00000017774	Anabas_testudineus
ENSMAMP00000014321	ENSMAMG00000009728	Mastacembelus_armatus
ENSGACP00000022808	ENSGACG00000017262	Gasterosteus_aculeatus
ENSGACP00000022789	ENSGACG00000017252	Gasterosteus_aculeatus
ENSCGOP00000039052	ENSCGOG00000017841	Cottoperca_gobio
ENSSLDP00000020383	ENSSLDG00000015946	Seriola_lalandi_dorsalis
ENSSDUP00000022855	ENSSDUG00000016608	Seriola_dumerili
ENSSMAP00000033131	ENSSMAG00000020292	Scophthalmus_maximus
ENSLCAP00010004996	ENSLCAG00010002397	Lates_calcarifer
ENSPREP00000014868	ENSPREG00000010034	Poecilia_reticulata
ENSPLAP00000001968	ENSPLAG00000003131	Poecilia_latipinna
ENSPREP00000014826	ENSPREG00000010019	Poecilia_reticulata
ENSPMEP00000003544	ENSPMEG00000004724	Poecilia_mexicana
ENSPFOP00000003027	ENSPFOG00000003013	Poecilia_formosa
ENSPREP00000014337	ENSPREG00000009698	Poecilia_reticulata
ENSPREP00000014695	ENSPREG00000009765	Poecilia_reticulata
ENSPMEP00000006044	ENSPMEG00000007496	Poecilia_mexicana
ENSPLAP00000007512	ENSPLAG00000009909	Poecilia_latipinna
ENSPFOP00000000163	ENSPFOG00000000178	Poecilia_formosa
ENSPFOP00000019845	ENSPFOG00000019719	Poecilia_formosa
ENSPLAP00000007552	ENSPLAG00000009938	Poecilia_latipinna
ENSPMEP00000023261	ENSPMEG00000004849	Poecilia_mexicana
ENSPREP00000014886	ENSPREG00000010055	Poecilia_reticulata
ENSXMAP00000038597	ENSXMAG00000025904	Xiphophorus_maculatus
ENSXMAP00000003714	ENSXMAG00000003695	Xiphophorus_maculatus
ENSXCOP00000017113	ENSXCOG00000012899	Xiphophorus_couchianus
ENSGAFP00000011788	ENSGAFG00000007984	Gambusia_affinis
ENSCVAP00000023671	ENSCVAG00000007229	Cyprinodon_variegatus
ENSFHEP00000020399	ENSFHEG00000022368	Fundulus_heteroclitus
ENSPFOP00000019846	ENSPFOG00000019720	Poecilia_formosa
ENSPMEP00000022510	ENSPMEG00000003762	Poecilia_mexicana
ENSPLAP00000031462	ENSPLAG00000023501	Poecilia_latipinna
ENSPREP00000014931	ENSPREG00000010069	Poecilia_reticulata
ENSXMAP00000021670	ENSXMAG00000030103	Xiphophorus_maculatus
ENSXCOP00000006669	ENSXCOG00000005159	Xiphophorus_couchianus
ENSGAFP00000011804	ENSGAFG00000007999	Gambusia_affinis
ENSFHEP00000034613	ENSFHEG00000022416	Fundulus_heteroclitus
ENSCVAP00000005656	ENSCVAG00000007111	Cyprinodon_variegatus
ENSPLAP00000006487	ENSPLAG00000009818	Poecilia_latipinna
ENSPFOP00000025128	ENSPFOG00000022361	Poecilia_formosa
ENSPMEP00000022713	ENSPMEG00000004635	Poecilia_mexicana
ENSCVAP00000005701	ENSCVAG00000007162	Cyprinodon_variegatus
ENSKMAP00000013515	ENSKMAG00000010111	Kryptolebias_marmoratus
ENSORLP00000012141	ENSORLG00000009679	Oryzias_latipes_ASM223467v1
ENSORLP00015001631	ENSORLG00015002257	Oryzias_latipes_ASM223469v1
ENSORLP00020013108	ENSORLG00020014531	Oryzias_latipes_ASM223471v1
ENSOMEP00000000762	ENSOMEG00000001665	Oryzias_melastigma
ENSORLP00015022688	ENSORLG00015002225	Oryzias_latipes_ASM223469v1
