ENSAMEP00000000839	ENSAMEG00000000760	Ailuropoda_melanoleuca
ENSSCAP00000021586	ENSSCAG00000015467	Serinus_canaria
ENSSSCP00000032013	ENSSSCG00000003627	Sus_scrofa_strain_reference
ENSMUGP00000028032	ENSMUGG00000023287	Meriones_unguiculatus
ENSEEUP00000005001	ENSEEUG00000005401	Erinaceus_europaeus
ENSCPGP00000000993	ENSCPGG00000000333	Calidris_pygmaea
ENSCCEP00000020702	ENSCCEG00000018805	Cyanistes_caeruleus
ENSPTEP00000019136	ENSPTEG00000020506	Piliocolobus_tephrosceles
ENSMEUP00000004449	ENSMEUG00000004838	Notamacropus_eugenii
ENSDNVP00000019157	ENSDNVG00000013416	Dromaius_novaehollandiae	ENSDNVT00000023092
ENSRBIP00000024379	ENSRBIG00000036089	Rhinopithecus_bieti
ENSSTOP00000029432	ENSSTOG00000001750	Ictidomys_tridecemlineatus
ENSAOWP00000014147	ENSAOWG00000009642	Apteryx_owenii	ENSAOWT00000016051
ENSEASP00005017356	ENSEASG00005012020	Equus_asinus_asinus
ENSNMEP00000006232	ENSNMEG00000006415	Numida_meleagris
ENSLSDP00000021039	ENSLSDG00000014885	Lonchura_striata_domestica
ENSMLEP00000038703	ENSMLEG00000043391	Mandrillus_leucophaeus
ENSCLAP00000013367	ENSCLAG00000009236	Chinchilla_lanigera
ENSPPAP00000016869	ENSPPAG00000031498	Pan_paniscus
ENSSDAP00000014481	ENSSDAG00000013024	Spermophilus_dauricus
ENSMFAP00000019422	ENSMFAG00000032709	Macaca_fascicularis
ENSMMUP00000026035	ENSMMUG00000019793	Macaca_mulatta
ENSDORP00000009681	ENSDORG00000010296	Dipodomys_ordii
ENSBTAP00000062143	ENSBTAG00000021023	Bos_taurus
ENSGALP00000003933	ENSGALG00000002499	Gallus_gallus
ENSSMRP00000014996	ENSSMRG00000011677	Salvator_merianae
ENSCPUP00000027483	ENSCPUG00000018513	Calidris_pugnax
ENSCABP00000009583	ENSCABG00000006744	Chelonoidis_abingdonii
ENSGGOP00000038667	ENSGGOG00000012150	Gorilla_gorilla
ENSCMIP00000017315	ENSCMIG00000008235	Callorhinchus_milii
ENSCSAP00000016930	ENSCSAG00000001083	Chlorocebus_sabaeus
ENSCHOP00000010460	ENSCHOG00000011819	Choloepus_hoffmanni
ENSLCOP00000012814	ENSLCOG00000009235	Lepidothrix_coronata
ENSOGAP00000015241	ENSOGAG00000017019	Otolemur_garnettii
ENSMPUP00000014813	ENSMPUG00000014924	Mustela_putorius_furo
ENSPSMP00000030388	ENSPSMG00000021040	Prolemur_simus
ENSNPEP00000010596	ENSNPEG00000007956	Nothoprocta_perdicaria	ENSNPET00000010872
ENSVVUP00000000914	ENSVVUG00000000796	Vulpes_vulpes
ENSPPRP00000022851	ENSPPRG00000013260	Panthera_pardus
ENSPSIP00000012706	ENSPSIG00000011439	Pelodiscus_sinensis
ENSPVAP00000001762	ENSPVAG00000001866	Pteropus_vampyrus
ENSCJAP00000002640	ENSCJAG00000001447	Callithrix_jacchus
MGP_PahariEiJ_P0079546	MGP_PahariEiJ_G0028817	Mus_pahari_strain_PAHARI_EIJ
ENSLACP00000023501	ENSLACG00000014949	Latimeria_chalumnae
MGP_CAROLIEiJ_P0064454	MGP_CAROLIEiJ_G0026486	Mus_caroli_strain_CAROLI_EIJ
ENSUMAP00000010660	ENSUMAG00000007600	Ursus_maritimus
ENSCCAP00000038887	ENSCCAG00000037293	Cebus_capucinus_imitator
ENSRROP00000037759	ENSRROG00000042249	Rhinopithecus_roxellana
ENSANAP00000029323	ENSANAG00000032379	Aotus_nancymaae
ENSAHAP00000025640	ENSAHAG00000017866	Apteryx_haastii	ENSAHAT00000028236
ENSMGAP00000003987	ENSMGAG00000004092	Meleagris_gallopavo
ENSMUGP00000031037	ENSMUGG00000025815	Meriones_unguiculatus
ENSSPUP00000001440	ENSSPUG00000001091	Sphenodon_punctatus
ENSOANP00000026253	ENSOANG00000020638	Ornithorhynchus_anatinus
ENSMUNP00000009305	ENSMUNG00000007360	Melopsittacus_undulatus
ENSPCAP00000007149	ENSPCAG00000007563	Procavia_capensis
ENSSFOP00015036767	ENSSFOG00015023380	Scleropages_formosus
ENSCPRP00005000044	ENSCPRG00005000067	Crocodylus_porosus
ENSFDAP00000013538	ENSFDAG00000000247	Fukomys_damarensis
ENSNSUP00000027607	ENSNSUG00000019714	Notechis_scutatus
ENSCGRP00015009854	ENSCGRG00015007584	Cricetulus_griseus_CriGri-PICR
ENSODEP00000007981	ENSODEG00000005948	Octodon_degus
ENSOCUP00000011329	ENSOCUG00000013149	Oryctolagus_cuniculus
ENSMOCP00000000708	ENSMOCG00000000547	Microtus_ochrogaster
ENSFALP00000000756	ENSFALG00000000734	Ficedula_albicollis
ENSCGRP00001027121	ENSCGRG00001024188	Cricetulus_griseus_CHOK1GS_HDv1
ENSPCOP00000013881	ENSPCOG00000018590	Propithecus_coquereli
ENSMLUP00000003663	ENSMLUG00000004018	Myotis_lucifugus
ENSSFOP00015014381	ENSSFOG00015009224	Scleropages_formosus
ENSOARP00000020915	ENSOARG00000019470	Ovis_aries
ENSZALP00000014266	ENSZALG00000011837	Zonotrichia_albicollis
ENSBIXP00000022817	ENSBIXG00000025611	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPANP00000038159	ENSPANG00000011410	Papio_anubis
ENSJJAP00000007577	ENSJJAG00000011913	Jaculus_jaculus
ENSCAFP00020013237	ENSCAFG00020009999	Canis_lupus_dingo
ENSNGAP00000004005	ENSNGAG00000004986	Nannospalax_galili
ENSCPOP00000007493	ENSCPOG00000008336	Cavia_porcellus
ENSPTRP00000000917	ENSPTRG00000000519	Pan_troglodytes
