FBpp0309184	FBgn0034225	Drosophila_melanogaster	FBtr0340209
FBpp0086084	FBgn0050104	Drosophila_melanogaster	FBtr0086928
FBpp0086085	FBgn0050103	Drosophila_melanogaster	FBtr0086929
FBpp0304658	FBgn0259101	Drosophila_melanogaster	FBtr0332384
ENSSARP00000005320	ENSSARG00000005885	Sorex_araneus
ENSEEUP00000006113	ENSEEUG00000006715	Erinaceus_europaeus
ENSUAMP00000013702	ENSUAMG00000011009	Ursus_americanus
ENSUMAP00000027750	ENSUMAG00000020149	Ursus_maritimus
ENSAMEP00000016718	ENSAMEG00000015830	Ailuropoda_melanoleuca
ENSNVIP00000004177	ENSNVIG00000003338	Neovison_vison
ENSMPUP00000005299	ENSMPUG00000005337	Mustela_putorius_furo
ENSCAFP00020019955	ENSCAFG00020015834	Canis_lupus_dingo
ENSCAFP00000004456	ENSCAFG00000002994	Canis_lupus_familiaris
ENSVVUP00000026818	ENSVVUG00000019703	Vulpes_vulpes
ENSPTIP00000025712	ENSPTIG00000021372	Panthera_tigris_altaica
ENSPPRP00000024641	ENSPPRG00000014851	Panthera_pardus
ENSFCAP00000060576	ENSFCAG00000006909	Felis_catus
ENSSSCP00000030955	ENSSSCG00000004291	Sus_scrofa_strain_reference
ENSVPAP00000000975	ENSVPAG00000001059	Vicugna_pacos
ENSOARP00000014235	ENSOARG00000013284	Ovis_aries
ENSCHIP00000007021	ENSCHIG00000010651	Capra_hircus
ENSBIXP00000012335	ENSBIXG00000002915	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005046809	ENSBIXG00005031507	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000071808	ENSBTAG00000048655	Bos_taurus
ENSBMUP00000015193	ENSBMUG00000011523	Bos_mutus
ENSBBBP00000026119	ENSBBBG00000021770	Bison_bison_bison
ENSTTRP00000004209	ENSTTRG00000004464	Tursiops_truncatus
ENSECAP00000007576	ENSECAG00000009420	Equus_caballus
ENSEASP00005007686	ENSEASG00005005609	Equus_asinus_asinus
ENSPVAP00000011196	ENSPVAG00000011881	Pteropus_vampyrus
ENSMLUP00000008746	ENSMLUG00000009581	Myotis_lucifugus
ENSTSYP00000027810	ENSTSYG00000031106	Carlito_syrichta
ENSEASP00005007682	ENSEASG00005005608	Equus_asinus_asinus
ENSDNOP00000026845	ENSDNOG00000049197	Dasypus_novemcinctus
ENSPSMP00000034689	ENSPSMG00000023886	Prolemur_simus
ENSPCOP00000028340	ENSPCOG00000026779	Propithecus_coquereli
ENSMICP00000031225	ENSMICG00000007170	Microcebus_murinus
ENSOGAP00000004488	ENSOGAG00000005022	Otolemur_garnettii
ENSPTRP00000031424	ENSPTRG00000018391	Pan_troglodytes
ENSPPAP00000024090	ENSPPAG00000035188	Pan_paniscus
ENSP00000257770	ENSG00000135318	Homo_sapiens
