ENSCLAP00000024473	ENSCLAG00000016803	Chinchilla_lanigera
ENSGAGP00000001972	ENSGAGG00000001592	Gopherus_agassizii	ENSGAGT00000002245
ENSSDUP00000000761	ENSSDUG00000000650	Seriola_dumerili
ENSLCAP00010046225	ENSLCAG00010021444	Lates_calcarifer
ENSBIXP00000011998	ENSBIXG00000007084	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSORLP00000013959	ENSORLG00000011128	Oryzias_latipes_ASM223467v1
ENSCAFP00000008658	ENSCAFG00000005792	Canis_lupus_familiaris
ENSBIXP00005042150	ENSBIXG00005025513	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSNBRP00000017166	ENSNBRG00000013252	Neolamprologus_brichardi
ENSACLP00000011519	ENSACLG00000007885	Astatotilapia_calliptera
ENSAPOP00000026907	ENSAPOG00000011050	Acanthochromis_polyacanthus
ENSPPYP00000004167	ENSPPYG00000003644	Pongo_abelii
ENSFHEP00000031745	ENSFHEG00000017834	Fundulus_heteroclitus
ENSAMXP00000051292	ENSAMXG00000032266	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000025072	ENSPNAG00000009975	Pygocentrus_nattereri
ENSMLUP00000012839	ENSMLUG00000014114	Myotis_lucifugus
MGP_SPRETEiJ_P0084425	MGP_SPRETEiJ_G0031183	Mus_spretus_strain_SPRET/EiJ
ENSATEP00000009460	ENSATEG00000006642	Anabas_testudineus
ENSHGLP00000012989	ENSHGLG00000009288	Heterocephalus_glaber_HetGla_female_1.0
ENSPTIP00000021417	ENSPTIG00000018565	Panthera_tigris_altaica
ENSORLP00020017347	ENSORLG00020018373	Oryzias_latipes_ASM223471v1
ENSCGRP00000003908	ENSCGRG00000002879	Cricetulus_griseus_CriGri_1.0
ENSMUSP00000077543	ENSMUSG00000064307	Mus_musculus_strain_reference_(CL57BL6)
ENSVPAP00000001082	ENSVPAG00000001173	Vicugna_pacos
ENSPTEP00000017972	ENSPTEG00000019444	Piliocolobus_tephrosceles	ENSPTET00000026434
ENSXMAP00000007852	ENSXMAG00000007825	Xiphophorus_maculatus
ENSATEP00000030497	ENSATEG00000021037	Anabas_testudineus
ENSMOCP00000010059	ENSMOCG00000010256	Microtus_ochrogaster
ENSSLDP00000026851	ENSSLDG00000020850	Seriola_lalandi_dorsalis
ENSONIP00000020716	ENSONIG00000016447	Oreochromis_niloticus
ENSLCRP00005052969	ENSLCRG00005019878	Larimichthys_crocea
ENSSMAP00000031858	ENSSMAG00000019521	Scophthalmus_maximus
ENSSTOP00000009748	ENSSTOG00000010863	Ictidomys_tridecemlineatus
ENSNSUP00000015284	ENSNSUG00000011285	Notechis_scutatus
ENSPEMP00000034738	ENSPEMG00000025332	Peromyscus_maniculatus_bairdii
ENSPRNP00000037563	ENSPRNG00000018713	Parambassis_ranga
ENSORLP00015000005	ENSORLG00015023316	Oryzias_latipes_ASM223469v1
ENSLOCP00000009531	ENSLOCG00000007850	Lepisosteus_oculatus
ENSPMGP00000025702	ENSPMGG00000020729	Periophthalmus_magnuspinnatus
ENSXMAP00000011167	ENSXMAG00000011147	Xiphophorus_maculatus
ENSHBUP00000004587	ENSHBUG00000005896	Haplochromis_burtoni
ENSCHAP00000028289	ENSCHAG00000013668	Clupea_harengus
ENSMPUP00000010240	ENSMPUG00000010315	Mustela_putorius_furo
ENSKMAP00000010069	ENSKMAG00000007563	Kryptolebias_marmoratus
ENSSDAP00000023465	ENSSDAG00000021359	Spermophilus_dauricus
ENSEEEP00000002988	ENSEEEG00000001702	Electrophorus_electricus
ENSAOCP00000027104	ENSAOCG00000015809	Amphiprion_ocellaris
ENSAMXP00005002860	ENSAMXG00005001718	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSACAP00000014178	ENSACAG00000014463	Anolis_carolinensis
ENSCCNP00000006696	ENSCCNG00000007072	Castor_canadensis
ENSGWIP00000025224	ENSGWIG00000013330	Gouania_willdenowi
ENSAPEP00000025384	ENSAPEG00000018035	Amphiprion_percula
ENSGMOP00000018810	ENSGMOG00000017511	Gadus_morhua
ENSLCAP00010057249	ENSLCAG00010026711	Lates_calcarifer
ENSKMAP00000027420	ENSKMAG00000020317	Kryptolebias_marmoratus
ENSUPAP00010024772	ENSUPAG00010019609	Urocitellus_parryii
ENSCHIP00000022139	ENSCHIG00000020218	Capra_hircus
MGP_PahariEiJ_P0017895	MGP_PahariEiJ_G0013293	Mus_pahari_strain_PAHARI_EIJ
ENSTBEP00000010350	ENSTBEG00000011970	Tupaia_belangeri
ENSBSLP00000022536	ENSBSLG00000011403	Betta_splendens
ENSPEMP00000006442	ENSPEMG00000008657	Peromyscus_maniculatus_bairdii
ENSNVIP00000026462	ENSNVIG00000020391	Neovison_vison
ENSPREP00000033681	ENSPREG00000022823	Poecilia_reticulata
ENSGACP00000010412	ENSGACG00000007856	Gasterosteus_aculeatus
ENSHBUP00000013788	ENSHBUG00000015584	Haplochromis_burtoni
ENSPSIP00000002393	ENSPSIG00000002362	Pelodiscus_sinensis
ENSMSIP00000034141	ENSMSIG00000028501	Mus_spicilegus
ENSIPUP00000003203	ENSIPUG00000002281	Ictalurus_punctatus
ENSSARP00000006709	ENSSARG00000007414	Sorex_araneus
ENSCPOP00000004596	ENSCPOG00000005109	Cavia_porcellus
ENSLCRP00005008692	ENSLCRG00005004142	Larimichthys_crocea
ENSEEUP00000003217	ENSEEUG00000003547	Erinaceus_europaeus
ENSECRP00000007287	ENSECRG00000004873	Erpetoichthys_calabaricus
ENSPFOP00000008413	ENSPFOG00000008470	Poecilia_formosa
