ENSIPUP00000001590	ENSIPUG00000001141	Ictalurus_punctatus
ENSEEEP00000004647	ENSEEEG00000002424	Electrophorus_electricus
ENSAMXP00005005422	ENSAMXG00005003344	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000030222	ENSAMXG00000032709	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000035866	ENSPNAG00000026160	Pygocentrus_nattereri
ENSDARP00000111797	ENSDARG00000091234	Danio_rerio
ENSDCDP00000026879	ENSDCDG00000019794	Denticeps_clupeoides
ENSDCDP00000017574	ENSDCDG00000014339	Denticeps_clupeoides
ENSLCRP00005019532	ENSLCRG00005007990	Larimichthys_crocea
ENSLBEP00000037800	ENSLBEG00000028217	Labrus_bergylta
ENSCGOP00000017284	ENSCGOG00000008281	Cottoperca_gobio
ENSMALP00000004075	ENSMALG00000002977	Monopterus_albus
ENSATEP00000029438	ENSATEG00000020316	Anabas_testudineus
ENSBSLP00000014823	ENSBSLG00000007731	Betta_splendens
ENSMAMP00000004075	ENSMAMG00000002769	Mastacembelus_armatus
ENSTRUP00000052968	ENSTRUG00000025549	Takifugu_rubripes
ENSLCAP00010036008	ENSLCAG00010016904	Lates_calcarifer
ENSCSEP00000001577	ENSCSEG00000001069	Cynoglossus_semilaevis
ENSSLDP00000027486	ENSSLDG00000021327	Seriola_lalandi_dorsalis
ENSSDUP00000029471	ENSSDUG00000021252	Seriola_dumerili
ENSAPEP00000010945	ENSAPEG00000007854	Amphiprion_percula
ENSAOCP00000028378	ENSAOCG00000017956	Amphiprion_ocellaris
ENSAPOP00000007152	ENSAPOG00000009071	Acanthochromis_polyacanthus
ENSAPOP00000025724	ENSAPOG00000009003	Acanthochromis_polyacanthus
ENSAPOP00000024835	ENSAPOG00000007538	Acanthochromis_polyacanthus
ENSSPAP00000023042	ENSSPAG00000017415	Stegastes_partitus
ENSACLP00000009127	ENSACLG00000006229	Astatotilapia_calliptera
ENSMZEP00005028889	ENSMZEG00005021548	Maylandia_zebra
ENSPNYP00000030015	ENSPNYG00000022634	Pundamilia_nyererei
ENSHBUP00000015974	ENSHBUG00000017907	Haplochromis_burtoni
ENSNBRP00000003580	ENSNBRG00000002870	Neolamprologus_brichardi
ENSONIP00000006078	ENSONIG00000004830	Oreochromis_niloticus
ENSACIP00000021765	ENSACIG00000016924	Amphilophus_citrinellus
ENSFHEP00000021702	ENSFHEG00000001620	Fundulus_heteroclitus
ENSCVAP00000004239	ENSCVAG00000005519	Cyprinodon_variegatus
ENSPFOP00000010135	ENSPFOG00000010185	Poecilia_formosa
ENSPLAP00000028558	ENSPLAG00000018033	Poecilia_latipinna
ENSPMEP00000005733	ENSPMEG00000007131	Poecilia_mexicana
ENSPREP00000018057	ENSPREG00000012223	Poecilia_reticulata
ENSXMAP00000028851	ENSXMAG00000024596	Xiphophorus_maculatus
ENSXCOP00000013891	ENSXCOG00000010519	Xiphophorus_couchianus
ENSGAFP00000007475	ENSGAFG00000005084	Gambusia_affinis
ENSORLP00020026840	ENSORLG00020009519	Oryzias_latipes_ASM223471v1
ENSORLP00015005634	ENSORLG00015006400	Oryzias_latipes_ASM223469v1
ENSORLP00000037078	ENSORLG00000029844	Oryzias_latipes_ASM223467v1
ENSOMEP00000028706	ENSOMEG00000011912	Oryzias_melastigma
ENSPRNP00000032742	ENSPRNG00000016515	Parambassis_ranga
ENSPRNP00000032744	ENSPRNG00000016519	Parambassis_ranga
ENSPMGP00000004866	ENSPMGG00000004115	Periophthalmus_magnuspinnatus
ENSGMOP00000015116	ENSGMOG00000014164	Gadus_morhua
ENSHHUP00000025817	ENSHHUG00000016299	Hucho_hucho
ENSHHUP00000014243	ENSHHUG00000008813	Hucho_hucho
ENSELUP00000019678	ENSELUG00000018979	Esox_lucius
ENSPKIP00000023550	ENSPKIG00000007139	Paramormyrops_kingsleyae
ENSLOCP00000016216	ENSLOCG00000013165	Lepisosteus_oculatus
ENSECRP00000015815	ENSECRG00000010551	Erpetoichthys_calabaricus
