ENSEEUP00000006763	ENSEEUG00000007435	Erinaceus_europaeus
ENSOCUP00000025195	ENSOCUG00000026031	Oryctolagus_cuniculus
ENSRNOP00000030640	ENSRNOG00000026488	Rattus_norvegicus	ENSRNOT00000029230
MGP_CAROLIEiJ_P0027844	MGP_CAROLIEiJ_G0016636	Mus_caroli_strain_CAROLI_EIJ	MGP_CAROLIEiJ_T0027844
ENSETEP00000007170	ENSETEG00000008824	Echinops_telfairi
ENSCATP00000038142	ENSCATG00000041775	Cercocebus_atys
ENSMNEP00000010958	ENSMNEG00000029868	Macaca_nemestrina
ENSHGLP00000009211	ENSHGLG00000006615	Heterocephalus_glaber_HetGla_female_1.0
ENSBIXP00000032082	ENSBIXG00000014553	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSOARP00000007576	ENSOARG00000007066	Ovis_aries
ENSMODP00000046553	ENSMODG00000043509	Monodelphis_domestica
ENSVVUP00000038572	ENSVVUG00000027504	Vulpes_vulpes
ENSHGLP00100021798	ENSHGLG00100016044	Heterocephalus_glaber_HetGla_1.0
ENSMUSP00000049732	ENSMUSG00000046811	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000057685
ENSODEP00000023593	ENSODEG00000017280	Octodon_degus
ENSOGAP00000010596	ENSOGAG00000011840	Otolemur_garnettii
ENSP00000328070	ENSG00000182327	Homo_sapiens
ENSTGEP00000023431	ENSTGEG00000018965	Theropithecus_gelada
ENSMPUP00000010745	ENSMPUG00000010833	Mustela_putorius_furo
ENSCGRP00000015847	ENSCGRG00000011501	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000022035	ENSMAUG00000019593	Mesocricetus_auratus
ENSRROP00000005422	ENSRROG00000022386	Rhinopithecus_roxellana
ENSPANP00000019545	ENSPANG00000024328	Papio_anubis
ENSECAP00000013986	ENSECAG00000016414	Equus_caballus
ENSCANP00000011397	ENSCANG00000029110	Colobus_angolensis_palliatus
ENSCAFP00020013794	ENSCAFG00020011157	Canis_lupus_dingo
ENSANAP00000005905	ENSANAG00000021029	Aotus_nancymaae
ENSPVAP00000003803	ENSPVAG00000004022	Pteropus_vampyrus
ENSPCIP00000022857	ENSPCIG00000036855	Phascolarctos_cinereus
ENSCCAP00000024510	ENSCCAG00000030059	Cebus_capucinus_imitator
ENSUAMP00000006182	ENSUAMG00000005439	Ursus_americanus
ENSCCNP00000033311	ENSCCNG00000031541	Castor_canadensis
ENSEASP00005026183	ENSEASG00005017849	Equus_asinus_asinus
ENSMFAP00000023710	ENSMFAG00000043494	Macaca_fascicularis
ENSTTRP00000000529	ENSTTRG00000000564	Tursiops_truncatus
ENSCPOP00000031272	ENSCPOG00000031799	Cavia_porcellus
ENSPCOP00000011961	ENSPCOG00000017516	Propithecus_coquereli
ENSSHAP00000002914	ENSSHAG00000002579	Sarcophilus_harrisii
ENSVURP00010002301	ENSVURG00010001894	Vombatus_ursinus
ENSOPRP00000014265	ENSOPRG00000015620	Ochotona_princeps
ENSBBBP00000005349	ENSBBBG00000003157	Bison_bison_bison
ENSAMEP00000016984	ENSAMEG00000016092	Ailuropoda_melanoleuca
