ENSDORP00000011385	ENSDORG00000012110	Dipodomys_ordii
ENSCGRP00000010517	ENSCGRG00000007721	Cricetulus_griseus_CriGri_1.0
ENSECRP00000017627	ENSECRG00000011770	Erpetoichthys_calabaricus
ENSHGLP00000003841	ENSHGLG00000002832	Heterocephalus_glaber_HetGla_female_1.0
ENSVPAP00000004152	ENSVPAG00000004472	Vicugna_pacos
ENSSMAP00000034645	ENSSMAG00000021183	Scophthalmus_maximus
MGP_PahariEiJ_P0047874	MGP_PahariEiJ_G0021686	Mus_pahari_strain_PAHARI_EIJ
ENSPMEP00000012127	ENSPMEG00000000308	Poecilia_mexicana
ENSORLP00015028972	ENSORLG00015011841	Oryzias_latipes_ASM223469v1
ENSNPEP00000014867	ENSNPEG00000011095	Nothoprocta_perdicaria
ENSMALP00000027656	ENSMALG00000019193	Monopterus_albus
ENSJHYP00000008138	ENSJHYG00000006475	Junco_hyemalis
ENSPCAP00000001356	ENSPCAG00000001470	Procavia_capensis
ENSCVAP00000030070	ENSCVAG00000018355	Cyprinodon_variegatus
ENSHBUP00000013603	ENSHBUG00000015418	Haplochromis_burtoni
ENSCANP00000006744	ENSCANG00000022455	Colobus_angolensis_palliatus
ENSMLUP00000012640	ENSMLUG00000013892	Myotis_lucifugus
ENSLSDP00000007726	ENSLSDG00000005803	Lonchura_striata_domestica
ENSCPGP00000013034	ENSCPGG00000009259	Calidris_pygmaea
ENSLCOP00000009520	ENSLCOG00000006930	Lepidothrix_coronata
ENSCPUP00000029326	ENSCPUG00000019646	Calidris_pugnax
ENSPREP00000016128	ENSPREG00000010887	Poecilia_reticulata
ENSNLEP00000006724	ENSNLEG00000005563	Nomascus_leucogenys
ENSTGEP00000013374	ENSTGEG00000010872	Theropithecus_gelada
ENSPPYP00000010862	ENSPPYG00000009692	Pongo_abelii
ENSPTEP00000035880	ENSPTEG00000033812	Piliocolobus_tephrosceles
ENSBBBP00000019297	ENSBBBG00000012572	Bison_bison_bison
ENSTTRP00000014233	ENSTTRG00000015013	Tursiops_truncatus
MGP_SPRETEiJ_P0088519	MGP_SPRETEiJ_G0032342	Mus_spretus_strain_SPRET/EiJ
ENSTGUP00000015087	ENSTGUG00000014726	Taeniopygia_guttata
