ENSCPOP00000019423	ENSCPOG00000024803	Cavia_porcellus
ENSMUGP00000018488	ENSMUGG00000015653	Meriones_unguiculatus
ENSCAPP00000000091	ENSCAPG00000000083	Cavia_aperea
ENSCCNP00000002138	ENSCCNG00000002352	Castor_canadensis
ENSMPUP00000000240	ENSMPUG00000000243	Mustela_putorius_furo
ENSPPAP00000002900	ENSPPAG00000012440	Pan_paniscus
ENSBBBP00000003980	ENSBBBG00000012834	Bison_bison_bison
ENSRNOP00000034322	ENSRNOG00000024917	Rattus_norvegicus
ENSLAFP00000015324	ENSLAFG00000018288	Loxodonta_africana
ENSUAMP00000008000	ENSUAMG00000006850	Ursus_americanus
ENSECAP00000006418	ENSECAG00000008300	Equus_caballus
ENSPTEP00000029500	ENSPTEG00000028890	Piliocolobus_tephrosceles
B0284.4.1	WBGene00007134	Caenorhabditis_elegans_strain_N2	B0284.4.1
ENSDNOP00000011313	ENSDNOG00000014593	Dasypus_novemcinctus
ENSVVUP00000025770	ENSVVUG00000018915	Vulpes_vulpes
B0284.1.1	WBGene00007131	Caenorhabditis_elegans_strain_N2	B0284.1.1
ENSTTRP00000008270	ENSTTRG00000008724	Tursiops_truncatus
ENSPVIP00000029822	ENSPVIG00000021964	Pogona_vitticeps
ENSMLEP00000020528	ENSMLEG00000034476	Mandrillus_leucophaeus
ENSJJAP00000000595	ENSJJAG00000000467	Jaculus_jaculus
ENSCGRP00000002633	ENSCGRG00000001922	Cricetulus_griseus_CriGri_1.0
ENSMMUP00000024136	ENSMMUG00000018356	Macaca_mulatta
ENSMMMP00000013850	ENSMMMG00000012333	Marmota_marmota_marmota
ENSGGOP00000031658	ENSGGOG00000000211	Gorilla_gorilla
ENSOCUP00000006168	ENSOCUG00000007135	Oryctolagus_cuniculus
ENSCSAP00000006993	ENSCSAG00000010769	Chlorocebus_sabaeus
ENSPPRP00000025274	ENSPPRG00000015567	Panthera_pardus
ENSPPYP00000014608	ENSPPYG00000013072	Pongo_abelii
ENSTBEP00000008316	ENSTBEG00000009602	Tupaia_belangeri
ENSCLAP00000019464	ENSCLAG00000013356	Chinchilla_lanigera
C17H1.4a.1	WBGene00007657	Caenorhabditis_elegans_strain_N2	C17H1.4a.1
ENSACAP00000001597	ENSACAG00000001656	Anolis_carolinensis
ENSVPAP00000006214	ENSVPAG00000006691	Vicugna_pacos
ENSPVAP00000003092	ENSPVAG00000003274	Pteropus_vampyrus
ENSBMUP00000022548	ENSBMUG00000016974	Bos_mutus
ENSTGEP00000036597	ENSTGEG00000029121	Theropithecus_gelada
ENSOPRP00000014045	ENSOPRG00000015371	Ochotona_princeps
ENSMLUP00000014164	ENSMLUG00000015546	Myotis_lucifugus
ENSP00000385098	ENSG00000155749	Homo_sapiens
ENSANAP00000021412	ENSANAG00000028497	Aotus_nancymaae
ENSMICP00000004088	ENSMICG00000004479	Microcebus_murinus
ENSXETP00000027512	ENSXETG00000009065	Xenopus_tropicalis
ENSCINP00000013645	ENSCING00000006656	Ciona_intestinalis
ENSCANP00000024412	ENSCANG00000035609	Colobus_angolensis_palliatus
ENSHGLP00100013590	ENSHGLG00100010048	Heterocephalus_glaber_HetGla_1.0
ENSSTOP00000005637	ENSSTOG00000006296	Ictidomys_tridecemlineatus
ENSMODP00000018975	ENSMODG00000015188	Monodelphis_domestica
ENSPTRP00000048872	ENSPTRG00000012803	Pan_troglodytes
Y26D4A.8.1	WBGene00012505	Caenorhabditis_elegans_strain_N2	Y26D4A.8.1
ENSLOCP00000013151	ENSLOCG00000010735	Lepisosteus_oculatus
ENSUMAP00000029793	ENSUMAG00000021573	Ursus_maritimus
ENSTSYP00000011600	ENSTSYG00000012640	Carlito_syrichta
C17H1.7.1	WBGene00007660	Caenorhabditis_elegans_strain_N2	C17H1.7.1
ENSCAFP00020004196	ENSCAFG00020003467	Canis_lupus_dingo
ENSAMEP00000006431	ENSAMEG00000006088	Ailuropoda_melanoleuca
ENSOARP00000018239	ENSOARG00000016986	Ovis_aries
ENSMFAP00000033664	ENSMFAG00000003322	Macaca_fascicularis
ENSPTIP00000014416	ENSPTIG00000013844	Panthera_tigris_altaica
ENSSSCP00000057797	ENSSSCG00000016105	Sus_scrofa_strain_reference
ENSCCAP00000018141	ENSCCAG00000026901	Cebus_capucinus_imitator
ENSCHOP00000001271	ENSCHOG00000001429	Choloepus_hoffmanni
ENSPCAP00000001633	ENSPCAG00000001712	Procavia_capensis
ENSNLEP00000008481	ENSNLEG00000006956	Nomascus_leucogenys
ENSBTAP00000016362	ENSBTAG00000012334	Bos_taurus
ENSPEMP00000027690	ENSPEMG00000023426	Peromyscus_maniculatus_bairdii
ENSPANP00000006255	ENSPANG00000015084	Papio_anubis
ENSRBIP00000019753	ENSRBIG00000033862	Rhinopithecus_bieti
ENSPSIP00000008924	ENSPSIG00000008105	Pelodiscus_sinensis
C17H1.6.1	WBGene00007659	Caenorhabditis_elegans_strain_N2	C17H1.6.1
ENSRROP00000013913	ENSRROG00000031175	Rhinopithecus_roxellana
ENSMOCP00000016641	ENSMOCG00000015479	Microtus_ochrogaster
ENSMNEP00000011409	ENSMNEG00000030040	Macaca_nemestrina
ENSETEP00000002494	ENSETEG00000003036	Echinops_telfairi
ENSSARP00000005652	ENSSARG00000006214	Sorex_araneus
ENSSDAP00000025744	ENSSDAG00000023368	Spermophilus_dauricus
ENSMUSP00000139420	ENSMUSG00000047528	Mus_musculus_strain_reference_(CL57BL6)
ENSBIXP00005046934	ENSBIXG00005031561	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000034183	ENSBIXG00000017113	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSBOP00000032089	ENSSBOG00000032227	Saimiri_boliviensis_boliviensis
ENSCAFP00000017958	ENSCAFG00000012188	Canis_lupus_familiaris
ENSMAUP00000019936	ENSMAUG00000018077	Mesocricetus_auratus
ENSNGAP00000000872	ENSNGAG00000000655	Nannospalax_galili
ENSOGAP00000009610	ENSOGAG00000010736	Otolemur_garnettii
ENSCHIP00000025140	ENSCHIG00000022026	Capra_hircus
ENSNVIP00000010713	ENSNVIG00000008480	Neovison_vison
ENSCSAVP00000016023	ENSCSAVG00000009438	Ciona_savignyi
ENSUPAP00010018507	ENSUPAG00010014658	Urocitellus_parryii
ENSEEUP00000010369	ENSEEUG00000011368	Erinaceus_europaeus
ENSHGLP00000010324	ENSHGLG00000007412	Heterocephalus_glaber_HetGla_female_1.0
ENSCGRP00001019163	ENSCGRG00001018682	Cricetulus_griseus_CHOK1GS_HDv1
ENSPCOP00000023081	ENSPCOG00000023669	Propithecus_coquereli
ENSCJAP00000008274	ENSCJAG00000004558	Callithrix_jacchus
B0284.2.1	WBGene00007132	Caenorhabditis_elegans_strain_N2	B0284.2.1
ENSPSMP00000026790	ENSPSMG00000018772	Prolemur_simus
ENSCPBP00000015856	ENSCPBG00000011709	Chrysemys_picta_bellii
ENSCATP00000014536	ENSCATG00000031292	Cercocebus_atys
ENSPCIP00000025382	ENSPCIG00000019085	Phascolarctos_cinereus
ENSCGRP00015038550	ENSCGRG00015028817	Cricetulus_griseus_CriGri-PICR
ENSFCAP00000004200	ENSFCAG00000004546	Felis_catus
