ENSAPOP00000001284	ENSAPOG00000002636	Acanthochromis_polyacanthus
ENSSPAP00000000804	ENSSPAG00000000633	Stegastes_partitus
ENSACIP00000014635	ENSACIG00000011336	Amphilophus_citrinellus
ENSPMEP00000015035	ENSPMEG00000017532	Poecilia_mexicana
ENSPLAP00000015540	ENSPLAG00000019503	Poecilia_latipinna
ENSPMGP00000022577	ENSPMGG00000018274	Periophthalmus_magnuspinnatus
ENSSLDP00000007810	ENSSLDG00000006165	Seriola_lalandi_dorsalis
ENSMMOP00000013167	ENSMMOG00000010103	Mola_mola
ENSSMAP00000011076	ENSSMAG00000006823	Scophthalmus_maximus
ENSPMGP00000022579	ENSPMGG00000018275	Periophthalmus_magnuspinnatus
ENSGWIP00000016465	ENSGWIG00000009231	Gouania_willdenowi
ENSGWIP00000006625	ENSGWIG00000003847	Gouania_willdenowi
ENSNBRP00000010675	ENSNBRG00000008296	Neolamprologus_brichardi
ENSPFOP00000029102	ENSPFOG00000021668	Poecilia_formosa
ENSPREP00000021152	ENSPREG00000014293	Poecilia_reticulata
ENSXCOP00000007417	ENSXCOG00000005721	Xiphophorus_couchianus
ENSMALP00000008832	ENSMALG00000006289	Monopterus_albus
ENSCGOP00000031129	ENSCGOG00000014555	Cottoperca_gobio
ENSATEP00000007810	ENSATEG00000005472	Anabas_testudineus
ENSPNAP00000036854	ENSPNAG00000028038	Pygocentrus_nattereri
ENSLSDP00000012923	ENSLSDG00000009410	Lonchura_striata_domestica
ENSAPLP00000023897	ENSAPLG00000026897	Anas_platyrhynchos_platyrhynchos
ENSNSUP00000017171	ENSNSUG00000012641	Notechis_scutatus
ENSSBOP00000026433	ENSSBOG00000029654	Saimiri_boliviensis_boliviensis
ENSGGOP00000050590	ENSGGOG00000041142	Gorilla_gorilla
ENSCGRP00001002617	ENSCGRG00001002941	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000001030	ENSCGRG00000000805	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015021827	ENSCGRG00015016624	Cricetulus_griseus_CriGri-PICR
ENSMSIP00000017749	ENSMSIG00000015150	Mus_spicilegus
ENSNGAP00000021508	ENSNGAG00000020673	Nannospalax_galili
ENSSDAP00000024966	ENSSDAG00000022716	Spermophilus_dauricus
ENSPTRP00000055212	ENSPTRG00000032648	Pan_troglodytes
ENSVVUP00000042201	ENSVVUG00000029985	Vulpes_vulpes
ENSNVIP00000013626	ENSNVIG00000010714	Neovison_vison
ENSEASP00005025486	ENSEASG00005017355	Equus_asinus_asinus
ENSCJAP00000059313	ENSCJAG00000042332	Callithrix_jacchus
ENSSBOP00000033932	ENSSBOG00000033140	Saimiri_boliviensis_boliviensis
ENSANAP00000001458	ENSANAG00000012925	Aotus_nancymaae
ENSCSAP00000005066	ENSCSAG00000008809	Chlorocebus_sabaeus
ENSMFAP00000040895	ENSMFAG00000041207	Macaca_fascicularis
ENSPTEP00000038490	ENSPTEG00000035788	Piliocolobus_tephrosceles
ENSPTRP00000063875	ENSPTRG00000018999	Pan_troglodytes
ENSPPAP00000008431	ENSPPAG00000027450	Pan_paniscus
ENSGGOP00000032076	ENSGGOG00000040151	Gorilla_gorilla
ENSPPAP00000002169	ENSPPAG00000009775	Pan_paniscus
ENSNLEP00000025767	ENSNLEG00000028168	Nomascus_leucogenys
ENSPANP00000038677	ENSPANG00000033424	Papio_anubis
ENSMLEP00000016985	ENSMLEG00000032696	Mandrillus_leucophaeus
ENSCATP00000002569	ENSCATG00000011087	Cercocebus_atys
ENSMFAP00000042758	ENSMFAG00000040131	Macaca_fascicularis
ENSMNEP00000008857	ENSMNEG00000028907	Macaca_nemestrina
ENSRBIP00000010308	ENSRBIG00000029012	Rhinopithecus_bieti
ENSRROP00000011114	ENSRROG00000029925	Rhinopithecus_roxellana
ENSCANP00000004121	ENSCANG00000014659	Colobus_angolensis_palliatus
ENSPTEP00000003833	ENSPTEG00000004534	Piliocolobus_tephrosceles
ENSMICP00000006531	ENSMICG00000007173	Microcebus_murinus
ENSOGAP00000016307	ENSOGAG00000028625	Otolemur_garnettii
ENSSDAP00000009228	ENSSDAG00000008414	Spermophilus_dauricus
ENSSDAP00000002505	ENSSDAG00000002414	Spermophilus_dauricus
ENSSDAP00000001953	ENSSDAG00000001892	Spermophilus_dauricus
ENSHGLP00100026926	ENSHGLG00100019920	Heterocephalus_glaber_HetGla_1.0
ENSODEP00000014282	ENSODEG00000010565	Octodon_degus
ENSNVIP00000028202	ENSNVIG00000021790	Neovison_vison
ENSVVUP00000000469	ENSVVUG00000000428	Vulpes_vulpes
ENSPTIP00000003621	ENSPTIG00000006335	Panthera_tigris_altaica
ENSDNOP00000028166	ENSDNOG00000034369	Dasypus_novemcinctus
ENSNMEP00000021378	ENSNMEG00000018281	Numida_meleagris
ENSMNEP00000000052	ENSMNEG00000000150	Macaca_nemestrina	ENSMNET00000000145
ENSRBIP00000020228	ENSRBIG00000034108	Rhinopithecus_bieti
ENSANAP00000004635	ENSANAG00000020415	Aotus_nancymaae
MGP_SPRETEiJ_P0073660	MGP_SPRETEiJ_G0028763	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000006919	ENSMSIG00000006153	Mus_spicilegus
ENSMUGP00000023163	ENSMUGG00000019399	Meriones_unguiculatus
ENSMAUP00000002256	ENSMAUG00000001815	Mesocricetus_auratus
ENSJJAP00000008422	ENSJJAG00000012591	Jaculus_jaculus
ENSUMAP00000009735	ENSUMAG00000007365	Ursus_maritimus
ENSACIP00000014528	ENSACIG00000011068	Amphilophus_citrinellus
ENSGAFP00000020435	ENSGAFG00000013806	Gambusia_affinis
ENSNBRP00000020235	ENSNBRG00000015528	Neolamprologus_brichardi
ENSMZEP00005001919	ENSMZEG00005000385	Maylandia_zebra
ENSAPEP00000022154	ENSAPEG00000015663	Amphiprion_percula
ENSMAMP00000011048	ENSMAMG00000006742	Mastacembelus_armatus
ENSLCAP00010046672	ENSLCAG00010021625	Lates_calcarifer
ENSSFOP00015015992	ENSSFOG00015010317	Scleropages_formosus
ENSCHIP00000000668	ENSCHIG00000000471	Capra_hircus	ENSCHIT00000000695
ENSMODP00000047294	ENSMODG00000037189	Monodelphis_domestica	ENSMODT00000080898
ENSCMIP00000028897	ENSCMIG00000012522	Callorhinchus_milii
