ENSATEP00000010985	ENSATEG00000007648	Anabas_testudineus
ENSBSLP00000054053	ENSBSLG00000025348	Betta_splendens
ENSMAMP00000025703	ENSMAMG00000017225	Mastacembelus_armatus
ENSSDUP00000022089	ENSSDUG00000016025	Seriola_dumerili
ENSSLDP00000021563	ENSSLDG00000016816	Seriola_lalandi_dorsalis
ENSLCRP00005056128	ENSLCRG00005020897	Larimichthys_crocea
ENSCGOP00000052387	ENSCGOG00000022992	Cottoperca_gobio
ENSGACP00000012735	ENSGACG00000009651	Gasterosteus_aculeatus
ENSTRUP00000003848	ENSTRUG00000025392	Takifugu_rubripes	ENSTRUT00000003868
ENSTNIP00000002519	ENSTNIG00000013343	Tetraodon_nigroviridis	ENSTNIT00000000156
ENSLBEP00000029913	ENSLBEG00000022591	Labrus_bergylta
ENSAOCP00000003067	ENSAOCG00000000299	Amphiprion_ocellaris
ENSAPEP00000010105	ENSAPEG00000007210	Amphiprion_percula
ENSAPOP00000026479	ENSAPOG00000010315	Acanthochromis_polyacanthus
ENSAPOP00000032600	ENSAPOG00000020637	Acanthochromis_polyacanthus
ENSSPAP00000001321	ENSSPAG00000001026	Stegastes_partitus
ENSSPAP00000002782	ENSSPAG00000002120	Stegastes_partitus
ENSPRNP00000030580	ENSPRNG00000015097	Parambassis_ranga
ENSPNYP00000005262	ENSPNYG00000004075	Pundamilia_nyererei
ENSMZEP00005036852	ENSMZEG00005027463	Maylandia_zebra
ENSHBUP00000031409	ENSHBUG00000017157	Haplochromis_burtoni
ENSACLP00000025453	ENSACLG00000017270	Astatotilapia_calliptera
ENSNBRP00000021213	ENSNBRG00000016260	Neolamprologus_brichardi
ENSONIP00000000651	ENSONIG00000000510	Oreochromis_niloticus
ENSXCOP00000013023	ENSXCOG00000009863	Xiphophorus_couchianus
ENSXMAP00000024946	ENSXMAG00000020904	Xiphophorus_maculatus
ENSGAFP00000017496	ENSGAFG00000011826	Gambusia_affinis
ENSPMEP00000031067	ENSPMEG00000017948	Poecilia_mexicana
ENSPFOP00000030052	ENSPFOG00000023871	Poecilia_formosa
ENSPREP00000017152	ENSPREG00000011568	Poecilia_reticulata
ENSFHEP00000019025	ENSFHEG00000021013	Fundulus_heteroclitus
ENSCVAP00000016646	ENSCVAG00000019680	Cyprinodon_variegatus
ENSKMAP00000027849	ENSKMAG00000020633	Kryptolebias_marmoratus
ENSOMEP00000026524	ENSOMEG00000008468	Oryzias_melastigma
ENSORLP00015030570	ENSORLG00015014355	Oryzias_latipes_ASM223469v1
ENSGWIP00000033253	ENSGWIG00000017006	Gouania_willdenowi
ENSHCOP00000025910	ENSHCOG00000016434	Hippocampus_comes
ENSGMOP00000019651	ENSGMOG00000018253	Gadus_morhua
ENSHHUP00000037945	ENSHHUG00000023735	Hucho_hucho
ENSAMXP00000031632	ENSAMXG00000001375	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005010497	ENSAMXG00005005860	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000016309	ENSPNAG00000022434	Pygocentrus_nattereri
ENSDARP00000148584	ENSDARG00000108372	Danio_rerio
ENSCGOP00000041110	ENSCGOG00000018617	Cottoperca_gobio
ENSLBEP00000033793	ENSLBEG00000025425	Labrus_bergylta
ENSLCRP00005061258	ENSLCRG00005022537	Larimichthys_crocea
ENSSPAP00000006173	ENSSPAG00000004768	Stegastes_partitus
ENSPRNP00000047618	ENSPRNG00000022759	Parambassis_ranga
ENSXMAP00000030589	ENSXMAG00000019860	Xiphophorus_maculatus
ENSXCOP00000007234	ENSXCOG00000005593	Xiphophorus_couchianus
ENSPREP00000010094	ENSPREG00000006829	Poecilia_reticulata
ENSCVAP00000023451	ENSCVAG00000006802	Cyprinodon_variegatus
ENSOMEP00000028060	ENSOMEG00000010921	Oryzias_melastigma
ENSGWIP00000055378	ENSGWIG00000026345	Gouania_willdenowi
ENSMZEP00005002109	ENSMZEG00005001655	Maylandia_zebra
ENSACLP00000005718	ENSACLG00000003829	Astatotilapia_calliptera
ENSHBUP00000017367	ENSHBUG00000019483	Haplochromis_burtoni
ENSPNYP00000001965	ENSPNYG00000001515	Pundamilia_nyererei
ENSNBRP00000016863	ENSNBRG00000012997	Neolamprologus_brichardi
ENSONIP00000020171	ENSONIG00000016012	Oreochromis_niloticus
ENSACIP00000001343	ENSACIG00000001102	Amphilophus_citrinellus
ENSSLDP00000024855	ENSSLDG00000019370	Seriola_lalandi_dorsalis
ENSBSLP00000054751	ENSBSLG00000025603	Betta_splendens
ENSGALP00000070771	ENSGALG00000054797	Gallus_gallus
ENSPMAP00000003278	ENSPMAG00000003008	Petromyzon_marinus
