ENSCSEP00000002754	ENSCSEG00000001810	Cynoglossus_semilaevis
ENSSDUP00000033052	ENSSDUG00000023737	Seriola_dumerili	ENSSDUT00000033615
ENSBSLP00000018372	ENSBSLG00000009540	Betta_splendens
ENSSPAP00000005340	ENSSPAG00000004138	Stegastes_partitus
ENSPFOP00000003169	ENSPFOG00000003281	Poecilia_formosa	ENSPFOT00000003173
ENSTNIP00000015300	ENSTNIG00000012332	Tetraodon_nigroviridis
ENSMAMP00000019252	ENSMAMG00000012943	Mastacembelus_armatus
ENSHCOP00000022039	ENSHCOG00000009385	Hippocampus_comes
ENSLCRP00005018655	ENSLCRG00005007679	Larimichthys_crocea
ENSMALP00000032063	ENSMALG00000022104	Monopterus_albus
ENSLCAP00010046436	ENSLCAG00010021533	Lates_calcarifer
ENSLCAP00010046363	ENSLCAG00010021501	Lates_calcarifer
ENSNBRP00000028468	ENSNBRG00000021698	Neolamprologus_brichardi
ENSACLP00000037494	ENSACLG00000025380	Astatotilapia_calliptera
ENSONIP00000013763	ENSONIG00000010940	Oreochromis_niloticus
ENSPNYP00000031227	ENSPNYG00000023542	Pundamilia_nyererei
ENSACIP00000030366	ENSACIG00000023496	Amphilophus_citrinellus
ENSAPEP00000022772	ENSAPEG00000016229	Amphiprion_percula
ENSAOCP00000007868	ENSAOCG00000011749	Amphiprion_ocellaris
ENSAOCP00000024693	ENSAOCG00000011723	Amphiprion_ocellaris
ENSAPEP00000022757	ENSAPEG00000016203	Amphiprion_percula
ENSSPAP00000005267	ENSSPAG00000004087	Stegastes_partitus
ENSATEP00000001391	ENSATEG00000000713	Anabas_testudineus
ENSCGOP00000001163	ENSCGOG00000000699	Cottoperca_gobio
ENSLBEP00000005065	ENSLBEG00000003876	Labrus_bergylta
ENSORLP00020003624	ENSORLG00020004523	Oryzias_latipes_ASM223471v1
ENSOMEP00000029420	ENSOMEG00000013071	Oryzias_melastigma
ENSHHUP00000017561	ENSHHUG00000010937	Hucho_hucho
ENSIPUP00000028726	ENSIPUG00000019453	Ictalurus_punctatus
ENSLOCP00000009063	ENSLOCG00000007460	Lepisosteus_oculatus	ENSLOCT00000009074
ENSECRP00000017756	ENSECRG00000011856	Erpetoichthys_calabaricus	ENSECRT00000018106
ENSNSUP00000017000	ENSNSUG00000012530	Notechis_scutatus
ENSNSUP00000001421	ENSNSUG00000001229	Notechis_scutatus
ENSNSUP00000007673	ENSNSUG00000006028	Notechis_scutatus
ENSCPRP00005000244	ENSCPRG00005000234	Crocodylus_porosus
ENSPSIP00000006752	ENSPSIG00000006245	Pelodiscus_sinensis
ENSPSIP00000006093	ENSPSIG00000005654	Pelodiscus_sinensis
ENSMVIP00005022332	ENSMVIG00005015664	Manacus_vitellinus
ENSSMRP00000018698	ENSSMRG00000014553	Salvator_merianae
ENSGALP00000001779	ENSGALG00000001175	Gallus_gallus
ENSCJPP00005002534	ENSCJPG00005002796	Coturnix_japonica
ENSPEMP00000035656	ENSPEMG00000030533	Peromyscus_maniculatus_bairdii
ENSUPAP00010029536	ENSUPAG00010023240	Urocitellus_parryii
ENSOANP00000006187	ENSOANG00000003909	Ornithorhynchus_anatinus	ENSOANT00000006189
ENSSMRP00000018696	ENSSMRG00000014552	Salvator_merianae
ENSPPAP00000001856	ENSPPAG00000008531	Pan_paniscus
ENSOARP00000019783	ENSOARG00000018430	Ovis_aries
ENSJHYP00000021840	ENSJHYG00000016514	Junco_hyemalis
ENSCPGP00000005858	ENSCPGG00000004191	Calidris_pygmaea
ENSAPLP00000024516	ENSAPLG00000019231	Anas_platyrhynchos_platyrhynchos
ENSECRP00000017837	ENSECRG00000011907	Erpetoichthys_calabaricus
ENSAMXP00000002004	ENSAMXG00000001964	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005004768	ENSAMXG00005002969	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000029467	ENSAMXG00000042413	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSEEEP00000035952	ENSEEEG00000017100	Electrophorus_electricus
ENSDCDP00000017628	ENSDCDG00000014392	Denticeps_clupeoides
ENSCGOP00000045412	ENSCGOG00000020393	Cottoperca_gobio
ENSGACP00000021243	ENSGACG00000016104	Gasterosteus_aculeatus
ENSMMOP00000024268	ENSMMOG00000018460	Mola_mola
ENSMMOP00000024273	ENSMMOG00000018462	Mola_mola
ENSAPEP00000004865	ENSAPEG00000003509	Amphiprion_percula
ENSAPEP00000004847	ENSAPEG00000003493	Amphiprion_percula
ENSAOCP00000001196	ENSAOCG00000004126	Amphiprion_ocellaris
ENSHCOP00000017805	ENSHCOG00000001889	Hippocampus_comes
ENSPMEP00000012922	ENSPMEG00000000579	Poecilia_mexicana
ENSPFOP00000006599	ENSPFOG00000006658	Poecilia_formosa
ENSPLAP00000023632	ENSPLAG00000000535	Poecilia_latipinna
ENSXCOP00000020307	ENSXCOG00000015226	Xiphophorus_couchianus
ENSCVAP00000006674	ENSCVAG00000008271	Cyprinodon_variegatus
ENSKMAP00000006310	ENSKMAG00000004792	Kryptolebias_marmoratus
ENSACLP00000017262	ENSACLG00000011773	Astatotilapia_calliptera
ENSLCAP00010052530	ENSLCAG00010024453	Lates_calcarifer
ENSSMAP00000014680	ENSSMAG00000008973	Scophthalmus_maximus
ENSLBEP00000012418	ENSLBEG00000009549	Labrus_bergylta
ENSMAMP00000003049	ENSMAMG00000002096	Mastacembelus_armatus
ENSPREP00000008452	ENSPREG00000005775	Poecilia_reticulata
ENSGAFP00000012613	ENSGAFG00000008524	Gambusia_affinis
ENSCVAP00000006645	ENSCVAG00000008213	Cyprinodon_variegatus
ENSNBRP00000006642	ENSNBRG00000005242	Neolamprologus_brichardi
ENSAPOP00000029702	ENSAPOG00000015807	Acanthochromis_polyacanthus
ENSATEP00000030544	ENSATEG00000021091	Anabas_testudineus
ENSATEP00000030576	ENSATEG00000021111	Anabas_testudineus
ENSATEP00000030602	ENSATEG00000021133	Anabas_testudineus
ENSBSLP00000051169	ENSBSLG00000024272	Betta_splendens
ENSBSLP00000051154	ENSBSLG00000024267	Betta_splendens
ENSCGOP00000045410	ENSCGOG00000020392	Cottoperca_gobio
ENSOANP00000025915	ENSOANG00000020390	Ornithorhynchus_anatinus
ENSPCIP00000049160	ENSPCIG00000021399	Phascolarctos_cinereus
ENSPCIP00000047702	ENSPCIG00000036009	Phascolarctos_cinereus
ENSVURP00010011658	ENSVURG00010005592	Vombatus_ursinus
ENSMEUP00000001987	ENSMEUG00000002177	Notamacropus_eugenii
ENSSHAP00000003461	ENSSHAG00000003041	Sarcophilus_harrisii
ENSMODP00000015387	ENSMODG00000012284	Monodelphis_domestica
ENSDNOP00000028769	ENSDNOG00000042955	Dasypus_novemcinctus
ENSDNOP00000027517	ENSDNOG00000031413	Dasypus_novemcinctus
ENSDNOP00000024763	ENSDNOG00000032532	Dasypus_novemcinctus
ENSDNOP00000029826	ENSDNOG00000047967	Dasypus_novemcinctus
ENSDNOP00000030306	ENSDNOG00000048729	Dasypus_novemcinctus
ENSETEP00000010150	ENSETEG00000012514	Echinops_telfairi
ENSMLUP00000012966	ENSMLUG00000014250	Myotis_lucifugus
ENSCAFP00020020945	ENSCAFG00020016560	Canis_lupus_dingo
ENSP00000356386	ENSG00000134365	Homo_sapiens
ENSPTRP00000003008	ENSPTRG00000001801	Pan_troglodytes
ENSGGOP00000013095	ENSGGOG00000038930	Gorilla_gorilla
ENSPPYP00000000443	ENSPPYG00000000391	Pongo_abelii
ENSNLEP00000047053	ENSNLEG00000034827	Nomascus_leucogenys
ENSPANP00000010166	ENSPANG00000008919	Papio_anubis
ENSTGEP00000029643	ENSTGEG00000023827	Theropithecus_gelada
ENSMLEP00000022583	ENSMLEG00000035499	Mandrillus_leucophaeus
ENSCSAP00000009721	ENSCSAG00000013559	Chlorocebus_sabaeus
ENSMFAP00000021605	ENSMFAG00000035708	Macaca_fascicularis
ENSMNEP00000003102	ENSMNEG00000014337	Macaca_nemestrina
ENSRBIP00000009522	ENSRBIG00000028646	Rhinopithecus_bieti
ENSRROP00000034330	ENSRROG00000040724	Rhinopithecus_roxellana
ENSCANP00000015397	ENSCANG00000031143	Colobus_angolensis_palliatus
ENSPTEP00000043173	ENSPTEG00000039357	Piliocolobus_tephrosceles
ENSOPRP00000013047	ENSOPRG00000014291	Ochotona_princeps
ENSCCNP00000008224	ENSCCNG00000008686	Castor_canadensis
ENSOCUP00000000895	ENSOCUG00000001036	Oryctolagus_cuniculus
ENSRROP00000027313	ENSRROG00000037441	Rhinopithecus_roxellana
ENSRBIP00000025107	ENSRBIG00000036445	Rhinopithecus_bieti
ENSPTEP00000043139	ENSPTEG00000039336	Piliocolobus_tephrosceles
ENSCANP00000010894	ENSCANG00000028862	Colobus_angolensis_palliatus
ENSTGEP00000029454	ENSTGEG00000023690	Theropithecus_gelada
ENSCATP00000007975	ENSCATG00000023636	Cercocebus_atys
ENSPANP00000010016	ENSPANG00000012829	Papio_anubis
ENSMLEP00000027477	ENSMLEG00000037942	Mandrillus_leucophaeus
ENSMNEP00000011679	ENSMNEG00000030178	Macaca_nemestrina
ENSMMUP00000000335	ENSMMUG00000000243	Macaca_mulatta
ENSMFAP00000035496	ENSMFAG00000033730	Macaca_fascicularis
ENSCSAP00000009734	ENSCSAG00000013575	Chlorocebus_sabaeus
ENSGGOP00000002394	ENSGGOG00000002429	Gorilla_gorilla
ENSP00000256785	ENSG00000134389	Homo_sapiens
ENSPPAP00000014644	ENSPPAG00000030484	Pan_paniscus
ENSPTRP00000003012	ENSPTRG00000001805	Pan_troglodytes
ENSNLEP00000021935	ENSNLEG00000026745	Nomascus_leucogenys
ENSCCAP00000017359	ENSCCAG00000026491	Cebus_capucinus_imitator
ENSSBOP00000029708	ENSSBOG00000031160	Saimiri_boliviensis_boliviensis
ENSCJAP00000015463	ENSCJAG00000037347	Callithrix_jacchus
ENSANAP00000001949	ENSANAG00000016140	Aotus_nancymaae
ENSAMEP00000018512	ENSAMEG00000017524	Ailuropoda_melanoleuca
ENSUMAP00000035271	ENSUMAG00000025355	Ursus_maritimus
ENSNVIP00000015776	ENSNVIG00000012385	Neovison_vison
ENSMPUP00000010014	ENSMPUG00000010090	Mustela_putorius_furo
ENSCAFP00000040477	ENSCAFG00000029661	Canis_lupus_familiaris
ENSCAFP00020015442	ENSCAFG00020012383	Canis_lupus_dingo
ENSVVUP00000003095	ENSVVUG00000002421	Vulpes_vulpes
ENSPTIP00000004131	ENSPTIG00000006723	Panthera_tigris_altaica
ENSPPRP00000008332	ENSPPRG00000003165	Panthera_pardus
ENSFCAP00000025596	ENSFCAG00000028672	Felis_catus
ENSCHIP00000006432	ENSCHIG00000010286	Capra_hircus
ENSOARP00000015463	ENSOARG00000014405	Ovis_aries
ENSBIXP00005018739	ENSBIXG00005022052	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000031144	ENSBIXG00000013333	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000062746	ENSBTAG00000038171	Bos_taurus
ENSBMUP00000020389	ENSBMUG00000015365	Bos_mutus
ENSBBBP00000000050	ENSBBBG00000009223	Bison_bison_bison
ENSCHOP00000007079	ENSCHOG00000007992	Choloepus_hoffmanni
ENSDNOP00000023698	ENSDNOG00000046990	Dasypus_novemcinctus
ENSVVUP00000016870	ENSVVUG00000012420	Vulpes_vulpes
ENSCAFP00000036959	ENSCAFG00000013809	Canis_lupus_familiaris
ENSAMEP00000015539	ENSAMEG00000014756	Ailuropoda_melanoleuca
ENSUMAP00000028411	ENSUMAG00000020648	Ursus_maritimus
ENSNVIP00000020590	ENSNVIG00000016102	Neovison_vison
ENSMPUP00000012055	ENSMPUG00000012151	Mustela_putorius_furo
ENSNVIP00000024385	ENSNVIG00000018687	Neovison_vison
ENSNVIP00000005740	ENSNVIG00000004614	Neovison_vison
ENSMPUP00000012049	ENSMPUG00000012145	Mustela_putorius_furo
ENSMPUP00000012085	ENSMPUG00000012181	Mustela_putorius_furo
ENSNVIP00000005710	ENSNVIG00000004608	Neovison_vison
ENSPPRP00000027320	ENSPPRG00000018692	Panthera_pardus
ENSECAP00000034592	ENSECAG00000029935	Equus_caballus
ENSBMUP00000011182	ENSBMUG00000008627	Bos_mutus
ENSBIXP00000033999	ENSBIXG00000016889	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000006242	ENSBBBG00000014842	Bison_bison_bison
ENSOARP00000000988	ENSOARG00000000956	Ovis_aries
ENSBIXP00000034001	ENSBIXG00000006274	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005003039	ENSBIXG00005009290	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000029340	ENSBTAG00000039995	Bos_taurus
ENSBIXP00000011663	ENSBIXG00000016882	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000064718	ENSBTAG00000048780	Bos_taurus
ENSBBBP00000021171	ENSBBBG00000014961	Bison_bison_bison
ENSBIXP00000033955	ENSBIXG00000016872	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00000010902	ENSBIXG00000016685	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005000741	ENSBIXG00005008802	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000073132	ENSBTAG00000023177	Bos_taurus
ENSBMUP00000029985	ENSBMUG00000022405	Bos_mutus
ENSCHIP00000023053	ENSCHIG00000020774	Capra_hircus
ENSOARP00000009174	ENSOARG00000008550	Ovis_aries
ENSCHIP00000011525	ENSCHIG00000013657	Capra_hircus
ENSCHIP00000000665	ENSCHIG00000000467	Capra_hircus
ENSBIXP00000033938	ENSBIXG00000016813	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005027867	ENSBIXG00005029940	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000047973	ENSBTAG00000040409	Bos_taurus
