ENSMAMP00000023527	ENSMAMG00000015827	Mastacembelus_armatus
ENSBSLP00000002811	ENSBSLG00000001598	Betta_splendens
ENSSLDP00000009404	ENSSLDG00000007487	Seriola_lalandi_dorsalis
ENSSMAP00000009863	ENSSMAG00000006076	Scophthalmus_maximus
ENSLCAP00010013873	ENSLCAG00010006591	Lates_calcarifer
ENSLCAP00010029688	ENSLCAG00010013958	Lates_calcarifer
ENSPNYP00000013941	ENSPNYG00000010581	Pundamilia_nyererei
ENSTRUP00000054035	ENSTRUG00000021959	Takifugu_rubripes
ENSHBUP00000017117	ENSHBUG00000019108	Haplochromis_burtoni
ENSACLP00000015631	ENSACLG00000010648	Astatotilapia_calliptera
ENSMZEP00005031471	ENSMZEG00005023462	Maylandia_zebra
ENSMZEP00005029189	ENSMZEG00005021759	Maylandia_zebra
ENSMZEP00005031425	ENSMZEG00005023424	Maylandia_zebra
ENSMZEP00005029166	ENSMZEG00005021742	Maylandia_zebra
ENSNBRP00000031414	ENSNBRG00000023868	Neolamprologus_brichardi
ENSNBRP00000002069	ENSNBRG00000001660	Neolamprologus_brichardi
ENSMZEP00005031449	ENSMZEG00005023442	Maylandia_zebra
ENSHBUP00000016238	ENSHBUG00000018184	Haplochromis_burtoni
ENSPNYP00000000648	ENSPNYG00000000527	Pundamilia_nyererei
ENSACLP00000015528	ENSACLG00000010587	Astatotilapia_calliptera
ENSHBUP00000032089	ENSHBUG00000018167	Haplochromis_burtoni
ENSMZEP00005028374	ENSMZEG00005021158	Maylandia_zebra
ENSPNYP00000031535	ENSPNYG00000023788	Pundamilia_nyererei
ENSNBRP00000031431	ENSNBRG00000023882	Neolamprologus_brichardi
ENSACIP00000008454	ENSACIG00000006644	Amphilophus_citrinellus
ENSACIP00000008512	ENSACIG00000006681	Amphilophus_citrinellus
ENSCGOP00000024769	ENSCGOG00000011753	Cottoperca_gobio
ENSATEP00000001982	ENSATEG00000001406	Anabas_testudineus
