ENSTGEP00000015601	ENSTGEG00000012597	Theropithecus_gelada
ENSMFAP00000014058	ENSMFAG00000030108	Macaca_fascicularis
ENSPTEP00000043648	ENSPTEG00000039713	Piliocolobus_tephrosceles
ENSSBOP00000014945	ENSSBOG00000024209	Saimiri_boliviensis_boliviensis
ENSUPAP00010002643	ENSUPAG00010002206	Urocitellus_parryii
ENSMMMP00000001823	ENSMMMG00000001685	Marmota_marmota_marmota
ENSUAMP00000022439	ENSUAMG00000017639	Ursus_americanus
ENSNVIP00000015638	ENSNVIG00000012284	Neovison_vison
ENSCAFP00020019489	ENSCAFG00020015501	Canis_lupus_dingo
ENSFCAP00000053865	ENSFCAG00000052345	Felis_catus
ENSBIXP00005038644	ENSBIXG00005020747	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
