ENSACAP00000002062	ENSACAG00000002178	Anolis_carolinensis	ENSACAT00000002116
ENSNSUP00000015893	ENSNSUG00000011764	Notechis_scutatus
ENSSMRP00000001806	ENSSMRG00000001563	Salvator_merianae
ENSPVIP00000014111	ENSPVIG00000010899	Pogona_vitticeps	ENSPVIT00000017651
ENSSPUP00000006575	ENSSPUG00000005064	Sphenodon_punctatus
ENSLSDP00000013073	ENSLSDG00000009525	Lonchura_striata_domestica
ENSTGUP00000004947	ENSTGUG00000004811	Taeniopygia_guttata
ENSZALP00000001724	ENSZALG00000002052	Zonotrichia_albicollis
ENSJHYP00000004548	ENSJHYG00000003747	Junco_hyemalis
ENSSCAP00000010330	ENSSCAG00000007839	Serinus_canaria
ENSFALP00000011352	ENSFALG00000010877	Ficedula_albicollis
ENSCCEP00000016939	ENSCCEG00000015763	Cyanistes_caeruleus
ENSPMJP00000002740	ENSPMJG00000002362	Parus_major
ENSLCOP00000019486	ENSLCOG00000013785	Lepidothrix_coronata
ENSMVIP00005001123	ENSMVIG00005000884	Manacus_vitellinus
ENSCPUP00000025329	ENSCPUG00000017128	Calidris_pugnax
ENSMUNP00000005440	ENSMUNG00000004484	Melopsittacus_undulatus
ENSABRP00000021167	ENSABRG00000017965	Anser_brachyrhynchus
ENSAPLP00000004214	ENSAPLG00000004693	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000001064	ENSMGAG00000001595	Meleagris_gallopavo
ENSCJPP00005018932	ENSCJPG00005015384	Coturnix_japonica
ENSGALP00000031178	ENSGALG00000012128	Gallus_gallus
ENSNMEP00000008897	ENSNMEG00000008675	Numida_meleagris
ENSNPEP00000011551	ENSNPEG00000008679	Nothoprocta_perdicaria
ENSDNVP00000014331	ENSDNVG00000010068	Dromaius_novaehollandiae
ENSAOWP00000020063	ENSAOWG00000013578	Apteryx_owenii
ENSAHAP00000001600	ENSAHAG00000001362	Apteryx_haastii
ENSARWP00000027257	ENSARWG00000018420	Apteryx_rowi
ENSCPGP00000019329	ENSCPGG00000013535	Calidris_pygmaea
ENSCPRP00005010193	ENSCPRG00005007272	Crocodylus_porosus
ENSCABP00000025213	ENSCABG00000018562	Chelonoidis_abingdonii
ENSGAGP00000014291	ENSGAGG00000010870	Gopherus_agassizii
ENSCPBP00000015905	ENSCPBG00000011737	Chrysemys_picta_bellii
ENSPSIP00000013948	ENSPSIG00000012520	Pelodiscus_sinensis
ENSUAMP00000033282	ENSUAMG00000025372	Ursus_americanus
ENSUMAP00000027014	ENSUMAG00000019633	Ursus_maritimus
ENSAMEP00000007252	ENSAMEG00000006876	Ailuropoda_melanoleuca
ENSNVIP00000006572	ENSNVIG00000005197	Neovison_vison
ENSNVIP00000011290	ENSNVIG00000008948	Neovison_vison
ENSMPUP00000011192	ENSMPUG00000011284	Mustela_putorius_furo
ENSCAFP00000055204	ENSCAFG00000007514	Canis_lupus_familiaris
ENSVVUP00000022511	ENSVVUG00000016517	Vulpes_vulpes
ENSPPRP00000024713	ENSPPRG00000014913	Panthera_pardus
ENSPTIP00000001269	ENSPTIG00000003292	Panthera_tigris_altaica
ENSEEUP00000002507	ENSEEUG00000002744	Erinaceus_europaeus
ENSTTRP00000002244	ENSTTRG00000002395	Tursiops_truncatus
ENSVPAP00000001793	ENSVPAG00000001940	Vicugna_pacos
ENSBIXP00000011041	ENSBIXG00000016410	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005008173	ENSBIXG00005013302	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000009855	ENSBMUG00000007643	Bos_mutus
ENSBTAP00000064782	ENSBTAG00000000475	Bos_taurus
ENSBBBP00000003796	ENSBBBG00000002484	Bison_bison_bison
ENSOARP00000017180	ENSOARG00000015999	Ovis_aries
ENSCHIP00000007592	ENSCHIG00000011052	Capra_hircus
ENSECAP00000017988	ENSECAG00000020512	Equus_caballus
ENSEASP00005019561	ENSEASG00005013445	Equus_asinus_asinus
ENSSARP00000004826	ENSSARG00000005353	Sorex_araneus
ENSCAFP00020002462	ENSCAFG00020002087	Canis_lupus_dingo
ENSVVUP00000003583	ENSVVUG00000002789	Vulpes_vulpes
ENSSDAP00000003045	ENSSDAG00000002921	Spermophilus_dauricus
ENSUPAP00010023504	ENSUPAG00010018631	Urocitellus_parryii
ENSSTOP00000030901	ENSSTOG00000003179	Ictidomys_tridecemlineatus
ENSMMMP00000007949	ENSMMMG00000007121	Marmota_marmota_marmota
ENSHGLP00000012395	ENSHGLG00000008856	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100013616	ENSHGLG00100010069	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000003097	ENSFDAG00000012620	Fukomys_damarensis
ENSODEP00000021102	ENSODEG00000015553	Octodon_degus
ENSCLAP00000001665	ENSCLAG00000001244	Chinchilla_lanigera
ENSCAPP00000012070	ENSCAPG00000013002	Cavia_aperea
ENSCPOP00000018001	ENSCPOG00000020043	Cavia_porcellus
ENSCGRP00000024050	ENSCGRG00000017431	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015011194	ENSCGRG00015008632	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001020009	ENSCGRG00001019289	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000009390	ENSMAUG00000010566	Mesocricetus_auratus
ENSPEMP00000011730	ENSPEMG00000012294	Peromyscus_maniculatus_bairdii
ENSMOCP00000000280	ENSMOCG00000000239	Microtus_ochrogaster
ENSMUSP00000049044	ENSMUSG00000042670	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0055620	MGP_SPRETEiJ_G0024952	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000017370	ENSMSIG00000014838	Mus_spicilegus
MGP_CAROLIEiJ_P0053525	MGP_CAROLIEiJ_G0024039	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0064500	MGP_PahariEiJ_G0025477	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000006406	ENSRNOG00000004829	Rattus_norvegicus
ENSMUGP00000007122	ENSMUGG00000006549	Meriones_unguiculatus
ENSMUGP00000007132	ENSMUGG00000006556	Meriones_unguiculatus
ENSNGAP00000024900	ENSNGAG00000023016	Nannospalax_galili
ENSJJAP00000022635	ENSJJAG00000022649	Jaculus_jaculus
ENSTBEP00000001836	ENSTBEG00000002126	Tupaia_belangeri
ENSMICP00000028692	ENSMICG00000030529	Microcebus_murinus
ENSMICP00000021246	ENSMICG00000030938	Microcebus_murinus
ENSPCOP00000005279	ENSPCOG00000013501	Propithecus_coquereli
ENSPSMP00000020145	ENSPSMG00000014225	Prolemur_simus
ENSOGAP00000007033	ENSOGAG00000007853	Otolemur_garnettii
ENSTSYP00000034744	ENSTSYG00000009257	Carlito_syrichta
ENSTSYP00000026347	ENSTSYG00000026655	Carlito_syrichta
ENSDORP00000000229	ENSDORG00000000250	Dipodomys_ordii
ENSMLUP00000005937	ENSMLUG00000006504	Myotis_lucifugus
ENSMLUP00000020427	ENSMLUG00000026097	Myotis_lucifugus
ENSPVAP00000014649	ENSPVAG00000015535	Pteropus_vampyrus
ENSSSCP00000040228	ENSSSCG00000013322	Sus_scrofa_strain_reference
ENSCATP00000042070	ENSCATG00000043671	Cercocebus_atys
ENSMMUP00000022091	ENSMMUG00000016806	Macaca_mulatta
ENSTGEP00000007820	ENSTGEG00000006409	Theropithecus_gelada
ENSRBIP00000006061	ENSRBIG00000025829	Rhinopithecus_bieti
