ENSCSAP00000009148	ENSCSAG00000012996	Chlorocebus_sabaeus
ENSAMXP00000032364	ENSAMXG00000012022	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMNEP00000018733	ENSMNEG00000033272	Macaca_nemestrina
ENSCPBP00000013705	ENSCPBG00000009906	Chrysemys_picta_bellii
ENSTRUP00000047873	ENSTRUG00000025350	Takifugu_rubripes
ENSAOCP00000011700	ENSAOCG00000016074	Amphiprion_ocellaris
ENSXCOP00000012261	ENSXCOG00000009278	Xiphophorus_couchianus
ENSPTRP00000079682	ENSPTRG00000041761	Pan_troglodytes
ENSOANP00000029170	ENSOANG00000029577	Ornithorhynchus_anatinus
ENSCABP00000004429	ENSCABG00000003308	Chelonoidis_abingdonii
ENSLCRP00005014262	ENSLCRG00005006049	Larimichthys_crocea
ENSACIP00000023500	ENSACIG00000018262	Amphilophus_citrinellus
ENSCVAP00000004648	ENSCVAG00000005979	Cyprinodon_variegatus
ENSMSIP00000001332	ENSMSIG00000001317	Mus_spicilegus
ENSGMOP00000001742	ENSGMOG00000001657	Gadus_morhua
ENSCHAP00000007812	ENSCHAG00000004812	Clupea_harengus
ENSPRNP00000007891	ENSPRNG00000004646	Parambassis_ranga
ENSLBEP00000000595	ENSLBEG00000000459	Labrus_bergylta
ENSPMGP00000021329	ENSPMGG00000017274	Periophthalmus_magnuspinnatus
ENSAPOP00000002523	ENSAPOG00000000086	Acanthochromis_polyacanthus
ENSMICP00000027412	ENSMICG00000026521	Microcebus_murinus
ENSJJAP00000022759	ENSJJAG00000022722	Jaculus_jaculus
ENSLBEP00000021399	ENSLBEG00000016351	Labrus_bergylta
ENSGWIP00000044169	ENSGWIG00000021993	Gouania_willdenowi
ENSLCAP00010034621	ENSLCAG00010016259	Lates_calcarifer
ENSTRUP00000046246	ENSTRUG00000018063	Takifugu_rubripes
ENSCATP00000039296	ENSCATG00000042283	Cercocebus_atys
ENSCGOP00000005459	ENSCGOG00000002811	Cottoperca_gobio
ENSNMEP00000002338	ENSNMEG00000003033	Numida_meleagris
ENSRROP00000003813	ENSRROG00000015199	Rhinopithecus_roxellana
