ENSPSIP00000003247	ENSPSIG00000003116	Pelodiscus_sinensis	ENSPSIT00000003262
ENSXETP00000005327	ENSXETG00000009868	Xenopus_tropicalis	ENSXETT00000015678
ENSECRP00000032797	ENSECRG00000022215	Erpetoichthys_calabaricus	ENSECRT00000033520
ENSCMIP00000001288	ENSCMIG00000000855	Callorhinchus_milii	ENSCMIT00000001351
ENSGAGP00000033643	ENSGAGG00000023949	Gopherus_agassizii
ENSCABP00000020621	ENSCABG00000015211	Chelonoidis_abingdonii
ENSCPBP00000025028	ENSCPBG00000017805	Chrysemys_picta_bellii
ENSPSIP00000006684	ENSPSIG00000006186	Pelodiscus_sinensis
ENSCPRP00005004105	ENSCPRG00005003022	Crocodylus_porosus
ENSACAP00000020331	ENSACAG00000017155	Anolis_carolinensis
ENSPVIP00000012756	ENSPVIG00000009950	Pogona_vitticeps
ENSNSUP00000020005	ENSNSUG00000014590	Notechis_scutatus
ENSNSUP00000001472	ENSNSUG00000001269	Notechis_scutatus
ENSSMRP00000027225	ENSSMRG00000020993	Salvator_merianae
ENSSPUP00000017951	ENSSPUG00000013872	Sphenodon_punctatus
ENSABRP00000015336	ENSABRG00000013501	Anser_brachyrhynchus
ENSAPLP00000017571	ENSAPLG00000030544	Anas_platyrhynchos_platyrhynchos
ENSGALP00000054620	ENSGALG00000031301	Gallus_gallus
ENSMGAP00000000062	ENSMGAG00000000682	Meleagris_gallopavo
ENSCJPP00005002111	ENSCJPG00005002270	Coturnix_japonica
ENSNMEP00000007539	ENSNMEG00000007536	Numida_meleagris
ENSPMJP00000016388	ENSPMJG00000012378	Parus_major
ENSCCEP00000012920	ENSCCEG00000012424	Cyanistes_caeruleus
ENSFALP00000003781	ENSFALG00000003621	Ficedula_albicollis
ENSTGUP00000001739	ENSTGUG00000001686	Taeniopygia_guttata
ENSLSDP00000010674	ENSLSDG00000007850	Lonchura_striata_domestica
ENSZALP00000011871	ENSZALG00000010004	Zonotrichia_albicollis
ENSJHYP00000022274	ENSJHYG00000016797	Junco_hyemalis
ENSSCAP00000021920	ENSSCAG00000015756	Serinus_canaria
ENSMVIP00005026966	ENSMVIG00005018783	Manacus_vitellinus
ENSMVIP00005026968	ENSMVIG00005018785	Manacus_vitellinus
ENSLCOP00000022181	ENSLCOG00000015656	Lepidothrix_coronata
ENSMUNP00000008738	ENSMUNG00000006904	Melopsittacus_undulatus
ENSCPUP00000026305	ENSCPUG00000017715	Calidris_pugnax
ENSCPGP00000026464	ENSCPGG00000018244	Calidris_pygmaea
ENSAHAP00000025260	ENSAHAG00000017618	Apteryx_haastii
ENSAOWP00000007791	ENSAOWG00000005344	Apteryx_owenii
ENSARWP00000017549	ENSARWG00000012079	Apteryx_rowi
ENSDNVP00000021064	ENSDNVG00000014741	Dromaius_novaehollandiae
ENSNPEP00000006850	ENSNPEG00000005150	Nothoprocta_perdicaria
ENSLACP00000018952	ENSLACG00000016673	Latimeria_chalumnae
ENSXETP00000038401	ENSXETG00000016860	Xenopus_tropicalis
ENSSFOP00015036063	ENSSFOG00015022949	Scleropages_formosus
ENSPKIP00000030831	ENSPKIG00000011543	Paramormyrops_kingsleyae
ENSDCDP00000023549	ENSDCDG00000017895	Denticeps_clupeoides
ENSCHAP00000002070	ENSCHAG00000001237	Clupea_harengus
ENSAMXP00005002837	ENSAMXG00005001715	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000005310	ENSAMXG00000005179	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000016032	ENSPNAG00000022150	Pygocentrus_nattereri
ENSDARP00000099556	ENSDARG00000075295	Danio_rerio
ENSDARP00000140439	ENSDARG00000100478	Danio_rerio
ENSCSEP00000025024	ENSCSEG00000015977	Cynoglossus_semilaevis
ENSBSLP00000029049	ENSBSLG00000014524	Betta_splendens
ENSLCRP00005051816	ENSLCRG00005019512	Larimichthys_crocea
ENSLBEP00000033184	ENSLBEG00000024995	Labrus_bergylta
ENSTRUP00000046530	ENSTRUG00000018184	Takifugu_rubripes
ENSTNIP00000004001	ENSTNIG00000018295	Tetraodon_nigroviridis
ENSGACP00000006806	ENSGACG00000005153	Gasterosteus_aculeatus
ENSCGOP00000001148	ENSCGOG00000000681	Cottoperca_gobio
ENSAPEP00000033548	ENSAPEG00000023840	Amphiprion_percula
ENSAPOP00000013210	ENSAPOG00000016015	Acanthochromis_polyacanthus
ENSSPAP00000002583	ENSSPAG00000001974	Stegastes_partitus
ENSPRNP00000012950	ENSPRNG00000007127	Parambassis_ranga
ENSFHEP00000031578	ENSFHEG00000017564	Fundulus_heteroclitus
ENSCVAP00000031348	ENSCVAG00000020556	Cyprinodon_variegatus
ENSPFOP00000013998	ENSPFOG00000013977	Poecilia_formosa
ENSPLAP00000011804	ENSPLAG00000014987	Poecilia_latipinna
ENSPMEP00000001440	ENSPMEG00000002360	Poecilia_mexicana
ENSPREP00000017878	ENSPREG00000012085	Poecilia_reticulata
ENSXCOP00000021361	ENSXCOG00000015991	Xiphophorus_couchianus
ENSXMAP00000018152	ENSXMAG00000018117	Xiphophorus_maculatus
ENSGAFP00000024253	ENSGAFG00000016366	Gambusia_affinis
ENSKMAP00000021017	ENSKMAG00000015621	Kryptolebias_marmoratus
