ENSPCIP00000015140	ENSPCIG00000011794	Phascolarctos_cinereus
ENSVURP00010016032	ENSVURG00010012267	Vombatus_ursinus
ENSMEUP00000002589	ENSMEUG00000002834	Notamacropus_eugenii
ENSSHAP00000017002	ENSSHAG00000014454	Sarcophilus_harrisii
ENSMODP00000023251	ENSMODG00000018648	Monodelphis_domestica
ENSUMAP00000010942	ENSUMAG00000008249	Ursus_maritimus
ENSUAMP00000011095	ENSUAMG00000009073	Ursus_americanus
ENSAMEP00000012323	ENSAMEG00000011668	Ailuropoda_melanoleuca
ENSMPUP00000016577	ENSMPUG00000016680	Mustela_putorius_furo
ENSNVIP00000030403	ENSNVIG00000023320	Neovison_vison
ENSCAFP00020004576	ENSCAFG00020003652	Canis_lupus_dingo
ENSCAFP00000039716	ENSCAFG00000004290	Canis_lupus_familiaris
ENSVVUP00000011598	ENSVVUG00000008540	Vulpes_vulpes
ENSPTIP00000021805	ENSPTIG00000018759	Panthera_tigris_altaica
ENSPPRP00000027184	ENSPPRG00000018633	Panthera_pardus
ENSFCAP00000041979	ENSFCAG00000024863	Felis_catus
ENSEASP00005009987	ENSEASG00005007077	Equus_asinus_asinus
ENSECAP00000047226	ENSECAG00000004224	Equus_caballus
ENSPVAP00000001602	ENSPVAG00000001697	Pteropus_vampyrus
ENSMLUP00000010449	ENSMLUG00000011441	Myotis_lucifugus
ENSBIXP00005031463	ENSBIXG00005001196	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000043784	ENSBIXG00000005870	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000047415	ENSBTAG00000006003	Bos_taurus
ENSBMUP00000036019	ENSBMUG00000026758	Bos_mutus
ENSBBBP00000026131	ENSBBBG00000021896	Bison_bison_bison
ENSCHIP00000020931	ENSCHIG00000019417	Capra_hircus
ENSOARP00000017148	ENSOARG00000015968	Ovis_aries
ENSTTRP00000009539	ENSTTRG00000010050	Tursiops_truncatus
ENSSSCP00000016808	ENSSSCG00000015859	Sus_scrofa_strain_reference
ENSVPAP00000008467	ENSVPAG00000009096	Vicugna_pacos
ENSEEUP00000002990	ENSEEUG00000003254	Erinaceus_europaeus
ENSSARP00000004286	ENSSARG00000004707	Sorex_araneus
ENSCLAP00000003678	ENSCLAG00000002622	Chinchilla_lanigera
ENSCPOP00000010053	ENSCPOG00000011181	Cavia_porcellus
ENSODEP00000007211	ENSODEG00000005382	Octodon_degus
ENSHGLP00100005630	ENSHGLG00100004268	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000014409	ENSHGLG00000010314	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000020951	ENSFDAG00000008067	Fukomys_damarensis
ENSUPAP00010007240	ENSUPAG00010005822	Urocitellus_parryii
ENSSTOP00000006009	ENSSTOG00000006710	Ictidomys_tridecemlineatus
ENSSDAP00000018278	ENSSDAG00000016674	Spermophilus_dauricus
ENSMMMP00000023667	ENSMMMG00000020721	Marmota_marmota_marmota
ENSCCNP00000007901	ENSCCNG00000008374	Castor_canadensis
ENSDORP00000014652	ENSDORG00000015563	Dipodomys_ordii
ENSMSIP00000038264	ENSMSIG00000031894	Mus_spicilegus
MGP_SPRETEiJ_P0048143	MGP_SPRETEiJ_G0022975	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000025109	ENSMUSG00000024260	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0046218	MGP_CAROLIEiJ_G0022064	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0038822	MGP_PahariEiJ_G0018798	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000022761	ENSRNOG00000016773	Rattus_norvegicus
ENSMUGP00000013068	ENSMUGG00000011344	Meriones_unguiculatus
ENSMUGP00000013012	ENSMUGG00000011268	Meriones_unguiculatus
ENSCGRP00015031448	ENSCGRG00015023702	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001005790	ENSCGRG00001007656	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000023747	ENSCGRG00000017207	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000014812	ENSMAUG00000014468	Mesocricetus_auratus
ENSMOCP00000026249	ENSMOCG00000022122	Microtus_ochrogaster
ENSPEMP00000000838	ENSPEMG00000000598	Peromyscus_maniculatus_bairdii
ENSNGAP00000024643	ENSNGAG00000022842	Nannospalax_galili
ENSJJAP00000014369	ENSJJAG00000016839	Jaculus_jaculus
ENSOCUP00000005916	ENSOCUG00000006837	Oryctolagus_cuniculus
ENSOPRP00000000011	ENSOPRG00000000011	Ochotona_princeps
ENSPTRP00000071802	ENSPTRG00000012438	Pan_troglodytes
ENSPPAP00000031067	ENSPPAG00000038402	Pan_paniscus
