ENSPFOP00000028747	ENSPFOG00000021841	Poecilia_formosa
ENSCVAP00000030720	ENSCVAG00000019450	Cyprinodon_variegatus
ENSACLP00000001452	ENSACLG00000001021	Astatotilapia_calliptera
ENSMZEP00005036512	ENSMZEG00005027247	Maylandia_zebra
ENSACLP00000001416	ENSACLG00000000976	Astatotilapia_calliptera
ENSPNYP00000016545	ENSPNYG00000012530	Pundamilia_nyererei
ENSNBRP00000009933	ENSNBRG00000007739	Neolamprologus_brichardi
ENSMZEP00005036517	ENSMZEG00005027252	Maylandia_zebra
ENSONIP00000002429	ENSONIG00000001940	Oreochromis_niloticus
ENSMZEP00005036516	ENSMZEG00005027251	Maylandia_zebra
ENSACIP00000030375	ENSACIG00000023508	Amphilophus_citrinellus
ENSHBUP00000005901	ENSHBUG00000007288	Haplochromis_burtoni
ENSACLP00000001250	ENSACLG00000000887	Astatotilapia_calliptera
ENSNBRP00000009999	ENSNBRG00000007789	Neolamprologus_brichardi
ENSONIP00000002426	ENSONIG00000001937	Oreochromis_niloticus
ENSACLP00000001194	ENSACLG00000000849	Astatotilapia_calliptera
ENSMZEP00005036521	ENSMZEG00005027256	Maylandia_zebra
ENSACIP00000019906	ENSACIG00000015471	Amphilophus_citrinellus
ENSONIP00000023239	ENSONIG00000018459	Oreochromis_niloticus
ENSPNYP00000016435	ENSPNYG00000012437	Pundamilia_nyererei
ENSMZEP00005036522	ENSMZEG00005027257	Maylandia_zebra
ENSACIP00000030370	ENSACIG00000023504	Amphilophus_citrinellus
ENSPNYP00000016456	ENSPNYG00000012455	Pundamilia_nyererei
ENSACLP00000001232	ENSACLG00000000880	Astatotilapia_calliptera
ENSONIP00000022920	ENSONIG00000018196	Oreochromis_niloticus
ENSONIP00000008457	ENSONIG00000006696	Oreochromis_niloticus
ENSONIP00000023238	ENSONIG00000018458	Oreochromis_niloticus
ENSACLP00000001213	ENSACLG00000000874	Astatotilapia_calliptera
ENSMZEP00005036520	ENSMZEG00005027255	Maylandia_zebra
ENSPNYP00000016415	ENSPNYG00000012428	Pundamilia_nyererei
ENSNBRP00000010044	ENSNBRG00000007818	Neolamprologus_brichardi
ENSHBUP00000025326	ENSHBUG00000007275	Haplochromis_burtoni
ENSACLP00000001306	ENSACLG00000000936	Astatotilapia_calliptera
ENSMZEP00005036519	ENSMZEG00005027253	Maylandia_zebra
ENSPNYP00000016476	ENSPNYG00000012473	Pundamilia_nyererei
ENSNBRP00000010024	ENSNBRG00000007799	Neolamprologus_brichardi
ENSONIP00000002424	ENSONIG00000001935	Oreochromis_niloticus
ENSONIP00000002430	ENSONIG00000001941	Oreochromis_niloticus
ENSACIP00000022689	ENSACIG00000017665	Amphilophus_citrinellus
ENSLBEP00000006061	ENSLBEG00000004661	Labrus_bergylta
ENSBSLP00000034380	ENSBSLG00000016638	Betta_splendens
