ENSMMUP00000051838	ENSMMUG00000009396	Macaca_mulatta
ENSKMAP00000008270	ENSKMAG00000006228	Kryptolebias_marmoratus
ENSCAPP00000017296	ENSCAPG00000016984	Cavia_aperea
ENSPLAP00000029676	ENSPLAG00000020157	Poecilia_latipinna
ENSEEUP00000005671	ENSEEUG00000006189	Erinaceus_europaeus
ENSGWIP00000042218	ENSGWIG00000020989	Gouania_willdenowi
ENSPNAP00000025568	ENSPNAG00000010764	Pygocentrus_nattereri
ENSPTIP00000012034	ENSPTIG00000012242	Panthera_tigris_altaica
ENSCGRP00015033358	ENSCGRG00015025147	Cricetulus_griseus_CriGri-PICR
ENSSPAP00000016277	ENSSPAG00000012268	Stegastes_partitus
ENSCHIP00000027119	ENSCHIG00000023171	Capra_hircus
ENSORLP00020027476	ENSORLG00020010502	Oryzias_latipes_ASM223471v1
ENSKMAP00000013776	ENSKMAG00000010299	Kryptolebias_marmoratus
ENSSFOP00015028978	ENSSFOG00015018589	Scleropages_formosus
ENSVURP00010007132	ENSVURG00010005522	Vombatus_ursinus	ENSVURT00010008060
ENSPCIP00000023933	ENSPCIG00000018100	Phascolarctos_cinereus	ENSPCIT00000029520
ENSMUGP00000022484	ENSMUGG00000018843	Meriones_unguiculatus
ENSAOCP00000004945	ENSAOCG00000008412	Amphiprion_ocellaris
ENSAMXP00000052254	ENSAMXG00000020109	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCPRP00005011810	ENSCPRG00005008425	Crocodylus_porosus
ENSUMAP00000024617	ENSUMAG00000017895	Ursus_maritimus
ENSPREP00000007824	ENSPREG00000005344	Poecilia_reticulata
ENSDCDP00000059180	ENSDCDG00000034139	Denticeps_clupeoides
ENSHBUP00000000829	ENSHBUG00000002031	Haplochromis_burtoni
ENSMSIP00000022585	ENSMSIG00000019147	Mus_spicilegus
ENSEEEP00000044201	ENSEEEG00000020885	Electrophorus_electricus
ENSTRUP00000016067	ENSTRUG00000006546	Takifugu_rubripes
ENSPPRP00000004226	ENSPPRG00000000423	Panthera_pardus
ENSMODP00000017278	ENSMODG00000013823	Monodelphis_domestica	ENSMODT00000017597
ENSHHUP00000030598	ENSHHUG00000019155	Hucho_hucho
ENSSTOP00000008283	ENSSTOG00000009217	Ictidomys_tridecemlineatus
ENSBSLP00000043242	ENSBSLG00000020496	Betta_splendens
ENSDARP00000026086	ENSDARG00000004754	Danio_rerio
ENSNMEP00000024122	ENSNMEG00000020511	Numida_meleagris
ENSARWP00000002466	ENSARWG00000001859	Apteryx_rowi
ENSFHEP00000023515	ENSFHEG00000004628	Fundulus_heteroclitus
ENSGACP00000024055	ENSGACG00000018188	Gasterosteus_aculeatus
ENSOMEP00000024493	ENSOMEG00000005193	Oryzias_melastigma
ENSSLDP00000017379	ENSSLDG00000013697	Seriola_lalandi_dorsalis
ENSFALP00000009326	ENSFALG00000008937	Ficedula_albicollis
ENSVVUP00000039768	ENSVVUG00000028335	Vulpes_vulpes
ENSMZEP00005033004	ENSMZEG00005024605	Maylandia_zebra
ENSPANP00000002538	ENSPANG00000020837	Papio_anubis
