ENSCPGP00000019979	ENSCPGG00000014003	Calidris_pygmaea
ENSFHEP00000025632	ENSFHEG00000007973	Fundulus_heteroclitus
ENSCHOP00000000691	ENSCHOG00000000775	Choloepus_hoffmanni
ENSHHUP00000068651	ENSHHUG00000040443	Hucho_hucho
ENSGACP00000004669	ENSGACG00000003557	Gasterosteus_aculeatus
ENSMFAP00000025086	ENSMFAG00000044073	Macaca_fascicularis
ENSCGRP00000017921	ENSCGRG00000013032	Cricetulus_griseus_CriGri_1.0
ENSGMOP00000014370	ENSGMOG00000013437	Gadus_morhua
ENSPSMP00000017554	ENSPSMG00000012490	Prolemur_simus
ENSPEMP00000009769	ENSPEMG00000010959	Peromyscus_maniculatus_bairdii
ENSLCRP00005002200	ENSLCRG00005000929	Larimichthys_crocea
ENSAHAP00000008624	ENSAHAG00000006358	Apteryx_haastii
ENSSSCP00000033890	ENSSSCG00000006066	Sus_scrofa_strain_reference
ENSMALP00000018624	ENSMALG00000012972	Monopterus_albus
ENSELUP00000027380	ENSELUG00000003588	Esox_lucius
ENSCHIP00000012451	ENSCHIG00000014198	Capra_hircus
ENSXCOP00000022836	ENSXCOG00000017064	Xiphophorus_couchianus
ENSJJAP00000007991	ENSJJAG00000012255	Jaculus_jaculus
ENSLAFP00000004001	ENSLAFG00000004783	Loxodonta_africana
ENSPSIP00000004256	ENSPSIG00000004011	Pelodiscus_sinensis
ENSCPOP00000006591	ENSCPOG00000007313	Cavia_porcellus
ENSCHAP00000024725	ENSCHAG00000012117	Clupea_harengus
ENSDARP00000006534	ENSDARG00000012040	Danio_rerio
ENSCJAP00000029120	ENSCJAG00000015794	Callithrix_jacchus
ENSMOCP00000004361	ENSMOCG00000003595	Microtus_ochrogaster
ENSMGAP00000012836	ENSMGAG00000012214	Meleagris_gallopavo
ENSRNOP00000013344	ENSRNOG00000009658	Rattus_norvegicus
ENSBBBP00000004427	ENSBBBG00000002715	Bison_bison_bison
ENSHGLP00000006083	ENSHGLG00000004447	Heterocephalus_glaber_HetGla_female_1.0
ENSBIXP00005006450	ENSBIXG00005001214	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPREP00000030543	ENSPREG00000020677	Poecilia_reticulata
ENSMEUP00000013895	ENSMEUG00000015215	Notamacropus_eugenii
ENSFDAP00000011244	ENSFDAG00000006667	Fukomys_damarensis
ENSTGUP00000012422	ENSTGUG00000012061	Taeniopygia_guttata
ENSSLDP00000014662	ENSSLDG00000011701	Seriola_lalandi_dorsalis
ENSTGEP00000003574	ENSTGEG00000003029	Theropithecus_gelada
ENSLBEP00000031856	ENSLBEG00000024036	Labrus_bergylta
ENSPPAP00000023012	ENSPPAG00000034676	Pan_paniscus
MGP_CAROLIEiJ_P0038060	MGP_CAROLIEiJ_G0019737	Mus_caroli_strain_CAROLI_EIJ
ENSCCNP00000015394	ENSCCNG00000015788	Castor_canadensis
ENSAOCP00000007764	ENSAOCG00000011632	Amphiprion_ocellaris
ENSCJPP00005000776	ENSCJPG00005000841	Coturnix_japonica
ENSMZEP00005033995	ENSMZEG00005025419	Maylandia_zebra
ENSCCAP00000022336	ENSCCAG00000028958	Cebus_capucinus_imitator
ENSBMUP00000034280	ENSBMUG00000025530	Bos_mutus
ENSTSYP00000000392	ENSTSYG00000000426	Carlito_syrichta
ENSZALP00000016021	ENSZALG00000013042	Zonotrichia_albicollis
ENSSFOP00015004326	ENSSFOG00015002817	Scleropages_formosus
ENSPTRP00000035009	ENSPTRG00000020472	Pan_troglodytes
MGP_SPRETEiJ_P0039842	MGP_SPRETEiJ_G0020633	Mus_spretus_strain_SPRET/EiJ
ENSRBIP00000038285	ENSRBIG00000042666	Rhinopithecus_bieti
ENSORLP00015012738	ENSORLG00015013600	Oryzias_latipes_ASM223469v1
ENSDCDP00000033542	ENSDCDG00000022843	Denticeps_clupeoides
ENSDNVP00000010453	ENSDNVG00000007374	Dromaius_novaehollandiae
ENSEEEP00000050228	ENSEEEG00000023624	Electrophorus_electricus
ENSEEUP00000013919	ENSEEUG00000015248	Erinaceus_europaeus
ENSMICP00000036070	ENSMICG00000034867	Microcebus_murinus
ENSPMEP00000021254	ENSPMEG00000001322	Poecilia_mexicana
ENSSMRP00000027439	ENSSMRG00000021161	Salvator_merianae
ENSPMJP00000009193	ENSPMJG00000007391	Parus_major
ENSNGAP00000004861	ENSNGAG00000006667	Nannospalax_galili
ENSMAMP00000006555	ENSMAMG00000004450	Mastacembelus_armatus
ENSLSDP00000025646	ENSLSDG00000017932	Lonchura_striata_domestica
ENSTTRP00000007088	ENSTTRG00000007491	Tursiops_truncatus
ENSOGAP00000006395	ENSOGAG00000007137	Otolemur_garnettii
ENSGAGP00000012916	ENSGAGG00000009913	Gopherus_agassizii
ENSATEP00000036151	ENSATEG00000024849	Anabas_testudineus
ENSCATP00000028886	ENSCATG00000037706	Cercocebus_atys
ENSPCIP00000000100	ENSPCIG00000000069	Phascolarctos_cinereus
ENSNMEP00000004210	ENSNMEG00000004659	Numida_meleagris
ENSCANP00000037348	ENSCANG00000042342	Colobus_angolensis_palliatus
ENSPTEP00000002780	ENSPTEG00000003267	Piliocolobus_tephrosceles
ENSPMGP00000027878	ENSPMGG00000022482	Periophthalmus_magnuspinnatus
ENSAMXP00000047541	ENSAMXG00000008586	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000030822
ENSRROP00000021762	ENSRROG00000034781	Rhinopithecus_roxellana
ENSOARP00000001055	ENSOARG00000001013	Ovis_aries
ENSTRUP00000055199	ENSTRUG00000011384	Takifugu_rubripes
