ENSSARP00000004577	ENSSARG00000005031	Sorex_araneus
ENSEEUP00000006857	ENSEEUG00000007539	Erinaceus_europaeus
ENSCAFP00020018849	ENSCAFG00020014969	Canis_lupus_dingo
ENSCAFP00000020119	ENSCAFG00000013654	Canis_lupus_familiaris
ENSVVUP00000038297	ENSVVUG00000027189	Vulpes_vulpes
ENSNVIP00000021434	ENSNVIG00000016764	Neovison_vison
ENSMPUP00000011895	ENSMPUG00000011987	Mustela_putorius_furo
ENSUMAP00000013110	ENSUMAG00000009693	Ursus_maritimus
ENSUAMP00000000652	ENSUAMG00000000449	Ursus_americanus
ENSAMEP00000018550	ENSAMEG00000017545	Ailuropoda_melanoleuca
ENSPTIP00000014492	ENSPTIG00000013904	Panthera_tigris_altaica
ENSPPRP00000024418	ENSPPRG00000014643	Panthera_pardus
ENSFCAP00000022545	ENSFCAG00000023858	Felis_catus
ENSEASP00005026381	ENSEASG00005017960	Equus_asinus_asinus
ENSECAP00000002525	ENSECAG00000001650	Equus_caballus
ENSPVAP00000007486	ENSPVAG00000007932	Pteropus_vampyrus
ENSMLUP00000003544	ENSMLUG00000003890	Myotis_lucifugus
ENSOARP00000015390	ENSOARG00000014337	Ovis_aries
ENSCHIP00000008779	ENSCHIG00000011852	Capra_hircus
ENSBIXP00005011066	ENSBIXG00005015594	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000003217	ENSBIXG00000009622	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000069369	ENSBTAG00000003077	Bos_taurus
ENSBMUP00000003000	ENSBMUG00000002373	Bos_mutus
ENSBBBP00000011013	ENSBBBG00000019075	Bison_bison_bison
ENSTTRP00000016364	ENSTTRG00000017257	Tursiops_truncatus
ENSSSCP00000057298	ENSSSCG00000012995	Sus_scrofa_strain_reference
ENSVPAP00000000576	ENSVPAG00000000623	Vicugna_pacos
ENSPEMP00000010766	ENSPEMG00000011637	Peromyscus_maniculatus_bairdii
ENSHGLP00100024399	ENSHGLG00100017915	Heterocephalus_glaber_HetGla_1.0
ENSOCUP00000023081	ENSOCUG00000004593	Oryctolagus_cuniculus
ENSTSYP00000018232	ENSTSYG00000000038	Carlito_syrichta
ENSMICP00000050052	ENSMICG00000008672	Microcebus_murinus
ENSPCOP00000028683	ENSPCOG00000027002	Propithecus_coquereli
ENSPSMP00000000271	ENSPSMG00000000228	Prolemur_simus
