ENSMOCP00000001960	ENSMOCG00000001504	Microtus_ochrogaster
ENSPPRP00000013059	ENSPPRG00000006476	Panthera_pardus
ENSCABP00000026314	ENSCABG00000019325	Chelonoidis_abingdonii	ENSCABT00000028818
ENSCCNP00000014846	ENSCCNG00000014997	Castor_canadensis
ENSMMUP00000004965	ENSMMUG00000003723	Macaca_mulatta
ENSMUSP00000158071	ENSMUSG00000024485	Mus_musculus_strain_reference_(CL57BL6)
ENSCHOP00000006646	ENSCHOG00000007483	Choloepus_hoffmanni
ENSVVUP00000014153	ENSVVUG00000010143	Vulpes_vulpes
ENSPCOP00000030096	ENSPCOG00000027757	Propithecus_coquereli
ENSLAFP00000001120	ENSLAFG00000001329	Loxodonta_africana
ENSMLEP00000000146	ENSMLEG00000000295	Mandrillus_leucophaeus
ENSGALP00000059128	ENSGALG00000044387	Gallus_gallus
ENSACAP00000013271	ENSACAG00000013391	Anolis_carolinensis
ENSXETP00000030938	ENSXETG00000010719	Xenopus_tropicalis
ENSFCAP00000032279	ENSFCAG00000001274	Felis_catus
ENSNPEP00000004804	ENSNPEG00000003650	Nothoprocta_perdicaria
ENSTGEP00000031172	ENSTGEG00000024946	Theropithecus_gelada
ENSPSMP00000027659	ENSPSMG00000019289	Prolemur_simus
ENSCAFP00020003548	ENSCAFG00020002964	Canis_lupus_dingo
ENSAMEP00000011743	ENSAMEG00000011090	Ailuropoda_melanoleuca
ENSLCOP00000017884	ENSLCOG00000012643	Lepidothrix_coronata
ENSVPAP00000002263	ENSVPAG00000002448	Vicugna_pacos
ENSNLEP00000011247	ENSNLEG00000009225	Nomascus_leucogenys
ENSP00000427661	ENSG00000113073	Homo_sapiens
ENSCPBP00000009321	ENSCPBG00000006627	Chrysemys_picta_bellii
ENSBTAP00000029024	ENSBTAG00000021775	Bos_taurus
ENSDORP00000011794	ENSDORG00000012541	Dipodomys_ordii
ENSCAPP00000006361	ENSCAPG00000008542	Cavia_aperea
ENSCSAP00000009045	ENSCSAG00000012893	Chlorocebus_sabaeus
ENSGAGP00000003823	ENSGAGG00000003086	Gopherus_agassizii	ENSGAGT00000004427
ENSPSIP00000017394	ENSPSIG00000015407	Pelodiscus_sinensis
ENSPMJP00000000381	ENSPMJG00000000108	Parus_major
ENSFALP00000009791	ENSFALG00000009337	Ficedula_albicollis
ENSMSIP00000035996	ENSMSIG00000029951	Mus_spicilegus
ENSCGRP00015004116	ENSCGRG00015003160	Cricetulus_griseus_CriGri-PICR
ENSSDAP00000017511	ENSSDAG00000015647	Spermophilus_dauricus
ENSPTRP00000069763	ENSPTRG00000017312	Pan_troglodytes
ENSOGAP00000003198	ENSOGAG00000003589	Otolemur_garnettii
ENSCHIP00000015251	ENSCHIG00000015915	Capra_hircus
ENSHGLP00000020295	ENSHGLG00000014520	Heterocephalus_glaber_HetGla_female_1.0
ENSPPYP00000017725	ENSPPYG00000015853	Pongo_abelii
ENSMEUP00000005796	ENSMEUG00000006325	Notamacropus_eugenii
ENSMVIP00005026783	ENSMVIG00005018662	Manacus_vitellinus
ENSBIXP00005033361	ENSBIXG00005001917	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPCIP00000021213	ENSPCIG00000016088	Phascolarctos_cinereus
ENSARWP00000019054	ENSARWG00000013070	Apteryx_rowi
ENSOARP00000018913	ENSOARG00000017624	Ovis_aries
ENSPPAP00000001387	ENSPPAG00000005338	Pan_paniscus
ENSNSUP00000014705	ENSNSUG00000010884	Notechis_scutatus
ENSCGRP00000015558	ENSCGRG00000011297	Cricetulus_griseus_CriGri_1.0
ENSDNVP00000009504	ENSDNVG00000006710	Dromaius_novaehollandiae
ENSMAUP00000019995	ENSMAUG00000018095	Mesocricetus_auratus
MGP_SPRETEiJ_P0048311	MGP_SPRETEiJ_G0023038	Mus_spretus_strain_SPRET/EiJ
ENSPTIP00000024501	ENSPTIG00000020507	Panthera_tigris_altaica
ENSGGOP00000000282	ENSGGOG00000000287	Gorilla_gorilla
ENSAPLP00000025135	ENSAPLG00000015338	Anas_platyrhynchos_platyrhynchos
ENSFDAP00000014857	ENSFDAG00000002386	Fukomys_damarensis
MGP_PahariEiJ_P0038985	MGP_PahariEiJ_G0018860	Mus_pahari_strain_PAHARI_EIJ
ENSUAMP00000031032	ENSUAMG00000023831	Ursus_americanus
ENSCPOP00000009296	ENSCPOG00000010350	Cavia_porcellus
ENSMNEP00000044113	ENSMNEG00000044652	Macaca_nemestrina
ENSECAP00000006624	ENSECAG00000008363	Equus_caballus
ENSJHYP00000007766	ENSJHYG00000006134	Junco_hyemalis
ENSCGRP00001022231	ENSCGRG00001020810	Cricetulus_griseus_CHOK1GS_HDv1
ENSPANP00000022584	ENSPANG00000002472	Papio_anubis
ENSMPUP00000008536	ENSMPUG00000008604	Mustela_putorius_furo
