ENSVURP00010013184	ENSVURG00010010143	Vombatus_ursinus	ENSVURT00010014999
ENSPCIP00000004696	ENSPCIG00000003885	Phascolarctos_cinereus	ENSPCIT00000005872
ENSMEUP00000008360	ENSMEUG00000009155	Notamacropus_eugenii	ENSMEUT00000009179
ENSSHAP00000013000	ENSSHAG00000011121	Sarcophilus_harrisii	ENSSHAT00000013106
ENSMODP00000053173	ENSMODG00000000319	Monodelphis_domestica	ENSMODT00000078157
ENSCCNP00000029723	ENSCCNG00000028472	Castor_canadensis	ENSCCNT00000037460
ENSDORP00000004624	ENSDORG00000004940	Dipodomys_ordii	ENSDORT00000004940
MGP_SPRETEiJ_P0088621	MGP_SPRETEiJ_G0032378	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0088621
ENSMUSP00000039943	ENSMUSG00000038250	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000042724
ENSMSIP00000033628	ENSMSIG00000028091	Mus_spicilegus
MGP_CAROLIEiJ_P0085115	MGP_CAROLIEiJ_G0031258	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0053416	MGP_PahariEiJ_G0022864	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000031071	ENSRNOG00000026880	Rattus_norvegicus
ENSMUGP00000005894	ENSMUGG00000005449	Meriones_unguiculatus
ENSPEMP00000019839	ENSPEMG00000017993	Peromyscus_maniculatus_bairdii
ENSMOCP00000000309	ENSMOCG00000000267	Microtus_ochrogaster
ENSCGRP00015012812	ENSCGRG00015009833	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000002948	ENSCGRG00000002154	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001006584	ENSCGRG00001008922	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000016323	ENSMAUG00000015498	Mesocricetus_auratus
ENSNGAP00000020550	ENSNGAG00000020013	Nannospalax_galili
ENSSTOP00000023622	ENSSTOG00000025902	Ictidomys_tridecemlineatus
ENSSDAP00000000116	ENSSDAG00000000120	Spermophilus_dauricus
ENSMMMP00000001217	ENSMMMG00000001127	Marmota_marmota_marmota
ENSUPAP00010001033	ENSUPAG00010000887	Urocitellus_parryii
ENSHGLP00000002489	ENSHGLG00000001875	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100000981	ENSHGLG00100000794	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000002921	ENSFDAG00000012497	Fukomys_damarensis
ENSCLAP00000020598	ENSCLAG00000014109	Chinchilla_lanigera
ENSODEP00000000411	ENSODEG00000000359	Octodon_degus
ENSCPOP00000008060	ENSCPOG00000008971	Cavia_porcellus
ENSCAPP00000016180	ENSCAPG00000016125	Cavia_aperea
ENSOCUP00000009910	ENSOCUG00000011524	Oryctolagus_cuniculus
ENSPPAP00000037377	ENSPPAG00000041444	Pan_paniscus
ENSPTRP00000028273	ENSPTRG00000016470	Pan_troglodytes
ENSGGOP00000002014	ENSGGOG00000002044	Gorilla_gorilla
ENSP00000303434	ENSG00000170185	Homo_sapiens
ENSPPYP00000016854	ENSPPYG00000015088	Pongo_abelii
ENSNLEP00000006490	ENSNLEG00000005343	Nomascus_leucogenys
ENSTGEP00000014326	ENSTGEG00000011632	Theropithecus_gelada
ENSPANP00000007920	ENSPANG00000008197	Papio_anubis
ENSCATP00000035006	ENSCATG00000040394	Cercocebus_atys
ENSMLEP00000023444	ENSMLEG00000035914	Mandrillus_leucophaeus
ENSMMUP00000070221	ENSMMUG00000000827	Macaca_mulatta
ENSMFAP00000016687	ENSMFAG00000031506	Macaca_fascicularis
ENSMNEP00000020703	ENSMNEG00000034149	Macaca_nemestrina
ENSCSAP00000014595	ENSCSAG00000003455	Chlorocebus_sabaeus
ENSRBIP00000021688	ENSRBIG00000034798	Rhinopithecus_bieti
ENSRROP00000025657	ENSRROG00000036566	Rhinopithecus_roxellana
ENSPTEP00000042704	ENSPTEG00000038954	Piliocolobus_tephrosceles
ENSCANP00000030158	ENSCANG00000038736	Colobus_angolensis_palliatus
ENSCCAP00000037114	ENSCCAG00000036444	Cebus_capucinus_imitator
ENSSBOP00000025389	ENSSBOG00000029166	Saimiri_boliviensis_boliviensis
ENSCJAP00000005151	ENSCJAG00000002831	Callithrix_jacchus
ENSANAP00000018818	ENSANAG00000027226	Aotus_nancymaae
ENSTSYP00000008195	ENSTSYG00000008941	Carlito_syrichta
ENSPSMP00000023924	ENSPSMG00000016880	Prolemur_simus
ENSPCOP00000029867	ENSPCOG00000027643	Propithecus_coquereli
ENSMICP00000040075	ENSMICG00000035652	Microcebus_murinus
ENSOGAP00000003550	ENSOGAG00000003985	Otolemur_garnettii
ENSTBEP00000010874	ENSTBEG00000012539	Tupaia_belangeri
ENSEEUP00000001855	ENSEEUG00000002042	Erinaceus_europaeus
ENSSARP00000011271	ENSSARG00000012462	Sorex_araneus
ENSMLUP00000012214	ENSMLUG00000013423	Myotis_lucifugus
ENSEASP00005007271	ENSEASG00005005319	Equus_asinus_asinus
ENSECAP00000007415	ENSECAG00000009333	Equus_caballus
ENSUMAP00000020884	ENSUMAG00000015293	Ursus_maritimus
ENSUMAP00000020878	ENSUMAG00000015290	Ursus_maritimus
ENSUAMP00000030683	ENSUAMG00000023510	Ursus_americanus
ENSAMEP00000010208	ENSAMEG00000009698	Ailuropoda_melanoleuca
ENSMPUP00000000823	ENSMPUG00000000827	Mustela_putorius_furo
ENSNVIP00000010185	ENSNVIG00000008015	Neovison_vison
ENSCAFP00020026972	ENSCAFG00020021169	Canis_lupus_dingo
ENSCAFP00000005389	ENSCAFG00000003622	Canis_lupus_familiaris
ENSVVUP00000011008	ENSVVUG00000008134	Vulpes_vulpes
ENSPPRP00000013789	ENSPPRG00000006892	Panthera_pardus
ENSPTIP00000025439	ENSPTIG00000021206	Panthera_tigris_altaica
ENSFCAP00000018565	ENSFCAG00000024468	Felis_catus
ENSPVAP00000015102	ENSPVAG00000016001	Pteropus_vampyrus
ENSBTAP00000001785	ENSBTAG00000001356	Bos_taurus
ENSBMUP00000000686	ENSBMUG00000000599	Bos_mutus
ENSBIXP00000005518	ENSBIXG00000000963	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005029139	ENSBIXG00005000366	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000026429	ENSBBBG00000022265	Bison_bison_bison
ENSCHIP00000027138	ENSCHIG00000023190	Capra_hircus
ENSOARP00000012226	ENSOARG00000011407	Ovis_aries
ENSTTRP00000002731	ENSTTRG00000002912	Tursiops_truncatus
ENSSSCP00000019277	ENSSSCG00000009049	Sus_scrofa_strain_reference
ENSVPAP00000009312	ENSVPAG00000010008	Vicugna_pacos
