ENSCATP00000007429	ENSCATG00000022222	Cercocebus_atys	ENSCATT00000025674
ENSRROP00000021320	ENSRROG00000034591	Rhinopithecus_roxellana	ENSRROT00000045509
ENSNLEP00000047260	ENSNLEG00000029940	Nomascus_leucogenys	ENSNLET00000058643
ENSMLEP00000017076	ENSMLEG00000032743	Mandrillus_leucophaeus	ENSMLET00000040550
ENSPPAP00000010167	ENSPPAG00000028316	Pan_paniscus	ENSPPAT00000032814
ENSRBIP00000040700	ENSRBIG00000043756	Rhinopithecus_bieti	ENSRBIT00000064734
ENSMFAP00000014028	ENSMFAG00000030087	Macaca_fascicularis	ENSMFAT00000064494
ENSTGEP00000026487	ENSTGEG00000021340	Theropithecus_gelada	ENSTGET00000031538
ENSPTRP00000061868	ENSPTRG00000044052	Pan_troglodytes	ENSPTRT00000083937
ENSGGOP00000029767	ENSGGOG00000037974	Gorilla_gorilla	ENSGGOT00000067314
ENSMNEP00000006674	ENSMNEG00000027815	Macaca_nemestrina	ENSMNET00000030725
